training_snapshots,train_RMSE_meV_A,heldout_block_RMSE_meV_A,independent_RMSE_meV_A
20,92.72588650442586,86.62868149875958,77.09242204712771
40,87.96706190084986,86.10940691973528,77.19010954980308
60,83.98692651911895,85.97194072830276,76.89831035078684
