family,case,L,temperature_J,seed,initialization,production_sweeps,measurements,energy_per_spin,M2,vortex_abs_density,Y_J,Y_block_stderr_J,Y_raw_J,Y_error_8_blocks_J,Y_error_32_blocks_J,block_sweeps,tau_energy_sweeps,tau_current_squared_sweeps,block_over_max_tau,effective_samples_diagnostic,first_half_Y_J,second_half_Y_J,half_shift_J,half_shift_over_combined_block_error,acceptance
base,L16-T0.70-s2026093800,16,0.7,2026093800,ordered,20000,4000,-1.603264011477787,0.6443797970646039,0.000775390625,0.7788249638986624,0.0006546788485444532,0.7788295217746816,0.0005922512682496477,0.0008308017787087217,1250,4.475006540931991,3.167112779148721,279.32920065401015,2234.633605232081,0.7783942792115512,0.7792543571914248,0.0008600779798735303,0.6432690002306757,0.4469357421875
base,L16-T0.70-s2026093801,16,0.7,2026093801,random,20000,4000,-1.6022977625433337,0.6454164828619583,0.00078515625,0.7781674880575036,0.0005976355537999361,0.7781748353700928,0.0006981518606378685,0.0007413961149712094,1250,4.39660698872987,3.4749825912837884,284.3101517156781,2274.481213725425,0.7774950661411006,0.7788316103858044,0.0013365442447037523,1.1229648131072258,0.4471490234375
base,L16-T0.80-s2026093802,16,0.8,2026093802,ordered,20000,4000,-1.5294153683979639,0.5839715812074361,0.003048828125,0.7202896460235522,0.0024372915064083327,0.7203136552637448,0.0019127378460577684,0.00243255819800642,1250,4.976405762675813,9.708600739587922,128.75181846782337,1030.014547742587,0.7159870640738033,0.7245428125184938,0.008555748444690536,1.8993237481139817,0.4788470703125
base,L16-T0.80-s2026093803,16,0.8,2026093803,random,20000,4000,-1.5287724335848352,0.5869808475081846,0.00287890625,0.7234041551823331,0.0011903035294648409,0.7234156594537795,0.0012553411079063881,0.0013992667181414633,1250,5.173769916137224,5.1326534279172975,241.60332219281594,1932.8265775425275,0.7228826197793579,0.7239537480482907,0.0010711282689328527,0.43915524094251146,0.47906015625
base,L16-T0.88-s2026093804,16,0.88,2026093804,ordered,20000,4000,-1.463211181761354,0.5299417166936753,0.006787109375,0.6589006407199172,0.004443915430716993,0.6589632857297905,0.004639454431498565,0.004701028850206547,1250,5.821027223405046,10.85470720711071,115.15741292230794,921.2593033784635,0.6634683224955022,0.6542695617434564,-0.009198760752045843,1.0447716497426125,0.503735546875
base,L16-T0.88-s2026093805,16,0.88,2026093805,random,20000,4000,-1.462847338774364,0.5317654818200034,0.006818359375,0.6650558706455527,0.004379027545246108,0.6650987886876802,0.004422752867804609,0.003748707668700046,1250,6.404680461013205,11.385789173099486,109.78597802893623,878.2878242314898,0.6669068401544118,0.6631425596782652,-0.003764280476146631,0.4180618236925546,0.503881640625
base,L16-T0.92-s2026093806,16,0.92,2026093806,ordered,20000,4000,-1.4255025292669847,0.4983205375384794,0.00989453125,0.6236749887518052,0.006563923540835253,0.6237300773299296,0.005600444276892206,0.0069925896523327265,1250,8.139166995466356,15.372089202230727,81.31620780723844,650.5296624579075,0.619102988374097,0.6284186554871685,0.009315667113071413,0.6882526726400331,0.516271875
base,L16-T0.92-s2026093807,16,0.92,2026093807,random,20000,4000,-1.4230642728990748,0.497692481971551,0.010337890625,0.6178117115744364,0.005515780852223138,0.6178848360178256,0.005303744317957944,0.0056965696140975535,1250,10.550618753953206,14.76566887665708,84.6558330978229,677.2466647825833,0.6229501155474786,0.6126313874859948,-0.010318728061483817,0.9355459591736287,0.5167701171875
base,L16-T1.00-s2026093808,16,1.0,2026093808,ordered,20000,4000,-1.3331629239639005,0.40759136898956655,0.02140234375,0.4790109923427144,0.016248704740247106,0.47925737825102854,0.01529650459341773,0.014442166407034392,1250,19.768357952176054,24.08197527391197,51.90604116906168,415.24832935249344,0.4678461403533327,0.48988476302192785,0.02203862266859513,0.6657687779776298,0.5438845703125
base,L16-T1.00-s2026093809,16,1.0,2026093809,random,20000,4000,-1.3372793861016639,0.41860834022630694,0.020318359375,0.5017955542319932,0.014065249588764808,0.5019755858618068,0.011356164361833794,0.013337399077778415,1250,15.277235793484554,23.48824833057794,53.21810219337217,425.74481754697734,0.48275355073421045,0.5204856525505988,0.03773210181638831,1.3715272723665906,0.5431875
base,L16-T1.10-s2026093810,16,1.1,2026093810,ordered,20000,4000,-1.2011243642657479,0.2866292640158871,0.0426484375,0.2775108495961911,0.016801688807661447,0.27813779660812954,0.013533932997070822,0.02213661783806461,1250,36.45225541179057,27.787487874933767,34.291430965769116,274.33144772615293,0.2798369457840555,0.27522707164497384,-0.004609874139081649,0.13398487288440256,0.581010546875
base,L16-T1.10-s2026093811,16,1.1,2026093811,random,20000,4000,-1.1979662983157846,0.27259052045635956,0.04357421875,0.23613824990392507,0.02366894546253552,0.23728401482374523,0.023449755802501533,0.02527455695920818,1250,29.928698492908698,23.823759073981527,41.765932464326,334.127459714608,0.19046349306062837,0.27972842483639493,0.08926493177576655,2.0529902906426987,0.5811390625
base,L24-T0.70-s2026094600,24,0.7,2026094600,ordered,20000,4000,-1.6025473806780268,0.6070407018063235,0.0007578125,0.7780779191087319,0.0009933444851253337,0.7780895341018483,0.0011236216701948438,0.0008427661060867753,1250,4.2919492551434635,3.2075098739082044,291.2429587796273,2329.9436702370185,0.7778242736042138,0.7783191233060052,0.0004948497017913667,0.24228196061730034,0.44720781250000025
base,L24-T0.70-s2026094601,24,0.7,2026094601,random,20000,4000,-1.6016557766108364,0.605336482019192,0.0008532986111111112,0.7780021672236064,0.0006029297253454123,0.7780104775670638,0.0006314866459913998,0.0005469751174439757,1250,5.295755854919086,2.9801830140717427,236.0380716642948,1888.3045733143583,0.7782908208665757,0.7777091899348445,-0.0005816309317312474,0.47240538414685723,0.44742369791666936
base,L24-T0.80-s2026094602,24,0.8,2026094602,ordered,20000,4000,-1.528128845932275,0.5460670899313059,0.002934895833333334,0.722160461885414,0.001964284098627346,0.7221799267752487,0.0021359406969763124,0.001587442092018187,1250,5.701111385473382,5.464194198660409,219.25549519783823,1754.0439615827058,0.719032840369656,0.7252673299248533,0.006234489555197342,1.6805044795034663,0.4789536458333282
base,L24-T0.80-s2026094603,24,0.8,2026094603,random,20000,4000,-1.529295782506766,0.5469833032918203,0.0030616319444444445,0.7188089335088623,0.0029911375667120398,0.7188379754073454,0.0029142176371324117,0.0030089462709177563,1250,5.984231044374689,28.024705037771028,44.603502456681696,356.82801965345357,0.7141792780106702,0.7233833632349143,0.009204085224244096,1.6231078532548284,0.47871059027777874
base,L24-T0.88-s2026094604,24,0.88,2026094604,ordered,20000,4000,-1.4606004468136302,0.48139586085631264,0.007310763888888889,0.6570241253114322,0.0027169356702832,0.6570832477878189,0.0024629274656792865,0.0031314778230349203,1250,8.178201602795575,7.795312096000253,152.84533944146222,1222.7627155316977,0.6560670345547139,0.6580032610865594,0.001936226531845442,0.34983841662367626,0.5040046874999983
base,L24-T0.88-s2026094605,24,0.88,2026094605,random,20000,4000,-1.4595057322394371,0.4789081876257517,0.007164930555555556,0.6482025097455342,0.009212883716044291,0.6483114744560573,0.010506317941206685,0.00931887569099175,1250,6.43989451540456,35.99672875649941,34.72537764349783,277.80302114798263,0.638733944399096,0.6576668752509178,0.018932930851821794,1.043224449127373,0.504481163194446
base,L24-T0.92-s2026094606,24,0.92,2026094606,ordered,20000,4000,-1.4219676939084456,0.4473902141809898,0.010654513888888889,0.61405786640284,0.006162426340825479,0.614114671655226,0.008531218035572035,0.00501066190033525,1250,10.480805875575939,13.318415513782124,93.85500840595328,750.8400672476263,0.6061446207439456,0.6219984686330768,0.015853847889131245,1.3199190087253427,0.5171571180555503
base,L24-T0.92-s2026094607,24,0.92,2026094607,random,20000,4000,-1.4218463697591956,0.453909991369517,0.010442708333333332,0.6124109994497147,0.005742776762038292,0.6125143679142335,0.006990427901011943,0.006490095002884782,1250,10.53724588544247,24.73795098822384,50.52964979173276,404.23719833386207,0.6168425610205599,0.6077503277566922,-0.009092233263867655,0.7755527411111613,0.5171342013888863
base,L24-T1.00-s2026094608,24,1.0,2026094608,ordered,20000,4000,-1.3295356457573135,0.3507524971044527,0.0217109375,0.43308199981977946,0.02386749214856624,0.43349382406847536,0.028002427722260477,0.02175957913992409,1250,22.41037740488828,40.76488262666648,30.663647714817863,245.3091817185429,0.44028826475270266,0.42542965006420497,-0.014858614688497696,0.3051855920569524,0.5445524305555557
base,L24-T1.00-s2026094609,24,1.0,2026094609,random,20000,4000,-1.3337605596247821,0.36455580324355696,0.02105642361111111,0.47780863930565065,0.015569838981368676,0.47816903387567133,0.01978938233858737,0.015365183962250121,1250,18.99964600398645,38.194478269173494,32.727243744257834,261.81794995406267,0.4975589896310093,0.45798329923629977,-0.03957569039470954,1.3311824551533007,0.5436221354166667
base,L24-T1.10-s2026094610,24,1.1,2026094610,ordered,20000,4000,-1.1854380645630116,0.18901143346561095,0.04616927083333334,0.1842008020478283,0.025316202313837136,0.18506814730040252,0.02579654834907029,0.02416598009630637,1250,52.204030400057356,18.140428442159518,23.94451138007587,191.55609104060696,0.18335253364484516,0.19007362369765812,0.006721090052812961,0.13107983112651603,0.583173958333331
base,L24-T1.10-s2026094611,24,1.1,2026094611,random,20000,4000,-1.1841181674182464,0.18817126322571015,0.04665798611111111,0.14267070801038173,0.04012564657074997,0.14520959121449847,0.04436726889435192,0.035740784905956446,1250,31.645043315655176,30.766950220387457,39.500656944324994,316.00525555459996,0.2054431271794246,0.08371690869429382,-0.12172621848513077,1.6536457906320003,0.5835909722222217
base,L8-T0.70-s2026093000,8,0.7,2026093000,ordered,20000,4000,-1.6114739188677718,0.7179233177865185,0.000640625,0.7863852109430134,0.0007878258777716632,0.7863939278640065,0.0009032752372864435,0.0010347727380200888,1250,3.7005677468783746,3.641757530683308,337.7860062295688,2702.2880498365503,0.7858505871290742,0.7869403209443204,0.001089733815246241,0.6749968203815767,0.4464296875
base,L8-T0.70-s2026093001,8,0.7,2026093001,random,20000,4000,-1.6082905445978832,0.7135507688263895,0.00075,0.7837133806513048,0.0011051195442400336,0.7837184254085182,0.0008162617844485204,0.0010378168159954832,1250,3.9754761235020646,2.887571579494636,314.42774680755815,2515.421974460465,0.7829112598015406,0.7845481611855147,0.0016369013839740987,0.7303765315455133,0.4464296875
base,L8-T0.80-s2026093002,8,0.8,2026093002,ordered,20000,4000,-1.537252548526071,0.6637115625034655,0.00275,0.73275530837034,0.002063814738206731,0.7327690135996887,0.0013795993132073765,0.0019491832574021354,1250,4.73909595830334,4.942586860415786,252.9040025600776,2023.2320204806208,0.732306082625942,0.7331804880793396,0.0008744054533975643,0.20513985515908448,0.477609375
base,L8-T0.80-s2026093003,8,0.8,2026093003,random,20000,4000,-1.5385287166803203,0.6662262585823631,0.0023046875,0.7357961959051327,0.001717947880179573,0.7358088894923036,0.0005151631020522818,0.0017643187149192273,1250,4.3368564804824565,3.4260041284337857,288.22719996049835,2305.817599683987,0.7360315388468104,0.7355447168538571,-0.0004868219929532458,0.13671390738645905,0.47745703125
base,L8-T0.88-s2026093004,8,0.88,2026093004,ordered,20000,4000,-1.4723081039482822,0.6195115658170546,0.006046875,0.6798057331194158,0.004225608575998314,0.6798297684852918,0.003264678746232424,0.0033316577249805747,1250,5.0846099137332725,5.613355695919472,222.68319837787317,1781.4655870229853,0.6790456648157139,0.6805283642963342,0.0014826994806202975,0.1694753734280389,0.50204296875
base,L8-T0.88-s2026093005,8,0.88,2026093005,random,20000,4000,-1.4741121723554242,0.6232401876463173,0.0056875,0.6830364419388086,0.004271519572061844,0.6830573949196841,0.005356838150579447,0.004063817605901084,1250,4.4681304399872595,5.473285046498705,228.38203919228232,1827.0563135382586,0.6743781433760914,0.6916719511712426,0.017293807795151217,2.2984955220211254,0.50205546875
base,L8-T0.92-s2026093006,8,0.92,2026093006,ordered,20000,4000,-1.439625740217064,0.5959708819678342,0.00853125,0.6528594263700196,0.005779505311758729,0.6528772089962114,0.005827530485029145,0.0051474463405762364,1250,6.8930753668595255,7.361513808643708,169.80203155121177,1358.4162524096942,0.6447329882994852,0.6609921250790141,0.016259136779528838,1.460602720746249,0.5137296875
base,L8-T0.92-s2026093007,8,0.92,2026093007,random,20000,4000,-1.4404648301091785,0.5970074147956336,0.0083125,0.6516910589989386,0.005112670763832431,0.6517176319036103,0.005078235554418862,0.00434207999567173,1250,6.0241439493820845,6.583026907604301,189.88225592030895,1519.0580473624716,0.6537079511934687,0.6497104842204786,-0.0039974669729900825,0.3821343145159745,0.51368203125
base,L8-T1.00-s2026093008,8,1.0,2026093008,ordered,20000,4000,-1.3545882660002992,0.5306380512942569,0.01775,0.5599511598652569,0.007268585695956546,0.5599861239957535,0.006399328807867733,0.0077824192046807164,1250,9.162933839710277,8.735566052599669,136.41918864269826,1091.353509141586,0.5651026537206443,0.5547237840226455,-0.010378869697998727,0.7014715296399874,0.5397828125
base,L8-T1.00-s2026093009,8,1.0,2026093009,random,20000,4000,-1.3635542948472252,0.5425188828871418,0.015859375,0.5809135679620638,0.005825036044620987,0.580957071804638,0.00445208116897756,0.005153159524625801,1250,8.808901653812017,6.150617890452973,141.90191344219033,1135.2153075375227,0.5739299142445997,0.5878019869675946,0.013872072722994844,1.2092484679006192,0.5394578125
base,L8-T1.10-s2026093010,8,1.1,2026093010,ordered,20000,4000,-1.23609626204368,0.4441290186211533,0.034796875,0.4289909863776735,0.013638372831770553,0.4291124604782828,0.01586586347082995,0.012951269849265725,1250,12.245466571651738,11.37554852545531,102.07859314186939,816.6287451349551,0.4403835645840881,0.41773651374974596,-0.022647050834342153,0.8293822897232144,0.57438828125
base,L8-T1.10-s2026093011,8,1.1,2026093011,random,20000,4000,-1.2445080574396292,0.45203479434827637,0.033734375,0.45721581206048345,0.008908016236448225,0.4573243587473921,0.009886051083826449,0.009322165234604803,1250,10.220954289823872,8.277848309154482,122.29777812865457,978.3822250292366,0.456708427548834,0.45789781134596064,0.0011893837971266308,0.06512923899584915,0.5726125
extended,L16-T0.88-s2026093804,16,0.88,2026093804,ordered,40000,8000,-1.4624929804814948,0.5314041567239808,0.0068203125,0.6628198399945209,0.0034269334743760524,0.6628446755575885,0.002650458290920274,0.0030472536794784737,2500,6.639584378951176,10.474953970937372,238.66453322241017,1909.3162657792814,0.6589065599070203,0.666699136483409,0.0077925765763886545,1.1470960533391523,0.50405703125
extended,L16-T0.88-s2026093805,16,0.88,2026093805,random,40000,8000,-1.4632972967864142,0.5300306357583254,0.006876953125,0.6648521241092844,0.0030199455459743933,0.664873060608937,0.002656826953876188,0.0028664355645245734,2500,6.5423559206716275,10.597586114526345,235.90277757433788,1887.222220594703,0.6650480915445867,0.6647713734081551,-0.00027671813643159737,0.04450980368891306,0.5035349609375
extended,L16-T0.92-s2026093806,16,0.92,2026093806,ordered,40000,8000,-1.4239864488263974,0.49511614612505495,0.0103310546875,0.6137945114043699,0.004535775277871257,0.613866569931282,0.004666615409899552,0.005465575938614106,2500,9.668944577907306,18.899681008407725,132.277364834245,1058.21891867396,0.6236822832295115,0.6039303824015159,-0.019751900827995605,2.503710981390113,0.517038671875
extended,L16-T0.92-s2026093807,16,0.92,2026093807,random,40000,8000,-1.4225993166057949,0.49550934938810715,0.010318359375,0.6145254126343254,0.005615291978351696,0.6145785299671356,0.004086059484730585,0.005648252278055427,2500,9.882004916576596,21.198866137817895,117.9308357223929,943.4466857791432,0.6178017091267538,0.6112414489714508,-0.006560260155302977,0.5734717629189846,0.516689453125
extended,L24-T0.88-s2026094604,24,0.88,2026094604,ordered,40000,8000,-1.4598164454678595,0.48322654359263945,0.007294270833333334,0.6546987126213999,0.0028751879154483625,0.6547244332249915,0.0021788131615048437,0.0026270029752372176,2500,7.662665018863856,9.044523277913072,276.4103671561171,2211.282937248937,0.657034325479275,0.6523401078331252,-0.004694217646149745,0.8099902458385567,0.5043673611111116
extended,L24-T0.88-s2026094605,24,0.88,2026094605,random,40000,8000,-1.458915779714886,0.4774501438847492,0.007323350694444445,0.6476619544581634,0.005579625605919607,0.6477246365180659,0.005153709005969566,0.00530944390646525,2500,7.6541045079884675,30.9605009877485,80.74804735844826,645.9843788675861,0.648180967125386,0.6473094582389436,-0.0008715088864423848,0.0758822719764012,0.5046434027777765
extended,L24-T0.92-s2026094606,24,0.92,2026094606,ordered,40000,8000,-1.4230046304727857,0.451859722398444,0.010424913194444444,0.6158974393852876,0.004410882551275937,0.6159363372034602,0.003416907664063225,0.003519543036706986,2500,8.997295364677095,10.611702602614718,235.58896188666284,1884.7116950933028,0.6140315567801355,0.6178509384688393,0.0038193816887037713,0.4223449980768561,0.5167043402777712
extended,L24-T0.92-s2026094607,24,0.92,2026094607,random,40000,8000,-1.42138060615311,0.4489532541264979,0.010548177083333332,0.6043681835788028,0.008524473478804225,0.604431431161503,0.008100863436956318,0.007395911454812137,2500,11.140488072386987,37.73335576666201,66.25437757138971,530.0350205711177,0.612423747049692,0.5962585829920171,-0.016165164057674986,0.9383493540603303,0.5172963541666649
