L,temperature_J,seed,initialization,base_sweeps,extended_sweeps,Y_base_J,base_error_J,Y_extended_J,extended_error_J,shift_J,note
16,0.88,2026093804,ordered,20000,40000,0.6589006407199172,0.004443915430716993,0.6628198399945209,0.0034269334743760524,0.003919199274603713,"nested same-chain extension, not an independent second estimate"
16,0.88,2026093805,random,20000,40000,0.6650558706455527,0.004379027545246108,0.6648521241092844,0.0030199455459743933,-0.00020374653626831218,"nested same-chain extension, not an independent second estimate"
16,0.92,2026093806,ordered,20000,40000,0.6236749887518052,0.006563923540835253,0.6137945114043699,0.004535775277871257,-0.009880477347435246,"nested same-chain extension, not an independent second estimate"
16,0.92,2026093807,random,20000,40000,0.6178117115744364,0.005515780852223138,0.6145254126343254,0.005615291978351696,-0.00328629894011101,"nested same-chain extension, not an independent second estimate"
24,0.88,2026094604,ordered,20000,40000,0.6570241253114322,0.0027169356702832,0.6546987126213999,0.0028751879154483625,-0.0023254126900322802,"nested same-chain extension, not an independent second estimate"
24,0.88,2026094605,random,20000,40000,0.6482025097455342,0.009212883716044291,0.6476619544581634,0.005579625605919607,-0.0005405552873707364,"nested same-chain extension, not an independent second estimate"
24,0.92,2026094606,ordered,20000,40000,0.61405786640284,0.006162426340825479,0.6158974393852876,0.004410882551275937,0.0018395729824476348,"nested same-chain extension, not an independent second estimate"
24,0.92,2026094607,random,20000,40000,0.6124109994497147,0.005742776762038292,0.6043681835788028,0.008524473478804225,-0.008042815870911824,"nested same-chain extension, not an independent second estimate"
