L,temperature_J,family,independent_seeds,Y_J,within_chain_stderr_J,between_seed_stderr_J,display_error_J,seed_difference_J,seed_difference_over_combined_block_error,reference_2T_over_pi,min_block_over_tau,max_half_shift_over_combined_error,vortex_abs_density
8,0.7,base,2,0.7850492957971591,0.0006785939177350455,0.001335915145854294,0.001335915145854294,0.002671830291708588,1.9686518121370742,0.44563384065730693,314.42774680755815,0.7303765315455133,0.0006953125
8,0.8,base,2,0.7342757521377363,0.0013426351135596008,0.0015204437673963511,0.0015204437673963511,0.0030408875347927022,1.1324325961990844,0.5092958178940651,252.9040025600776,0.20513985515908448,0.00252734375
8,0.88,base,2,0.6814210875291122,0.0030042323184158834,0.0016153544096964012,0.0030042323184158834,0.0032307088193928024,0.5376929073674866,0.5602253996834716,222.68319837787317,2.2984955220211254,0.0058671875
8,0.92,base,2,0.6522752426844791,0.0038581758639282585,0.0005841836855404736,0.0038581758639282585,0.0011683673710809472,0.15141447827774196,0.5856901905781748,169.80203155121177,1.460602720746249,0.008421875
8,1.0,base,2,0.5704323639136604,0.004657343205643047,0.01048120404840347,0.01048120404840347,0.02096240809680694,2.2504684721761476,0.6366197723675814,136.41918864269826,1.2092484679006192,0.0168046875
8,1.1,base,2,0.4431033992190785,0.00814490587372258,0.014112412841404964,0.014112412841404964,0.02822482568280993,1.7326673948357088,0.7002817496043395,102.07859314186939,0.8293822897232144,0.034265624999999994
16,0.7,base,2,0.778496225978083,0.0004432190908279018,0.00032873792057941387,0.0004432190908279018,0.0006574758411588277,0.74170523649005,0.44563384065730693,279.32920065401015,1.1229648131072258,0.0007802734375
16,0.8,base,2,0.7218469006029427,0.0013562090896564085,0.001557254579390488,0.001557254579390488,0.003114509158780976,1.1482407773752745,0.5092958178940651,128.75181846782337,1.8993237481139817,0.0029638671875
16,0.88,extended,2,0.6638359820519026,0.0022838533303634946,0.0010161420573817637,0.0022838533303634946,0.0020322841147635273,0.44492439329281974,0.5602253996834716,235.90277757433788,1.1470960533391523,0.0068486328125
16,0.92,extended,2,0.6141599620193476,0.003609181395188145,0.0003654506149777248,0.003609181395188145,0.0007309012299554496,0.1012558181378617,0.5856901905781748,117.9308357223929,2.503710981390113,0.010324707031250002
16,1.0,base,2,0.4904032732873538,0.010745367045033611,0.011392280944639399,0.011392280944639399,0.022784561889278798,1.0602039834371952,0.6366197723675814,51.90604116906168,1.3715272723665906,0.0208603515625
16,1.1,base,2,0.2568245497500581,0.014513060722139013,0.020686299846133016,0.020686299846133016,0.04137259969226603,1.425357492963356,0.7002817496043395,34.291430965769116,2.0529902906426987,0.043111328125
24,0.7,base,2,0.7780400431661691,0.0005810029087349755,3.7875942562770604e-05,0.0005810029087349755,7.575188512554121e-05,0.06519062468247938,0.44563384065730693,236.0380716642948,0.47240538414685723,0.0008055555555555557
24,0.8,base,2,0.7204846976971382,0.0017892258076551062,0.0016757641882758634,0.0017892258076551062,0.0033515283765517268,0.9365861933726848,0.5092958178940651,44.603502456681696,1.6805044795034663,0.0029982638888888893
24,0.88,extended,2,0.6511803335397817,0.0031384282472032895,0.003518379081618228,0.003518379081618228,0.007036758163236456,1.1210640500554758,0.5602253996834716,80.74804735844826,0.8099902458385567,0.007308810763888889
24,0.92,extended,2,0.6101328114820452,0.004799024196958875,0.005764627903242392,0.005764627903242392,0.011529255806484784,1.2012083429159237,0.5856901905781748,66.25437757138971,0.9383493540603303,0.010486545138888888
24,1.0,base,2,0.45544531956271506,0.014248482966333808,0.022363319742935595,0.022363319742935595,0.04472663948587119,1.5695228604880571,0.6366197723675814,30.663647714817863,1.3311824551533007,0.021383680555555555
24,1.1,base,2,0.163435755029105,0.023722234361015993,0.02076504701872328,0.023722234361015993,0.04153009403744656,0.875341112591299,0.7002817496043395,23.94451138007587,1.6536457906320003,0.046413628472222225
