atom,total_electrons,s_electrons,p_electrons,pz_electrons,px_electrons,py_electrons
1,3.9634,1.1520000000000001,2.8114,0.9371,0.9371,0.9371
2,3.9634,1.1520000000000001,2.8114,0.9371,0.9371,0.9371
