sweep,energy_per_spin,M2,cos_x,cos_y,current_x,current_y,current_x2,current_y2,vortex_abs_density
5.000000000000000000e+01,-1.502994028051174880e+00,6.046155602129574813e-01,1.900924815053140264e+02,1.946739896757867427e+02,-4.758742902875603420e-01,9.235666202404859693e-01,2.264563401566892509e-01,8.529753020224339899e-01,0.000000000000000000e+00
1.000000000000000000e+02,-1.483984707772641798e+00,5.944272036035744833e-01,1.917195589197880849e+02,1.881805262700081869e+02,-1.886981821477294652e+00,-5.663360786172741967e+00,3.560700394585768702e+00,3.207365539435913604e+01,2.343750000000000000e-02
1.500000000000000000e+02,-1.488322031560445513e+00,5.821995884499109319e-01,1.956095721768733142e+02,1.854008679026007371e+02,8.499682074129251141e-01,1.387387282639147124e+00,7.224459536127413317e-01,1.924843472028836766e+00,0.000000000000000000e+00
2.000000000000000000e+02,-1.515882465159069437e+00,5.569635507981700595e-01,1.911649515095043057e+02,1.969009595712174701e+02,3.090033380390530660e+00,-2.121797879001928511e+00,9.548306291927730172e+00,4.502026239337082458e+00,7.812500000000000000e-03
2.500000000000000000e+02,-1.459475109223353773e+00,4.838432557940738898e-01,1.894115901760359293e+02,1.842140377851426649e+02,2.296670245455322501e+00,1.250476480744729635e+01,5.274694216359811172e+00,1.563691428895724300e+02,7.812500000000000000e-03
3.000000000000000000e+02,-1.499185716886109354e+00,6.024743289355312115e-01,1.886093534685060717e+02,1.951821900543379229e+02,-2.702128000783368567e+00,2.310482786560743573e-01,7.301495732617524048e+00,5.338330706993498626e-02,0.000000000000000000e+00
3.500000000000000000e+02,-1.378422489012374852e+00,5.319366826246895164e-01,1.709034651421391118e+02,1.819726920450288503e+02,-3.495149458975497225e+00,2.289556450399129695e+00,1.221606974057671025e+01,5.242068739564262003e+00,2.343750000000000000e-02
4.000000000000000000e+02,-1.450028299504911633e+00,5.942361670745740510e-01,1.856871057278254966e+02,1.855201389454318814e+02,-7.003879114046107190e+00,9.961782894402322341e-01,4.905432264417128607e+01,9.923711843520670595e-01,0.000000000000000000e+00
4.500000000000000000e+02,-1.386024232058753025e+00,4.297858742795795384e-01,1.801226410704092302e+02,1.746995623366315726e+02,-1.363409591969020340e-01,-5.833167310534063787e+00,1.858885715473130446e-02,3.402584087268320445e+01,1.562500000000000000e-02
5.000000000000000000e+02,-1.436718171733214700e+00,4.807968021970182582e-01,1.867789205722647807e+02,1.810209313914381823e+02,-1.537126831979706765e+01,2.018866061415463875e+00,2.362758897591969571e+02,4.075820173935187363e+00,1.562500000000000000e-02
5.500000000000000000e+02,-1.469473287637626191e+00,5.058578278825063279e-01,1.854429974682935267e+02,1.907421641669387782e+02,6.777219506672020444e+00,-1.127630621961002610e+00,4.593070424161574294e+01,1.271550819584157610e+00,0.000000000000000000e+00
6.000000000000000000e+02,-1.479255910494698067e+00,4.377017358143484027e-01,1.930361566157785376e+02,1.856533564708641677e+02,-1.779771239105024216e+00,-2.741177911025026503e+00,3.167585663545433139e+00,7.514056339891528324e+00,0.000000000000000000e+00
6.500000000000000000e+02,-1.480901720856065085e+00,5.241887108815810326e-01,1.918817572798670028e+02,1.872290832592856589e+02,1.028430812551896167e+00,7.491625259979883822e-02,1.057669936206153460e+00,5.612444903596866021e-03,0.000000000000000000e+00
7.000000000000000000e+02,-1.443853383850325578e+00,5.452259119782935093e-01,1.838077503546572018e+02,1.858187159110261746e+02,-4.272111199898457556e+00,-7.801895890695790037e+00,1.825093410429783702e+01,6.086957948925585526e+01,1.562500000000000000e-02
7.500000000000000000e+02,-1.477985836493472371e+00,5.113917898890706359e-01,1.854849416970477876e+02,1.928794324452811395e+02,-4.083362492732561577e+00,-4.267906423791071546e+00,1.667384924705507743e+01,1.821502524223709329e+01,7.812500000000000000e-03
8.000000000000000000e+02,-1.596898436386209319e+00,5.823991876701489767e-01,2.095378619332659298e+02,1.992681377816036274e+02,3.086381225536989348e-01,1.593767360523558718e+00,9.525749069347208553e-02,2.540094399470231412e+00,0.000000000000000000e+00
8.500000000000000000e+02,-1.506093980866152204e+00,6.009169377309460103e-01,1.914477813209979331e+02,1.941122777807370028e+02,-2.474989161596377940e+00,-3.521212993574774686e+00,6.125571350019542116e+00,1.239894094611982567e+01,0.000000000000000000e+00
9.000000000000000000e+02,-1.455548235903361798e+00,5.793868477687426077e-01,1.854100816804253782e+02,1.872102667108352421e+02,1.487685415824188340e+00,-3.077153272900805980e+00,2.213207896455988255e+00,9.468872264924142357e+00,0.000000000000000000e+00
9.500000000000000000e+02,-1.503527940642143790e+00,5.565696657397800617e-01,1.948046593658947643e+02,1.900984934384940743e+02,-1.928740829000310963e+00,-7.585293378175036239e+00,3.720041185452806598e+00,5.753667563298605359e+01,7.812500000000000000e-03
1.000000000000000000e+03,-1.477976002072786121e+00,5.035434525750470680e-01,1.934273631425570557e+02,1.849344933880761914e+02,-2.350167263134864903e+00,3.425374735844897600e+00,5.523286164710821566e+00,1.173319208096450161e+01,7.812500000000000000e-03
1.050000000000000000e+03,-1.470846688537374991e+00,4.623549201169971923e-01,1.892815786830004186e+02,1.872551735825675792e+02,2.448088540399190549e+00,1.690858038467694779e+00,5.993137501633839292e+00,2.859000906250820595e+00,0.000000000000000000e+00
1.100000000000000000e+03,-1.394552355173830360e+00,5.357502395005236950e-01,1.769694139280684624e+02,1.800359889964321098e+02,1.962086491649582376e+00,-1.078164985104475670e+00,3.849783400713766568e+00,1.162439735105334160e+00,1.562500000000000000e-02
1.150000000000000000e+03,-1.400591788039543539e+00,4.750895892804002374e-01,1.801718386124156837e+02,1.783796591257074624e+02,-6.449643396745523560e+00,-9.475933191200883954e+00,4.159789994518313705e+01,8.979330984410256633e+01,7.812500000000000000e-03
1.200000000000000000e+03,-1.399635823780491339e+00,5.554586090926117992e-01,1.751859694439689576e+02,1.831208014438367968e+02,-1.519477839947835918e-02,-2.797120144619108295e+00,2.308812906092541368e-04,7.823881103434021433e+00,7.812500000000000000e-03
1.250000000000000000e+03,-1.392107077592644071e+00,4.280849522728925050e-01,1.708006891903990265e+02,1.855787226733178841e+02,1.415594952340394563e+00,-2.734964610217157865e+00,2.003909069091604156e+00,7.480031419140289906e+00,3.125000000000000000e-02
1.300000000000000000e+03,-1.448944468393630558e+00,5.623826280176874581e-01,1.872690190786552762e+02,1.836607648301141467e+02,-4.739562095328054170e+00,7.307807688297580651e-01,2.246344885547045678e+01,5.340405320914123344e-01,7.812500000000000000e-03
