q_fraction_along_b1_plus_b3,J_eV_minus2,J_over_J0
0.000000000000000000e+00,6.197572623333741371e-01,1.000000000000000000e+00
4.166666666666666435e-02,1.146544226930235749e-01,1.849989175783949558e-01
8.333333333333332871e-02,9.801637334275957458e-02,1.581528435402754507e-01
1.250000000000000000e-01,5.444655206137681558e-02,8.785141436888790900e-02
1.666666666666666574e-01,1.315130761876464882e-01,2.122009441123808571e-01
2.083333333333333426e-01,7.379027957246493685e-02,1.190631946685803411e-01
2.500000000000000000e-01,8.240466823322462053e-02,1.329628117998531145e-01
2.916666666666666852e-01,5.268151076966447882e-02,8.500345856589014426e-02
3.333333333333333148e-01,5.945825702991210798e-02,9.593797546809361421e-02
3.750000000000000000e-01,6.196316927788936973e-02,9.997973891358567788e-02
4.166666666666666852e-01,3.889066875599409695e-02,6.275145306014080770e-02
4.583333333333333148e-01,3.088463357733630538e-02,4.983343553096297035e-02
5.000000000000000000e-01,9.968021876828175865e-02,1.608375162769172806e-01
