case,k24_formation_eV_atom,k32_formation_eV_atom,formation_change_meV_atom,within_1meV_atom,candidate_energy_change_meV_atom,reference_energy_change_meV_atom
al-fcc,0.0,0.0,0.0,True,-2.1741631005346154,-2.1741631005346154
al3si-l12,0.10725675700580338,0.10905497969847402,1.7982226926706453,False,0.1675942589576633,-1.6306284337129826
alsi-b2,0.2657622360640055,0.26685287141095826,1.0906353469527508,False,0.0035415800735157845,-1.0870937668792657
alsi3-l12,0.36591606137492194,0.36645096995943466,0.5349085845127166,True,-0.008650515532867475,-0.5435591000455489
si-diamond,0.0,0.0,0.0,True,-2.443323600044761e-05,-2.443323600044761e-05
