q_index,mode,sigma_Ry,star_weight,weight,frequency_THz,lambda_mode,gamma_GHz
3,1,0.05,4,0.0625,4.570055421859163,0.0921,4.87
3,2,0.05,4,0.0625,4.570055421859163,0.0937,4.96
3,3,0.05,4,0.0625,9.936533230102638,0.1756,43.93
4,1,0.005,6,0.09375,4.514742090320061,0.0275,1.35
4,2,0.005,6,0.09375,4.514742090320061,0.0275,1.35
4,3,0.005,6,0.09375,7.531306605663127,0.2266,30.91
4,1,0.01,6,0.09375,4.514742090320061,0.0899,4.59
4,2,0.01,6,0.09375,4.514742090320061,0.0899,4.59
4,3,0.01,6,0.09375,7.531306605663127,0.2636,37.48
4,1,0.015,6,0.09375,4.514742090320061,0.0965,4.97
4,2,0.015,6,0.09375,4.514742090320061,0.0965,4.97
4,3,0.015,6,0.09375,7.531306605663127,0.2542,36.45
4,1,0.02,6,0.09375,4.514742090320061,0.0978,5.03
4,2,0.02,6,0.09375,4.514742090320061,0.0978,5.03
4,3,0.02,6,0.09375,7.531306605663127,0.2395,34.33
4,1,0.025,6,0.09375,4.514742090320061,0.1012,5.21
4,2,0.025,6,0.09375,4.514742090320061,0.1012,5.21
4,3,0.025,6,0.09375,7.531306605663127,0.2327,33.31
4,1,0.03,6,0.09375,4.514742090320061,0.1066,5.49
4,2,0.03,6,0.09375,4.514742090320061,0.1066,5.49
4,3,0.03,6,0.09375,7.531306605663127,0.2299,32.92
4,1,0.035,6,0.09375,4.514742090320061,0.1123,5.79
4,2,0.035,6,0.09375,4.514742090320061,0.1123,5.79
4,3,0.035,6,0.09375,7.531306605663127,0.2289,32.81
4,1,0.04,6,0.09375,4.514742090320061,0.1175,6.06
4,2,0.04,6,0.09375,4.514742090320061,0.1175,6.06
4,3,0.04,6,0.09375,7.531306605663127,0.2292,32.87
4,1,0.045,6,0.09375,4.514742090320061,0.122,6.29
4,2,0.045,6,0.09375,4.514742090320061,0.122,6.29
4,3,0.045,6,0.09375,7.531306605663127,0.2302,33.06
4,1,0.05,6,0.09375,4.514742090320061,0.1258,6.49
4,2,0.05,6,0.09375,4.514742090320061,0.1258,6.49
4,3,0.05,6,0.09375,7.531306605663127,0.2318,33.31
5,1,0.005,24,0.375,5.584990531951615,0.0905,6.79
5,2,0.005,24,0.375,6.938020282913498,0.0974,11.27
5,3,0.005,24,0.375,9.168438409834893,0.2367,47.84
5,1,0.01,24,0.375,5.584990531951615,0.087,6.8
5,2,0.01,24,0.375,6.938020282913498,0.0844,10.19
5,3,0.01,24,0.375,9.168438409834893,0.1684,35.48
5,1,0.015,24,0.375,5.584990531951615,0.0946,7.46
5,2,0.015,24,0.375,6.938020282913498,0.0867,10.55
5,3,0.015,24,0.375,9.168438409834893,0.1745,37.08
5,1,0.02,24,0.375,5.584990531951615,0.0988,7.79
5,2,0.02,24,0.375,6.938020282913498,0.0901,10.96
5,3,0.02,24,0.375,9.168438409834893,0.1902,40.39
5,1,0.025,24,0.375,5.584990531951615,0.0988,7.78
