kx_tpiba,kx_inv_A,band5_eV
0.7,0.8148479995013461,7.043633109580449
0.7025,0.8177581709281366,7.039997615730428
0.705,0.8206683423549271,7.036421417077702
0.7075,0.8235785137817176,7.032904654922736
0.71,0.8264886852085082,7.029447505916328
0.7125,0.8293988566352989,7.026050133682778
0.715,0.8323090280620892,7.022712700857724
0.7175,0.8352191994888799,7.0194353692430305
0.72,0.8381293709156704,7.0162182423586135
0.7225,0.8410395423424609,7.0130615942234344
0.725,0.8439497137692514,7.00996552686229
0.7275,0.8468598851960419,7.006930198356064
0.73,0.8497700566228323,7.003955766007117
0.7325,0.8526802280496231,7.001042386106932
0.735,0.8555903994764134,6.998190214292161
0.7375,0.8585005709032041,6.995399405338127
0.74,0.8614107423299946,6.992670113263589
0.7425,0.8643209137567851,6.990002491062981
0.745,0.8672310851835756,6.98739669099834
0.7475,0.8701412566103661,6.984852754095143
0.75,0.8730514280371566,6.982371052105205
0.7525,0.8759615994639471,6.979951624768133
0.755,0.8788717708907376,6.977594667402032
0.7575,0.8817819423175282,6.975300236352056
0.76,0.8846921137443187,6.973068526026643
0.7625,0.8876022851711092,6.9708996836556105
0.765,0.8905124565978998,6.968793855572293
0.7675,0.8934226280246902,6.9667511877492725
0.77,0.8963327994514808,6.9647715652101825
0.7725,0.8992429708782713,6.962855652430711
0.775,0.9021531423050618,6.961003333744363
0.7775,0.9050633137318523,6.959214752511339
0.78,0.9079734851586428,6.957490051510722
0.7825,0.9108836565854334,6.9558293729452005
0.785,0.913793828012224,6.954232858294275
0.7875,0.9167039994390144,6.9527006485052825
0.79,0.919614170865805,6.95123288401073
0.7925,0.9225243422925955,6.949829704714947
0.795,0.925434513719386,6.948491249842733
0.7975,0.9283446851461765,6.947217658083541
0.8,0.931254856572967,6.946009067928549
0.8025,0.9341650279997575,6.944865617210701
0.805,0.9370751994265483,6.943787442875251
0.8075,0.9399853708533386,6.942774681576243
0.81,0.9428955422801292,6.941827469474891
0.8125,0.9458057137069197,6.940945942270367
0.815,0.9487158851337101,6.94013023520212
0.8175,0.9516260565605007,6.939380483130991
0.82,0.9545362279872911,6.938696755422609
0.8225,0.9574463994140817,6.938079315916869
0.825,0.9603565708408722,6.937528233033724
0.8275,0.9632667422676627,6.9370436396125275
0.83,0.9661769136944532,6.93662522899044
0.8325,0.9690870851212438,6.93627400961102
0.835,0.9719972565480343,6.9359896760843505
0.8375,0.974907427974825,6.935772621806846
0.84,0.9778175994016153,6.935623001730361
0.8425,0.980727770828406,6.935540108673267
0.845,0.9836379422551965,6.935524624143036
0.8475,0.986548113681987,6.935576677775382
0.85,0.9894582851087775,6.935696398965736
0.8525,0.9923684565355679,6.935883916673444
0.855,0.9952786279623584,6.936139359525909
0.8575,0.9981887993891492,6.93646285576133
0.86,1.0010989708159395,6.936854533189847
0.8625,1.0040091422427302,6.9373145193789165
0.865,1.0069193136695207,6.937842941446138
0.8675,1.0098294850963112,6.9384399260932135
0.87,1.0127396565231017,6.9391056869815655
0.8725,1.0156498279498922,6.939840175465102
0.875,1.0185599993766827,6.9406436050006635
0.8775,1.0214701708034732,6.941516100997759
0.88,1.0243803422302638,6.942457788609562
0.8825,1.0272905136570543,6.9434687928905365
0.885,1.0302006850838448,6.944549238243031
0.8875,1.0331108565106353,6.945699248795519
0.89,1.036021027937426,6.946918948487417
0.8925,1.0389311993642163,6.948208460895991
0.895,1.0418413707910068,6.949567909205373
0.8975,1.0447515422177973,6.950997416479089
0.9,1.0476617136445878,6.952497105435588
0.9025,1.0505718850713783,6.954067098591003
0.905,1.0534820564981688,6.955707517976017
0.9075,1.0563922279249593,6.95741848524379
0.91,1.05930239935175,6.959200121912079
0.9125,1.0622125707785404,6.961052549192793
0.915,1.065122742205331,6.9629758881037755
0.9175,1.0680329136321216,6.964970259297233
0.92,1.0709430850589121,6.967035783157128
0.9225,1.0738532564857026,6.9691725799509125
0.925,1.0767634279124931,6.97138076938585
0.9275,1.0796735993392836,6.973660470762275
0.93,1.0825837707660744,6.976011803397564
0.9325,1.0854939421928647,6.978434886262114
0.935,1.0884041136196554,6.9809298380396605
0.9375,1.0913142850464457,6.98349677712674
0.94,1.0942244564732362,6.986135821669032
0.9425,1.097134627900027,6.988847089498417
0.945,1.1000447993268172,6.991630698196926
0.9475,1.102954970753608,6.994486764890388
0.95,1.1058651421803984,6.997415406546359
