k_index,kx_crystal,ky_crystal,kz_crystal,distance_inv_angstrom,band_rank,QE_eV,Wannier_eV,QE_minus_EF_eV,Wannier_minus_EF_eV,error_eV
1,0.0,0.0,0.0,0.0,1,-3.1665642422585454,-3.1665642,-11.578764242258545,-11.5787642,4.225854555173214e-08
1,0.0,0.0,0.0,0.0,2,21.32626988735414,21.32627,12.91406988735414,12.91407,1.1264586063930437e-07
1,0.0,0.0,0.0,0.0,3,21.326269887354158,21.885705,12.914069887354158,13.473505000000001,0.5594351126458434
1,0.0,0.0,0.0,0.0,4,21.326269887354208,22.269502,12.914069887354207,13.857301999999999,0.9432321126457914
2,0.0125,0.0,0.0125,0.039706001,1,-3.1605806214296237,-3.157018,-11.572780621429624,-11.569218,0.0035626214296238246
2,0.0125,0.0,0.0125,0.039706001,2,21.229735696265983,21.276205,12.817535696265983,12.864005,0.046469303734017586
2,0.0125,0.0,0.0125,0.039706001,3,21.229735696265994,21.887603,12.817535696265994,13.475402999999998,0.6578673037340046
2,0.0125,0.0,0.0125,0.039706001,4,21.274438143892674,22.217091,12.862238143892673,13.804891,0.9426528561073262
3,0.025,0.0,0.025,0.079412002,1,-3.1426319713730666,-3.1344101,-11.554831971373067,-11.5466101,0.008221871373066403
3,0.025,0.0,0.025,0.079412002,2,20.996690961441015,21.132734,12.584490961441015,12.720533999999999,0.13604303855898436
3,0.025,0.0,0.025,0.079412002,3,20.996690961441054,21.770643,12.584490961441054,13.358443,0.7739520385589458
3,0.025,0.0,0.025,0.079412002,4,21.1281507884293,22.165327,12.715950788429298,13.753127000000001,1.0371762115707028
4,0.0375,0.0,0.0375,0.119118,1,-3.1126744192559226,-3.0995606,-11.524874419255923,-11.5117606,0.013113819255922365
4,0.0375,0.0,0.0375,0.119118,2,20.703720492843914,20.90598,12.291520492843913,12.49378,0.20225950715608576
4,0.0375,0.0,0.0375,0.119118,3,20.70372049284402,21.523491,12.29152049284402,13.111291,0.8197705071559795
4,0.0375,0.0,0.0375,0.119118,4,20.908955980064537,22.138258,12.496755980064536,13.726058,1.2293020199354636
5,0.05,0.0,0.05,0.158824,1,-3.0707715102911193,-3.0535381,-11.482971510291119,-11.4657381,0.017233410291119355
5,0.05,0.0,0.05,0.158824,2,20.388734101347612,20.61329,11.976534101347612,12.201089999999999,0.2245558986523868
5,0.05,0.0,0.05,0.158824,3,20.38873410134766,21.181827,11.976534101347658,12.769626999999998,0.7930928986523398
5,0.05,0.0,0.05,0.158824,4,20.639951478971533,22.116297,12.227751478971532,13.704096999999999,1.4763455210284668
6,0.0625,0.0,0.0625,0.19853001,1,-3.016989909300728,-2.9973629,-11.429189909300728,-11.409562900000001,0.019627009300728027
6,0.0625,0.0,0.0625,0.19853001,2,20.067576793887792,20.275453,11.655376793887791,11.863252999999998,0.20787620611220703
6,0.0625,0.0,0.0625,0.19853001,3,20.067576793887806,20.775662,11.655376793887806,12.363462,0.7080852061121945
6,0.0625,0.0,0.0625,0.19853001,4,20.339720005181288,22.087316,11.927520005181288,13.675116000000001,1.7475959948187132
7,0.075,0.0,0.075,0.23823601,1,-2.9512960261080825,-2.9317228,-11.363496026108082,-11.343922800000001,0.01957322610808232
7,0.075,0.0,0.075,0.23823601,2,19.747359577982564,19.913312,11.335159577982564,11.501112000000001,0.16595242201743687
7,0.075,0.0,0.075,0.23823601,3,19.74735957798261,20.328743,11.33515957798261,11.916542999999999,0.5813834220173888
7,0.075,0.0,0.075,0.23823601,4,20.02143870173865,22.044914,11.609238701738649,13.632713999999998,2.0234752982613493
8,0.0875,0.0,0.0875,0.27794201,1,-2.87372185385064,-2.8567829,-11.28592185385064,-11.268982900000001,0.01693895385064037
8,0.0875,0.0,0.0875,0.27794201,2,19.431618539503052,19.54532,11.019418539503052,11.13312,0.11370146049694796
8,0.0875,0.0,0.0875,0.27794201,3,19.431618539503113,19.862735,11.019418539503112,11.450535,0.431116460496888
8,0.0875,0.0,0.0875,0.27794201,4,19.694017521328085,21.981791,11.281817521328085,13.569591,2.287773478671916
9,0.1,0.0,0.1,0.31764801,1,-2.784284808592019,-2.7721396,-11.19648480859202,-11.184339600000001,0.012145208592019063
9,0.1,0.0,0.1,0.31764801,2,19.12232455506823,19.185975,10.710124555068228,10.773774999999999,0.06365044493177052
9,0.1,0.0,0.1,0.31764801,3,19.12232455506829,19.39734,10.710124555068289,10.98514,0.2750154449317108
