k_index,kx_crystal,ky_crystal,kz_crystal,distance_inv_angstrom,band_rank,QE_eV,Wannier_eV,QE_minus_EF_eV,Wannier_minus_EF_eV,error_eV
1,0.0,0.0,0.0,0.0,1,-3.1665642422585454,-3.1665642,-11.578764242258545,-11.5787642,4.225854555173214e-08
1,0.0,0.0,0.0,0.0,2,21.32626988735414,21.32627,12.91406988735414,12.91407,1.1264586063930437e-07
1,0.0,0.0,0.0,0.0,3,21.326269887354158,21.366162,12.914069887354158,12.953961999999999,0.03989211264584114
1,0.0,0.0,0.0,0.0,4,21.326269887354208,21.471358,12.914069887354207,13.059157999999998,0.1450881126457908
2,0.0125,0.0,0.0125,0.039706001,1,-3.1605806214296237,-3.1615783,-11.572780621429624,-11.5737783,-0.000997678570376248
2,0.0125,0.0,0.0125,0.039706001,2,21.229735696265983,21.285696,12.817535696265983,12.873496000000001,0.05596030373401817
2,0.0125,0.0,0.0125,0.039706001,3,21.229735696265994,21.301337,12.817535696265994,12.889137,0.0716013037340062
2,0.0125,0.0,0.0125,0.039706001,4,21.274438143892674,21.433256,12.862238143892673,13.021056,0.15881785610732635
3,0.025,0.0,0.025,0.079412002,1,-3.1426319713730666,-3.1462872,-11.554831971373067,-11.5584872,-0.003655228626933571
3,0.025,0.0,0.025,0.079412002,2,20.996690961441015,21.120553,12.584490961441015,12.708353,0.12386203855898614
3,0.025,0.0,0.025,0.079412002,3,20.996690961441054,21.155684,12.584490961441054,12.743484,0.15899303855894686
3,0.025,0.0,0.025,0.079412002,4,21.1281507884293,21.306059,12.715950788429298,12.893859,0.1779082115707027
4,0.0375,0.0,0.0375,0.119118,1,-3.1126744192559226,-3.1190998,-11.524874419255923,-11.5312998,-0.00642538074407728
4,0.0375,0.0,0.0375,0.119118,2,20.703720492843914,20.876113,12.291520492843913,12.463913,0.17239250715608634
4,0.0375,0.0,0.0375,0.119118,3,20.70372049284402,20.913273,12.29152049284402,12.501073,0.20955250715597984
4,0.0375,0.0,0.0375,0.119118,4,20.908955980064537,21.103268,12.496755980064536,12.691068,0.1943120199354631
5,0.05,0.0,0.05,0.158824,1,-3.0707715102911193,-3.0784181,-11.482971510291119,-11.4906181,-0.007646589708880658
5,0.05,0.0,0.05,0.158824,2,20.388734101347612,20.555637,11.976534101347612,12.143437,0.1669028986523884
5,0.05,0.0,0.05,0.158824,3,20.38873410134766,20.613575,11.976534101347658,12.201375,0.22484089865234225
5,0.05,0.0,0.05,0.158824,4,20.639951478971533,20.847251,12.227751478971532,12.435051,0.20729952102846738
6,0.0625,0.0,0.0625,0.19853001,1,-3.016989909300728,-3.0234192,-11.429189909300728,-11.435619200000001,-0.006429290699272006
6,0.0625,0.0,0.0625,0.19853001,2,20.067576793887792,20.183587,11.655376793887791,11.771386999999999,0.11601020611220747
6,0.0625,0.0,0.0625,0.19853001,3,20.067576793887806,20.274118,11.655376793887806,11.861918000000001,0.2065412061121954
6,0.0625,0.0,0.0625,0.19853001,4,20.339720005181288,20.572979,11.927520005181288,12.160779,0.23325899481871204
7,0.075,0.0,0.075,0.23823601,1,-2.9512960261080825,-2.9543065,-11.363496026108082,-11.3665065,-0.0030104738919174423
7,0.075,0.0,0.075,0.23823601,2,19.747359577982564,19.794175,11.335159577982564,11.381974999999999,0.04681542201743483
7,0.075,0.0,0.075,0.23823601,3,19.74735957798261,19.902196,11.33515957798261,11.489996,0.15483642201738945
7,0.075,0.0,0.075,0.23823601,4,20.02143870173865,20.315373,11.609238701738649,11.903173,0.29393429826135176
8,0.0875,0.0,0.0875,0.27794201,1,-2.87372185385064,-2.872025,-11.28592185385064,-11.284225,0.0016968538506403341
8,0.0875,0.0,0.0875,0.27794201,2,19.431618539503052,19.412228,11.019418539503052,11.000027999999999,-0.01939053950305336
8,0.0875,0.0,0.0875,0.27794201,3,19.431618539503113,19.516525,11.019418539503112,11.104325000000001,0.08490646049688877
8,0.0875,0.0,0.0875,0.27794201,4,19.694017521328085,20.094841,11.281817521328085,11.682640999999998,0.4008234786719136
9,0.1,0.0,0.1,0.31764801,1,-2.784284808592019,-2.7777637,-11.19648480859202,-11.1899637,0.006521108592019154
9,0.1,0.0,0.1,0.31764801,2,19.12232455506823,19.053229,10.710124555068228,10.641029000000001,-0.06909555506822684
9,0.1,0.0,0.1,0.31764801,3,19.12232455506829,19.138465,10.710124555068289,10.726265,0.016140444931711073
