distance_angstrom,max_abs_matrix_element_Ry,amplitude_over_global_max
20.5563312876,8.44214e-05,0.0011829901742720639
19.3806949997,0.0001260217,0.0017659317761262163
18.7652772429,0.0001011421,0.001417295975963944
18.7652772429,0.0001486624,0.0020831940536842944
18.5556027599,0.0001044889,0.0014641944106647872
18.3435317635,0.0001296474,0.001816738413718796
18.5556027599,0.0001030775,0.0014444165778881737
18.7652772429,9.38864e-05,0.0013156224452304357
18.3435317635,0.0001090156,0.001527626687574165
18.3435317635,0.0001297021,0.0018175049203454652
18.7652772429,9.60215e-05,0.0013455414269233274
19.3806949997,0.0001423637,0.0019949308856879394
18.7652772429,9.86236e-05,0.0013820044414252586
18.5556027599,9.91179e-05,0.0013889310269017217
18.7652772429,0.000111446,0.0015616836840176122
19.3806949997,0.0001236156,0.0017322152935955308
20.5563312876,0.0001202244,0.0016846946853256912
19.1777501926,8.67326e-05,0.0012153768308636106
19.1777501926,9.71772e-05,0.0013617361565109226
18.1289801516,0.0001285515,0.0018013816566407952
17.9118587845,0.0001451303,0.0020336990252371664
18.1289801516,9.91515e-05,0.001389401860953935
17.4695223939,0.0001779524,0.0024936324283668836
17.0156910005,0.0001154121,0.0016172603189724983
17.0156910005,0.0001127563,0.0015800448107621185
17.4695223939,0.0001349264,0.0018907126090055627
17.2440997575,0.0001432521,0.0020073799622351575
16.549418956,0.0001090022,0.0015274389144700083
16.3112854048,0.0001103596,0.0015464600496627073
16.549418956,0.0001230538,0.0017243428361391744
17.2440997575,0.0001491393,0.002089876814383718
17.4695223939,0.0001648442,0.0023099482937470705
16.549418956,0.0001108942,0.001553951355743462
16.0696233726,0.0001538759,0.0021562504028276087
16.0696233726,0.0001745413,0.0024458329630244534
16.549418956,0.0001173377,0.0016442435942981655
17.4695223939,0.0001845807,0.0025865142542087615
18.1289801516,9.97611e-05,0.0013979441359012383
17.0156910005,0.0001066466,0.0014944300843094652
16.3112854048,0.0001036099,0.0014518770555488432
16.0696233726,0.0001430344,0.002004329349938524
16.3112854048,0.0001168404,0.0016372749700670406
17.0156910005,0.0001144889,0.0016043235928712022
18.1289801516,0.0001118187,0.0015669062986384452
19.1777501926,9.33539e-05,0.001308160566277944
17.9118587845,0.0001481694,0.002076285685001518
17.0156910005,0.0001175428,0.001647117643825219
16.549418956,0.0001079013,0.0015120120928009042
16.549418956,0.0001113545,0.0015604015020004233
17.0156910005,0.000111088,0.0015566670592946225
17.9118587845,0.0001148269,0.0016090599592297789
19.1777501926,7.88456e-05,0.001104856944857411
20.5563312876,0.0001236618,0.0017328626904173246
19.1777501926,9.1361e-05,0.0012802342215560275
18.1289801516,0.0001019097,0.0014280522919901085
17.4695223939,0.0001698684,0.0023803519974712178
17.2440997575,0.0001497148,0.0020979412488196974
17.4695223939,0.0001440309,0.002018293222945393
18.1289801516,0.0001011693,0.0014176771273395456
19.1777501926,0.0001093835,0.001532782040187539
20.5563312876,0.0001298804,0.0018200034236642057
23.7364068049,3.55217e-05,0.000497762677158161
21.8480985342,8.21626e-05,0.001151337794595279
21.8480985342,7.13296e-05,0.0009995358515110695
20.1720669134,0.0001090833,0.0015285753621377025
19.9771631454,0.0001099437,0.0015406320769747422
20.1720669134,9.89646e-05,0.0013867828465384973
18.7652772429,8.30967e-05,0.0011644272615051801
18.3435317635,0.000103434,0.0014494121832338324
18.3435317635,0.000104179,0.0014598518073082104
18.7652772429,7.82097e-05,0.0010959461301609053
17.6920730524,9.30654e-05,0.001304117839371289
17.0156910005,0.0001219276,0.001708561487639088
16.7841742127,8.78455e-05,0.0012309718075513626
17.0156910005,0.000121376,0.001700831961948582
17.6920730524,8.9289e-05,0.0012511994550028585
17.0156910005,0.0001869217,0.002619318495763283
16.0696233726,0.000130968,0.0018352438735209752
15.5750545069,0.0001823382,0.002555090285098973
15.5750545069,0.0001870198,0.0026206931630407284
16.0696233726,0.0001430545,0.002004611009594759
17.0156910005,0.0001709356,0.0023953065837962863
16.7841742127,0.0002117398,0.0029670925014549858
15.5750545069,0.0002558253,0.0035848590076710766
