distance_angstrom,max_abs_matrix_element_Ry,amplitude_over_global_max
6.8521104292,0.0013783869,0.019315222906103546
7.9121356016,0.0008690061,0.012177311412538605
6.2550924143,0.0015371371,0.02153977647621403
6.2550924143,0.0016872567,0.023643390154329442
5.5947247376,0.0094361095,0.13222743074451832
4.8451737499,0.0047416944,0.06644497585447375
5.5947247376,0.0096869366,0.13574225038433896
6.2550924143,0.0022326036,0.03128529166590979
4.8451737499,0.0045598121,0.06389627405879156
4.8451737499,0.0052919136,0.07415515250750053
6.2550924143,0.0019691439,0.027593452435375053
7.9121356016,0.0008690061,0.012177311412538605
6.2550924143,0.0017340348,0.02429888784414643
5.5947247376,0.008703325,0.12195898147266464
6.2550924143,0.0019152832,0.026838706850968546
7.9121356016,0.0008690061,0.012177311412538605
6.2550924143,0.001560379,0.021865463320206356
6.2550924143,0.0015844453,0.02220270241397978
6.8521104292,0.0020792345,0.029136143010036405
4.8451737499,0.0022731257,0.03185312453933846
3.9560678008,0.0040355926,0.05655042907562599
4.8451737499,0.0048983143,0.06863967770489879
6.8521104292,0.0020792345,0.029136143010036405
4.8451737499,0.0062502365,0.08758405293416853
2.7973623688,0.0454112289,0.6363438368745317
2.7973623688,0.0600165457,0.841006946779493
4.8451737499,0.0058290593,0.08168213127416976
6.2550924143,0.0019795569,0.02773936895280659
3.9560678008,0.0051470122,0.07212466103924407
2.7973623688,0.0473853879,0.664007565496075
3.9560678008,0.0048695296,0.06823632005779309
6.2550924143,0.0019795569,0.02773936895280659
6.2550924143,0.0015844453,0.02220270241397978
4.8451737499,0.0033011705,0.046259032248894195
4.8451737499,0.0044119085,0.06182371300745308
6.2550924143,0.001560379,0.021865463320206356
6.8521104292,0.0020792345,0.029136143010036405
5.5947247376,0.0101852548,0.14272514256879623
4.8451737499,0.0057724298,0.08088858672179394
5.5947247376,0.0096002144,0.13452701928782484
4.8451737499,0.0066847092,0.09367228334836983
2.7973623688,0.0460529002,0.6453355243259644
2.7973623688,0.0615327709,0.8622536865111687
4.8451737499,0.006257901,0.08769145494587063
5.5947247376,0.0110613717,0.15500209704021817
2.7973623688,0.0713627229,1.0
0.0,0.0584562697,0.8191429267898633
2.7973623688,0.0446690896,0.6259442995553075
5.5947247376,0.0110613717,0.15500209704021817
4.8451737499,0.0046091607,0.06458779195489471
2.7973623688,0.0516778751,0.7241578375928254
2.7973623688,0.0665799446,0.9329793188146412
4.8451737499,0.006084956,0.08526799080420179
5.5947247376,0.0096002144,0.13452701928782484
4.8451737499,0.0068417249,0.09587253151182662
5.5947247376,0.0101852548,0.14272514256879623
6.8521104292,0.0013783869,0.019315222906103546
6.2550924143,0.0022953212,0.0321641482657047
4.8451737499,0.0053118116,0.07443398155425485
4.8451737499,0.0047345641,0.0663450595436851
6.2550924143,0.0020597501,0.02886310970625814
6.2550924143,0.0019790184,0.02773182299634478
3.9560678008,0.0052000123,0.07286734710622988
2.7973623688,0.050511845,0.707818353158719
3.9560678008,0.0046347574,0.064946476418713
6.2550924143,0.0019790184,0.02773182299634478
4.8451737499,0.0044374483,0.062181600136224625
2.7973623688,0.0518528401,0.7266096078293
2.7973623688,0.0610066133,0.8548806830911998
4.8451737499,0.0061080733,0.08559193163858382
6.8521104292,0.0013783869,0.019315222906103546
4.8451737499,0.0051978484,0.07283702455249225
3.9560678008,0.0045153228,0.06327284913619798
4.8451737499,0.0037333887,0.05231567053896707
6.8521104292,0.0013783869,0.019315222906103546
6.2550924143,0.0020597501,0.02886310970625814
6.2550924143,0.0022953212,0.0321641482657047
7.9121356016,0.0008690061,0.012177311412538605
6.2550924143,0.0017340348,0.02429888784414643
5.5947247376,0.008703325,0.12195898147266464
6.2550924143,0.0019152832,0.026838706850968546
7.9121356016,0.0008690061,0.012177311412538605
6.2550924143,0.0016872567,0.023643390154329442
4.8451737499,0.0034082439,0.047759443046700226
4.8451737499,0.004981262,0.0698020170415891
6.2550924143,0.0015371371,0.02153977647621403
5.5947247376,0.0096869366,0.13574225038433896
4.8451737499,0.0063427923,0.08888102979041458
5.5947247376,0.0094361095,0.13222743074451832
6.2550924143,0.0019691439,0.027593452435375053
6.2550924143,0.0022326036,0.03128529166590979
7.9121356016,0.0008690061,0.012177311412538605
6.8521104292,0.0020792345,0.029136143010036405
