omega_meV,alpha2F,native_cumulative_lambda
17.1774456,0.0815023,0.0435879
17.2678532,0.0798228,0.0444237
17.3582608,0.0744281,0.045199
17.4486684,0.066088,0.0458839
17.539076,0.0560518,0.0464617
17.6294836,0.0457566,0.046931
17.7198912,0.0365339,0.0473038
17.8102988,0.0293896,0.0476022
17.9007065,0.024896,0.0478536
17.9911141,0.0231921,0.0480867
18.0815217,0.0240574,0.0483273
18.1719293,0.0270249,0.0485962
18.2623369,0.0315026,0.0489081
18.3527445,0.0368867,0.0492715
18.4431521,0.042655,0.0496897
18.5335597,0.0484286,0.0501622
18.6239673,0.0539952,0.0506864
18.7143749,0.0592955,0.0512593
18.8047825,0.0643843,0.0518784
18.8951901,0.0693832,0.0525424
18.9855978,0.0744434,0.0532513
19.0760054,0.0797233,0.054007
19.166413,0.0853832,0.0548125
19.2568206,0.0915867,0.0556725
19.3472282,0.0984935,0.056593
19.4376358,0.106224,0.0575811
19.5280434,0.1147836,0.0586439
19.618451,0.1239626,0.0597864
19.7088586,0.1332598,0.061009
19.7992662,0.1418956,0.0623049
19.8896738,0.1489575,0.063659
19.9800814,0.1536556,0.0650496
20.0704891,0.1555934,0.0664513
20.1608967,0.1549348,0.0678409
20.2513043,0.1523801,0.0692014
20.3417119,0.1489505,0.0705254
20.4321195,0.1456567,0.0718144
20.5225271,0.1431716,0.0730758
20.6129347,0.1416091,0.074318
20.7033423,0.1404754,0.0755449
20.7937499,0.1388028,0.0767518
20.8841575,0.135436,0.0779244
20.9745651,0.1293952,0.0790399
21.0649727,0.120215,0.0800718
21.1553804,0.1081545,0.0809962
21.245788,0.0942077,0.081798
21.3361956,0.0799106,0.0824752
21.4266032,0.0670121,0.0830407
21.5170108,0.0571157,0.0835207
21.6074184,0.0513938,0.0839507
21.697826,0.050427,0.084371
21.7882336,0.0541649,0.0848205
21.8786412,0.0619743,0.0853326
21.9690488,0.0727476,0.0859314
22.0594564,0.0850663,0.0866286
22.149864,0.0974315,0.087424
22.2402717,0.1085437,0.0883065
22.3306793,0.1175724,0.0892585
22.4210869,0.1243175,0.090261
22.5114945,0.1291866,0.0912987
22.6019021,0.1329774,0.0923625
22.6923097,0.1365438,0.0934505
22.7827173,0.1404748,0.0945654
22.8731249,0.1449042,0.0957109
22.9635325,0.1495006,0.096888
23.0539401,0.1536134,0.0980929
23.1443477,0.156505,0.0993155
23.2347553,0.1575953,0.100542
23.325163,0.1566727,0.1017565
23.4155706,0.1540378,0.102946
23.5059782,0.1505507,0.104104
23.5963858,0.1475407,0.1052346
23.6867934,0.1465517,0.1063533
23.777201,0.1489488,0.107486
23.8676086,0.1554836,0.1086639
23.9580162,0.165976,0.1099166
24.0484238,0.1792598,0.1112644
24.1388314,0.1934535,0.1127135
24.229239,0.2064862,0.1142544
24.3196466,0.216689,0.1158655
24.4100543,0.2232273,0.117519
24.5004619,0.2262097,0.1191885
24.5908695,0.2264503,0.1208536
24.6812771,0.2250026,0.1225019
24.7716847,0.2226729,0.1241273
24.8620923,0.2197166,0.1257252
24.9524999,0.2158219,0.1272892
25.0429075,0.210361,0.128808
25.1333151,0.2027708,0.1302668
25.2237227,0.1928872,0.1316495
25.3141303,0.1810925,0.132943
25.4045379,0.1682342,0.1341404
25.4949456,0.1553761,0.1352424
25.5853532,0.1435079,0.1362566
25.6757608,0.1333328,0.1371955
25.7661684,0.1251922,0.1380741
25.856576,0.1191098,0.138907
25.9469836,0.1148894,0.1397076
26.0373912,0.1122056,0.1404868
26.1277988,0.1106678,0.1412527
26.2182064,0.1098744,0.1420104
26.308614,0.1094805,0.1427629
26.3990216,0.10927,0.1435113
26.4894292,0.109196,0.1442567
26.5798369,0.1093492,0.1450005
26.6702445,0.1098598,0.1457454
26.7606521,0.1107842,0.1464939
26.8510597,0.1120509,0.1472485
26.9414673,0.1135112,0.1480103
27.0318749,0.1150815,0.14878
27.1222825,0.1169068,0.1495594
27.2126901,0.1194584,0.1503532
27.3030977,0.123501,0.1511711
27.3935053,0.1299203,0.1520286
27.4839129,0.1394543,0.1529461
27.5743205,0.1524095,0.1539455
