q_index,mode,sigma_Ry,star_weight,weight,frequency_THz,lambda_mode,gamma_GHz
3,1,0.05,4,0.0625,4.570055421859163,0.092,4.87
3,2,0.05,4,0.0625,4.570055421859163,0.0935,4.95
3,3,0.05,4,0.0625,9.936533230102638,0.1746,43.69
4,1,0.005,6,0.09375,4.514742090320061,0.0789,4.26
4,2,0.005,6,0.09375,4.514742090320061,0.0789,4.26
4,3,0.005,6,0.09375,7.531306605663127,0.3355,50.47
4,1,0.01,6,0.09375,4.514742090320061,0.1021,5.42
4,2,0.01,6,0.09375,4.514742090320061,0.1021,5.42
4,3,0.01,6,0.09375,7.531306605663127,0.2509,37.08
4,1,0.015,6,0.09375,4.514742090320061,0.1003,5.28
4,2,0.015,6,0.09375,4.514742090320061,0.1003,5.28
4,3,0.015,6,0.09375,7.531306605663127,0.234,34.26
4,1,0.02,6,0.09375,4.514742090320061,0.1004,5.23
4,2,0.02,6,0.09375,4.514742090320061,0.1004,5.23
4,3,0.02,6,0.09375,7.531306605663127,0.2298,33.29
4,1,0.025,6,0.09375,4.514742090320061,0.1037,5.37
4,2,0.025,6,0.09375,4.514742090320061,0.1037,5.37
4,3,0.025,6,0.09375,7.531306605663127,0.228,32.84
4,1,0.03,6,0.09375,4.514742090320061,0.1085,5.6
4,2,0.03,6,0.09375,4.514742090320061,0.1085,5.6
4,3,0.03,6,0.09375,7.531306605663127,0.227,32.61
4,1,0.035,6,0.09375,4.514742090320061,0.1135,5.86
4,2,0.035,6,0.09375,4.514742090320061,0.1135,5.86
4,3,0.035,6,0.09375,7.531306605663127,0.2271,32.59
4,1,0.04,6,0.09375,4.514742090320061,0.1183,6.1
4,2,0.04,6,0.09375,4.514742090320061,0.1183,6.1
4,3,0.04,6,0.09375,7.531306605663127,0.2281,32.74
4,1,0.045,6,0.09375,4.514742090320061,0.1225,6.32
4,2,0.045,6,0.09375,4.514742090320061,0.1225,6.32
4,3,0.045,6,0.09375,7.531306605663127,0.2298,33.0
4,1,0.05,6,0.09375,4.514742090320061,0.1261,6.51
4,2,0.05,6,0.09375,4.514742090320061,0.1261,6.51
4,3,0.05,6,0.09375,7.531306605663127,0.2317,33.3
5,1,0.005,24,0.375,5.584990531951615,0.1171,9.69
5,2,0.005,24,0.375,6.938020282913498,0.1143,14.59
5,3,0.005,24,0.375,9.168438409834893,0.1994,44.45
5,1,0.01,24,0.375,5.584990531951615,0.0915,7.44
5,2,0.01,24,0.375,6.938020282913498,0.0966,12.11
5,3,0.01,24,0.375,9.168438409834893,0.1844,40.39
5,1,0.015,24,0.375,5.584990531951615,0.0939,7.56
5,2,0.015,24,0.375,6.938020282913498,0.094,11.67
5,3,0.015,24,0.375,9.168438409834893,0.1954,42.4
5,1,0.02,24,0.375,5.584990531951615,0.0959,7.64
5,2,0.02,24,0.375,6.938020282913498,0.0923,11.35
5,3,0.02,24,0.375,9.168438409834893,0.1986,42.65
5,1,0.025,24,0.375,5.584990531951615,0.0964,7.64
5,2,0.025,24,0.375,6.938020282913498,0.0915,11.19
5,3,0.025,24,0.375,9.168438409834893,0.1999,42.68
