sigma_Ry,lambda_qsum,lambda_native_printed,lambda_spectrum_internal,lambda_spectrum_printed_trapezoid,omega_log_native_replay_K,omega_log_printed_K,omega_log_spectrum_K,omega2_spectrum_K,mu_star,Tc_native_printed_K,Tc_QE_replay_K,Tc_spectrum_simple_K,f1,f2,Tc_spectrum_full_AD_K
0.005,0.41224374999999996,0.412244,0.4123118974907037,0.4123086327385403,339.81624743456604,339.816,339.81629524701833,358.67746976613256,0.1,1.687,1.6869390581823693,1.6883772440028422,1.0139143266669637,1.0009459456974465,1.7134892124572414
0.01,0.3709890625,0.370989,0.37105171212902066,0.37104865011057436,338.5344661994305,338.534,338.5348765908201,358.54914368204635,0.1,0.898,0.8982661799099062,0.8992071242465952,1.011902679113609,1.000813157330787,0.9106499981698033
0.015,0.3695203125,0.36952,0.36958174035851743,0.36957895051127443,341.4706002819467,341.471,341.47079344539105,361.57413625153805,0.1,0.883,0.8828682594564312,0.8837879665841878,1.0118328535187704,1.000803809588625,0.8949645034027851
0.02,0.3675046875,0.367505,0.36756535942041996,0.3675629500006175,342.62212449713996,342.622,342.6222254055975,362.72187701966755,0.1,0.854,0.8544755780075989,0.8553734937652986,1.011737283155779,1.0007926725585363,0.8660992440043367
0.025,0.367121875,0.367122,0.36718251726317225,0.3671802344696896,342.59816752379794,342.598,342.59819099047616,362.79530766432936,0.1,0.849,0.8485316333365436,0.8494272222553385,1.0117191676756636,1.0007945091772417,0.8600645890299048
0.03,0.36845,0.36845,0.3685110850475227,0.36850882546791836,342.10936645906486,342.109,342.10940300507394,362.44960492939975,0.1,0.868,0.8678064453442648,0.8687203813041807,1.0117820929538766,1.0008062563845117,0.8796643892530918
0.035,0.3703328125,0.370333,0.3703944785490338,0.37039225532017694,341.5137924665272,341.514,341.51387414288297,361.9933091526781,0.1,0.896,0.8957669453356746,0.8967067818972906,1.0118714777913858,1.000820628866514,0.9080966158008349
0.04,0.3722796875,0.37228,0.37234194106750884,0.37233918300221924,340.9312313302351,340.931,340.9315306822356,361.5316909173808,0.1,0.925,0.9252524211557729,0.9262104550363939,1.0119640986610785,1.0008347622366172,0.9380741440408513
0.045,0.374,0.374,0.37406277085900214,0.3740603190421469,340.42704180908197,340.427,340.42719642879246,361.1241015873082,0.1,0.952,0.9517472456421666,0.9527331336391512,1.0120461657557827,1.000847010803099,0.9650266111023599
0.05,0.3755046875,0.375505,0.3755678936863538,0.37556550448885295,340.0312306046614,340.031,340.03136957360067,360.79889977523203,0.1,0.975,0.9753662856042158,0.976373566366287,1.0121180799164191,1.0008572118981847,0.9890524406464661
