route,sigma_Ry,frequency_THz,a2F,cumulative_lambda
lambda.x,0.005,0.9665,0.0,0.0
lambda.x,0.005,0.9735,0.0,0.0
lambda.x,0.005,0.9805,0.0,0.0
lambda.x,0.005,0.9875,0.0,0.0
lambda.x,0.005,0.9945,0.0,0.0
lambda.x,0.005,1.0015,0.0,0.0
lambda.x,0.005,1.0085,0.0,0.0
lambda.x,0.005,1.0155,0.0,0.0
lambda.x,0.005,1.0225,0.0,0.0
lambda.x,0.005,1.0295,0.0,0.0
lambda.x,0.005,1.0365,0.0,0.0
lambda.x,0.005,1.0435,0.0,0.0
lambda.x,0.005,1.0505,0.0,0.0
lambda.x,0.005,1.0575,0.0,0.0
lambda.x,0.005,1.0645,0.0,0.0
lambda.x,0.005,1.0715,0.0,0.0
lambda.x,0.005,1.0785,0.0,0.0
lambda.x,0.005,1.0855,0.0,0.0
lambda.x,0.005,1.0925,0.0,0.0
lambda.x,0.005,1.0995,0.0,0.0
lambda.x,0.005,1.1066,0.0,0.0
lambda.x,0.005,1.1136,0.0,0.0
lambda.x,0.005,1.1206,0.0,0.0
lambda.x,0.005,1.1276,0.0,0.0
lambda.x,0.005,1.1346,0.0,0.0
lambda.x,0.005,1.1416,0.0,0.0
lambda.x,0.005,1.1486,0.0,0.0
lambda.x,0.005,1.1556,0.0,0.0
lambda.x,0.005,1.1626,0.0,0.0
lambda.x,0.005,1.1696,0.0,0.0
lambda.x,0.005,1.1766,0.0,0.0
lambda.x,0.005,1.1836,0.0,0.0
lambda.x,0.005,1.1906,0.0,0.0
lambda.x,0.005,1.1976,0.0,0.0
lambda.x,0.005,1.2046,0.0,0.0
lambda.x,0.005,1.2116,0.0,0.0
lambda.x,0.005,1.2186,0.0,0.0
lambda.x,0.005,1.2256,0.0,0.0
lambda.x,0.005,1.2326,0.0,0.0
lambda.x,0.005,1.2396,0.0,0.0
lambda.x,0.005,1.2466,0.0,0.0
lambda.x,0.005,1.2536,0.0,0.0
lambda.x,0.005,1.2606,0.0,0.0
lambda.x,0.005,1.2676,0.0,0.0
lambda.x,0.005,1.2746,0.0,0.0
lambda.x,0.005,1.2816,0.0,0.0
lambda.x,0.005,1.2886,0.0,0.0
lambda.x,0.005,1.2956,0.0,0.0
lambda.x,0.005,1.3027,0.0,0.0
lambda.x,0.005,1.3097,0.0,0.0
lambda.x,0.005,1.3167,0.0,0.0
lambda.x,0.005,1.3237,0.0,0.0
lambda.x,0.005,1.3307,0.0,0.0
lambda.x,0.005,1.3377,0.0,0.0
lambda.x,0.005,1.3447,0.0,0.0
lambda.x,0.005,1.3517,0.0,0.0
lambda.x,0.005,1.3587,0.0,0.0
lambda.x,0.005,1.3657,0.0,0.0
lambda.x,0.005,1.3727,0.0,0.0
lambda.x,0.005,1.3797,0.0,0.0
lambda.x,0.005,1.3867,0.0,0.0
lambda.x,0.005,1.3937,0.0,0.0
lambda.x,0.005,1.4007,0.0,0.0
lambda.x,0.005,1.4077,0.0,0.0
lambda.x,0.005,1.4147,0.0,0.0
lambda.x,0.005,1.4217,0.0,0.0
lambda.x,0.005,1.4287,0.0,0.0
lambda.x,0.005,1.4357,0.0,0.0
lambda.x,0.005,1.4427,0.0,0.0
lambda.x,0.005,1.4497,0.0,0.0
lambda.x,0.005,1.4567,0.0,0.0
lambda.x,0.005,1.4637,0.0,0.0
lambda.x,0.005,1.4707,0.0,0.0
lambda.x,0.005,1.4777,0.0,0.0
lambda.x,0.005,1.4847,0.0,0.0
lambda.x,0.005,1.4917,0.0,0.0
lambda.x,0.005,1.4987,0.0,0.0
lambda.x,0.005,1.5058,0.0,0.0
lambda.x,0.005,1.5128,0.0,0.0
lambda.x,0.005,1.5198,0.0,0.0
lambda.x,0.005,1.5268,0.0,0.0
lambda.x,0.005,1.5338,0.0,0.0
lambda.x,0.005,1.5408,0.0,0.0
lambda.x,0.005,1.5478,0.0,0.0
lambda.x,0.005,1.5548,0.0,0.0
lambda.x,0.005,1.5618,0.0,0.0
lambda.x,0.005,1.5688,0.0,0.0
lambda.x,0.005,1.5758,0.0,0.0
lambda.x,0.005,1.5828,0.0,0.0
lambda.x,0.005,1.5898,0.0,0.0
lambda.x,0.005,1.5968,0.0,0.0
lambda.x,0.005,1.6038,0.0,0.0
lambda.x,0.005,1.6108,0.0,0.0
lambda.x,0.005,1.6178,0.0,0.0
lambda.x,0.005,1.6248,0.0,0.0
lambda.x,0.005,1.6318,0.0,0.0
lambda.x,0.005,1.6388,0.0,0.0
lambda.x,0.005,1.6458,0.0,0.0
lambda.x,0.005,1.6528,0.0,0.0
lambda.x,0.005,1.6598,0.0,0.0
lambda.x,0.005,1.6668,0.0,0.0
lambda.x,0.005,1.6738,0.0,0.0
lambda.x,0.005,1.6808,0.0,0.0
lambda.x,0.005,1.6878,0.0,0.0
lambda.x,0.005,1.6948,0.0,0.0
lambda.x,0.005,1.7019,0.0,0.0
lambda.x,0.005,1.7089,0.0,0.0
lambda.x,0.005,1.7159,0.0,0.0
lambda.x,0.005,1.7229,0.0,0.0
lambda.x,0.005,1.7299,0.0,0.0
lambda.x,0.005,1.7369,0.0,0.0
lambda.x,0.005,1.7439,0.0,0.0
lambda.x,0.005,1.7509,0.0,0.0
lambda.x,0.005,1.7579,0.0,0.0
lambda.x,0.005,1.7649,0.0,0.0
lambda.x,0.005,1.7719,0.0,0.0
lambda.x,0.005,1.7789,0.0,0.0
lambda.x,0.005,1.7859,0.0,0.0
lambda.x,0.005,1.7929,0.0,0.0
lambda.x,0.005,1.7999,0.0,0.0
lambda.x,0.005,1.8069,0.0,0.0
lambda.x,0.005,1.8139,0.0,0.0
lambda.x,0.005,1.8209,0.0,0.0
lambda.x,0.005,1.8279,0.0,0.0
lambda.x,0.005,1.8349,0.0,0.0
lambda.x,0.005,1.8419,0.0,0.0
lambda.x,0.005,1.8489,0.0,0.0
lambda.x,0.005,1.8559,0.0,0.0
lambda.x,0.005,1.8629,0.0,0.0
lambda.x,0.005,1.8699,0.0,0.0
lambda.x,0.005,1.8769,0.0,0.0
lambda.x,0.005,1.8839,0.0,0.0
lambda.x,0.005,1.8909,0.0,0.0
lambda.x,0.005,1.8979,0.0,0.0
lambda.x,0.005,1.905,0.0,0.0
lambda.x,0.005,1.912,0.0,0.0
lambda.x,0.005,1.919,0.0,0.0
lambda.x,0.005,1.926,0.0,0.0
lambda.x,0.005,1.933,0.0,0.0
lambda.x,0.005,1.94,0.0,0.0
lambda.x,0.005,1.947,0.0,0.0
lambda.x,0.005,1.954,0.0,0.0
lambda.x,0.005,1.961,0.0,0.0
lambda.x,0.005,1.968,0.0,0.0
lambda.x,0.005,1.975,0.0,0.0
lambda.x,0.005,1.982,0.0,0.0
lambda.x,0.005,1.989,0.0,0.0
lambda.x,0.005,1.996,0.0,0.0
lambda.x,0.005,2.003,0.0,0.0
lambda.x,0.005,2.01,0.0,0.0
lambda.x,0.005,2.017,0.0,0.0
lambda.x,0.005,2.024,0.0,0.0
lambda.x,0.005,2.031,0.0,0.0
lambda.x,0.005,2.038,0.0,0.0
lambda.x,0.005,2.045,0.0,0.0
lambda.x,0.005,2.052,0.0,0.0
lambda.x,0.005,2.059,0.0,0.0
lambda.x,0.005,2.066,0.0,0.0
lambda.x,0.005,2.073,0.0,0.0
lambda.x,0.005,2.08,0.0,0.0
lambda.x,0.005,2.087,0.0,0.0
lambda.x,0.005,2.094,0.0,0.0
lambda.x,0.005,2.1011,0.0,0.0
lambda.x,0.005,2.1081,0.0,0.0
lambda.x,0.005,2.1151,0.0,0.0
lambda.x,0.005,2.1221,0.0,0.0
lambda.x,0.005,2.1291,0.0,0.0
lambda.x,0.005,2.1361,0.0,0.0
lambda.x,0.005,2.1431,0.0,0.0
lambda.x,0.005,2.1501,0.0,0.0
lambda.x,0.005,2.1571,0.0,0.0
lambda.x,0.005,2.1641,0.0,0.0
lambda.x,0.005,2.1711,0.0,0.0
lambda.x,0.005,2.1781,0.0,0.0
lambda.x,0.005,2.1851,0.0,0.0
lambda.x,0.005,2.1921,0.0,0.0
lambda.x,0.005,2.1991,0.0,0.0
lambda.x,0.005,2.2061,0.0,0.0
lambda.x,0.005,2.2131,0.0,0.0
lambda.x,0.005,2.2201,0.0,0.0
lambda.x,0.005,2.2271,0.0,0.0
lambda.x,0.005,2.2341,0.0,0.0
lambda.x,0.005,2.2411,0.0,0.0
