grid,k_index,k1_index,k2_index,k3_index,k1_fraction,k2_fraction,k3_fraction,phase_rad,phase_per_area_A2
4,1,0,0,0,0.0,0.0,0.0,-8.754720428495156e-06,-3.65477059414018e-05
4,2,0,0,1,0.0,0.0,0.25,2.7237055301199507e-06,1.1370458896870178e-05
4,3,0,0,2,0.0,0.0,0.5,-3.530207828624348e-06,-1.4737306426445712e-05
4,4,0,0,3,0.0,0.0,0.75,-1.4189270673985774e-06,-5.923493461057642e-06
4,5,0,1,0,0.0,0.25,0.0,-1.4725816600285934e-06,-6.14748145586156e-06
4,6,0,1,1,0.0,0.25,0.25,-3.222487794279942e-06,-1.3452689582383843e-05
4,7,0,1,2,0.0,0.25,0.5,2.8205418655984005e-06,1.1774714628668305e-05
4,8,0,1,3,0.0,0.25,0.75,-3.1385444138938736e-06,-1.3102257149145697e-05
4,9,0,2,0,0.0,0.5,0.0,7.604786097029815e-07,3.1747157238381495e-06
4,10,0,2,1,0.0,0.5,0.25,-4.944213082522957e-06,-2.0640253144296136e-05
4,11,0,2,2,0.0,0.5,0.5,-1.9822185949188382e-06,-8.275026359822317e-06
4,12,0,2,3,0.0,0.5,0.75,1.185684301352741e-06,4.949791548355025e-06
4,13,0,3,0,0.0,0.75,0.0,2.092017669432094e-06,8.733396712219545e-06
4,14,0,3,1,0.0,0.75,0.25,4.2829753429527385e-06,1.787983119129911e-05
4,15,0,3,2,0.0,0.75,0.5,-4.5442248829132194e-07,-1.8970450982277787e-06
4,16,0,3,3,0.0,0.75,0.75,1.433877746815296e-06,5.985906994351968e-06
4,17,1,0,0,0.25,0.0,0.0,2.6419397941568636e-07,1.1029117320235175e-06
4,18,1,0,1,0.25,0.0,0.25,2.372079960957234e-06,9.902552753184676e-06
4,19,1,0,2,0.25,0.0,0.5,5.345714910202009e-06,2.2316374141282864e-05
4,20,1,0,3,0.25,0.0,0.75,3.468994245366138e-06,1.4481762453475563e-05
4,21,1,1,0,0.25,0.25,0.0,-1.6714582102291828e-06,-6.977717182374754e-06
4,22,1,1,1,0.25,0.25,0.25,7.353585793245736e-06,3.0698489275757655e-05
4,23,1,1,2,0.25,0.25,0.5,2.016312431631063e-06,8.417355464303696e-06
4,24,1,1,3,0.25,0.25,0.75,4.325552301967127e-06,1.8057574180426688e-05
4,25,1,2,0,0.25,0.5,0.0,-2.7286403964099987e-07,-1.139106013062766e-06
4,26,1,2,1,0.25,0.5,0.25,-3.1936273241549463e-06,-1.3332207839525921e-05
4,27,1,2,2,0.25,0.5,0.5,-4.817224683040432e-07,-2.0110123744943705e-06
4,28,1,2,3,0.25,0.5,0.75,4.539496816518044e-06,1.8950713061267787e-05
4,29,1,3,0,0.25,0.75,0.0,2.65887374950594e-07,1.1099810293880396e-06
4,30,1,3,1,0.25,0.75,0.25,2.966806140013346e-06,1.2385313646045355e-05
4,31,1,3,2,0.25,0.75,0.5,5.3841087949719264e-06,2.2476654349198103e-05
4,32,1,3,3,0.25,0.75,0.75,8.500791993095965e-06,3.548764904262027e-05
4,33,2,0,0,0.5,0.0,0.0,3.254854469281199e-08,1.3587808428257735e-07
4,34,2,0,1,0.5,0.0,0.25,-9.587281013524824e-07,-4.002333713814762e-06
4,35,2,0,2,0.5,0.0,0.5,4.18436093114871e-06,1.7468152651289188e-05
4,36,2,0,3,0.5,0.0,0.75,1.7301556975999084e-06,7.2227573895916475e-06
4,37,2,1,0,0.5,0.25,0.0,-2.658774908292948e-07,-1.1099397668529668e-06
4,38,2,1,1,0.5,0.25,0.25,-7.519734196993075e-07,-3.13920971473496e-06
