grid,trial,seed,unitary_error,max_flux_difference_rad,max_chern_difference
4,0,2026092600,8.881784197001252e-16,1.3322676295501878e-15,6.515682587335479e-17
4,1,2026092601,8.881784197001252e-16,8.88177572667178e-16,5.784077434483306e-17
4,2,2026092602,8.881784197001252e-16,9.43689570931383e-16,9.193740322550285e-17
4,3,2026092603,8.881784197001252e-16,1.1657367169552561e-15,6.460393849138355e-17
4,4,2026092604,1.1102230246251565e-15,8.881784197001252e-16,6.239660175976474e-17
4,5,2026092605,7.771561172376096e-16,6.661338147750939e-16,5.135282375275848e-17
4,6,2026092606,1.1102230246251565e-15,7.771563289958464e-16,2.7608914205186102e-17
4,7,2026092607,8.881784197001252e-16,7.771561172376096e-16,8.779578636505286e-17
4,8,2026092608,1.1102230246251565e-15,8.326672684688674e-16,6.291371407584372e-17
4,9,2026092609,9.992007221626409e-16,9.159335717992805e-16,9.663150303948253e-17
4,10,2026092610,8.881784197001252e-16,9.410840975856288e-16,6.460498326485755e-17
4,11,2026092611,8.881784197001252e-16,1.1102230246251565e-15,7.675320479218619e-17
