grid,k_index,k1_index,k2_index,k3_index,k1_fraction,k2_fraction,k3_fraction,phase_rad,phase_per_area_A2
6,1,0,0,0,0.0,0.0,0.0,-1.7170126983554027e-06,-1.612775306153876e-05
6,2,0,0,1,0.0,0.0,0.166666666667,-5.392939184776841e-06,-5.0655415380028824e-05
6,3,0,0,2,0.0,0.0,0.333333333333,7.419366349071381e-07,6.9689471991398054e-06
6,4,0,0,3,0.0,0.0,0.5,-6.570314261369979e-06,-6.171439852808125e-05
6,5,0,0,4,0.0,0.0,0.666666666667,1.049800746333511e-06,9.860688401956969e-06
6,6,0,0,5,0.0,0.0,0.833333333333,-2.7015168096477627e-06,-2.5375115768990514e-05
6,7,0,1,0,0.0,0.166666666667,0.0,5.663384564369736e-07,5.319568564296051e-06
6,8,0,1,1,0.0,0.166666666667,0.166666666667,-4.00886872409972e-06,-3.7654960211030176e-05
6,9,0,1,2,0.0,0.166666666667,0.333333333333,9.429255443534078e-07,8.856818793078628e-06
6,10,0,1,3,0.0,0.166666666667,0.5,4.739649055192067e-06,4.451911720496254e-05
6,11,0,1,4,0.0,0.166666666667,0.666666666667,5.681540163893522e-07,5.336621963265335e-06
6,12,0,1,5,0.0,0.166666666667,0.833333333333,7.482194160913368e-07,7.027960824126675e-06
6,13,0,2,0,0.0,0.333333333333,0.0,1.2777647813714412e-06,1.2001935037771134e-05
6,14,0,2,1,0.0,0.333333333333,0.166666666667,2.9346978606723467e-06,2.7565365388668132e-05
6,15,0,2,2,0.0,0.333333333333,0.333333333333,-4.53422924984197e-07,-4.258962658569748e-06
6,16,0,2,3,0.0,0.333333333333,0.5,2.751178089458601e-06,2.5841579912369494e-05
6,17,0,2,4,0.0,0.333333333333,0.666666666667,1.7405156856617944e-06,1.6348514606196543e-05
6,18,0,2,5,0.0,0.333333333333,0.833333333333,7.73334234149902e-07,7.263862156843653e-06
6,19,0,3,0,0.0,0.5,0.0,-1.3287932275899997e-06,-1.2481240857999015e-05
6,20,0,3,1,0.0,0.5,0.166666666667,-3.705986638022508e-06,-3.481001474516624e-05
6,21,0,3,2,0.0,0.5,0.333333333333,1.215125587761567e-06,1.1413570462784828e-05
6,22,0,3,3,0.0,0.5,0.5,-2.595185829012999e-07,-2.4376357984548218e-06
6,23,0,3,4,0.0,0.5,0.666666666667,-2.2063319866667675e-06,-2.0723887183139824e-05
6,24,0,3,5,0.0,0.5,0.833333333333,-1.0169746222218125e-06,-9.552355432638816e-06
6,25,0,4,0,0.0,0.666666666667,0.0,-1.8513815288483972e-06,-1.7389867965775895e-05
6,26,0,4,1,0.0,0.666666666667,0.166666666667,7.640898930638736e-07,7.177030853618635e-06
6,27,0,4,2,0.0,0.666666666667,0.333333333333,-1.8040676873134443e-07,-1.6945453108856446e-06
6,28,0,4,3,0.0,0.666666666667,0.5,-9.335930139243965e-07,-8.769159134916196e-06
6,29,0,4,4,0.0,0.666666666667,0.666666666667,-1.438987413976908e-06,-1.3516285402845692e-05
6,30,0,4,5,0.0,0.666666666667,0.833333333333,1.4687286603037594e-06,1.3795642379623606e-05
6,31,0,5,0,0.0,0.833333333333,0.0,1.3922884134491886e-06,1.3077645694791633e-05
6,32,0,5,1,0.0,0.833333333333,0.166666666667,1.623516079463808e-06,1.5249547336550975e-05
6,33,0,5,2,0.0,0.833333333333,0.333333333333,1.2921252833256998e-06,1.213682200137942e-05
6,34,0,5,3,0.0,0.833333333333,0.5,2.9191419435067696e-06,2.7419249992473052e-05
6,35,0,5,4,0.0,0.833333333333,0.666666666667,3.0702232353178537e-06,2.8838343612969442e-05
6,36,0,5,5,0.0,0.833333333333,0.833333333333,-2.133743823186605e-06,-2.0042072787171773e-05
6,37,1,0,0,0.166666666667,0.0,0.0,9.655346989158433e-07,9.06918464340832e-06
6,38,1,0,1,0.166666666667,0.0,0.166666666667,-4.0302400622361775e-07,-3.7855699357799193e-06
6,39,1,0,2,0.166666666667,0.0,0.333333333333,-4.390258116229954e-06,-4.1237318071550555e-05
6,40,1,0,3,0.166666666667,0.0,0.5,2.799586817540437e-06,2.629627894474987e-05
6,41,1,0,4,0.166666666667,0.0,0.666666666667,-8.688628032050822e-07,-8.161153815501613e-06
6,42,1,0,5,0.166666666667,0.0,0.833333333333,-5.987085746270518e-07,-5.623618309089694e-06
6,43,1,1,0,0.166666666667,0.166666666667,0.0,-2.072734859139099e-06,-1.946902081869133e-05
6,44,1,1,1,0.166666666667,0.166666666667,0.166666666667,1.869998156157606e-06,1.7564732349929374e-05
6,45,1,1,2,0.166666666667,0.166666666667,0.333333333333,-2.3102637625172158e-07,-2.1700109442747295e-06
6,46,1,1,3,0.166666666667,0.166666666667,0.5,8.344797136447237e-06,7.838196403216096e-05
6,47,1,1,4,0.166666666667,0.166666666667,0.666666666667,-1.3652615541985625e-06,-1.2823784723093193e-05
6,48,1,1,5,0.166666666667,0.166666666667,0.833333333333,4.011242829092198e-06,3.767725997567229e-05
6,49,1,2,0,0.166666666667,0.333333333333,0.0,-4.191034326806021e-07,-3.936602609864278e-06
6,50,1,2,1,0.166666666667,0.333333333333,0.166666666667,-3.5141580120857283e-07,-3.3008184908842983e-06
6,51,1,2,2,0.166666666667,0.333333333333,0.333333333333,-6.436067990778673e-07,-6.045343481849256e-06
6,52,1,2,3,0.166666666667,0.333333333333,0.5,1.8099128701321116e-07,1.7000356409914912e-06
6,53,1,2,4,0.166666666667,0.333333333333,0.666666666667,2.6051420831674523e-07,2.4469876226186583e-06
6,54,1,2,5,0.166666666667,0.333333333333,0.833333333333,5.714324566308583e-07,5.3674160713652135e-06
6,55,1,3,0,0.166666666667,0.5,0.0,-2.0151827878275992e-07,-1.892843914729136e-06
6,56,1,3,1,0.166666666667,0.5,0.166666666667,-2.9896965567100415e-07,-2.808196342504385e-06
6,57,1,3,2,0.166666666667,0.5,0.333333333333,4.753830748494183e-07,4.465232463423203e-06
6,58,1,3,3,0.166666666667,0.5,0.5,-1.6267871405517625e-07,-1.5280272132894222e-06
6,59,1,3,4,0.166666666667,0.5,0.666666666667,4.16821373368056e-06,3.915167422401902e-05
6,60,1,3,5,0.166666666667,0.5,0.833333333333,-2.4884303284622687e-07,-2.3373612720932956e-06
6,61,1,4,0,0.166666666667,0.666666666667,0.0,9.258102573461726e-08,8.696056369658905e-07
6,62,1,4,1,0.166666666667,0.666666666667,0.166666666667,-5.8282374632016e-07,-5.474413478744599e-06
6,63,1,4,2,0.166666666667,0.666666666667,0.333333333333,-3.5188504590239387e-06,-3.305226066061018e-05
6,64,1,4,3,0.166666666667,0.666666666667,0.5,-1.7805220520195067e-08,-1.672429097530822e-07
6,65,1,4,4,0.166666666667,0.666666666667,0.666666666667,4.066749892572938e-06,3.8198633063853864e-05
6,66,1,4,5,0.166666666667,0.666666666667,0.833333333333,-1.0694750593456076e-06,-1.0045487537233273e-05
6,67,1,5,0,0.166666666667,0.833333333333,0.0,6.752684986247552e-07,6.342739111066173e-06
