grid,k_index,axis,neighbor_index,G1,G2,G3,min_singular,max_singular,abs_determinant
4,1,2,5,0,0,0,0.7435865367367794,0.9980219974951515,0.5768448803099036
4,1,1,17,0,0,0,0.7435902949043789,0.9980220187115206,0.5768483838069663
4,2,2,6,0,0,0,0.6668978281917214,0.9984305638345276,0.578327741405975
4,2,1,18,0,0,0,0.6669004252092067,0.9984306447831016,0.5783304647607618
4,3,2,7,0,0,0,0.7915554646418987,0.9976792368635411,0.6942250751251279
4,3,1,19,0,0,0,0.7915616241477866,0.9976793135417603,0.6942297319163266
4,4,2,8,0,0,0,0.8201446626646627,0.9980442678597674,0.6774202346040932
4,4,1,20,0,0,0,0.8201448597199689,0.9980442556873811,0.6774213198797849
4,5,2,9,0,0,0,0.9756039700807643,0.9976280138033652,0.939918873998743
4,5,1,21,0,0,0,0.6668967225520925,0.9984305800255666,0.5783267205036059
4,6,2,10,0,0,0,0.8052192229218261,0.9983140435337604,0.7870095119726892
4,6,1,22,0,0,0,0.6669003137203551,0.9984305828112998,0.5783301180036825
4,7,2,11,0,0,0,0.817642397574028,0.9981644350223714,0.7986909472825835
4,7,1,23,0,0,0,0.7590134927190896,0.9983223845160878,0.6868651318357666
4,8,2,12,0,0,0,0.9793301165826951,0.9975448738823212,0.9545067307326996
4,8,1,24,0,0,0,0.759013890944243,0.9983223921088776,0.6868660618449776
4,9,2,13,0,0,0,0.9756040368720135,0.9976279331385548,0.9399188956709262
4,9,1,25,0,0,0,0.7915600838331023,0.9976792926609334,0.6942295021727088
4,10,2,14,0,0,0,0.9793299162702217,0.997544891744765,0.9545068739993811
4,10,1,26,0,0,0,0.7590121273739013,0.9983223669074294,0.6868643777162152
4,11,2,15,0,0,0,0.8176432048926144,0.9981644250038689,0.7986917325875866
4,11,1,27,0,0,0,0.8176412906175154,0.9981644350879156,0.7986898636923366
4,12,2,16,0,0,0,0.8052187449294976,0.9983140407892854,0.7870087803387508
4,12,1,28,0,0,0,0.8116360863609011,0.9981082579271435,0.7975200747564868
4,13,1,29,0,0,0,0.8201435746536648,0.9980442860355422,0.6774193832636968
4,13,2,1,0,1,0,0.7435886768567005,0.9980221031805974,0.5768477283801389
