grid,k_index,axis,neighbor_index,G1,G2,G3,min_singular,max_singular,abs_determinant
6,1,2,7,0,0,0,0.7966734991200223,0.9991334542417258,0.6730002633673255
6,1,1,37,0,0,0,0.7966726075808339,0.9991334660121396,0.6729990188092058
6,2,2,8,0,0,0,0.7327477358249835,0.9993112717350758,0.670833486011337
6,2,1,38,0,0,0,0.7327497117528987,0.9993112775883783,0.6708352901194864
6,3,2,9,0,0,0,0.8169071661332657,0.9991220497129526,0.7699239431569908
6,3,1,39,0,0,0,0.8169066574394918,0.9991220729752288,0.769923662914149
6,4,2,10,0,0,0,0.8390301350079266,0.99896104047311,0.773799128722395
6,4,1,40,0,0,0,0.8390312684071615,0.9989610387088481,0.7738006709144882
6,5,2,11,0,0,0,0.8564891847998105,0.9990741140138878,0.772311613130483
6,5,1,41,0,0,0,0.8564894905856683,0.9990741039996361,0.7723118621924393
6,6,2,12,0,0,0,0.8603266535910379,0.9991826976418207,0.7670755636178292
6,6,1,42,0,0,0,0.8603270133115792,0.9991827024740021,0.7670752359997032
6,7,2,13,0,0,0,0.9860480762322218,0.9991016695260868,0.9599589603363654
6,7,1,43,0,0,0,0.732748579864819,0.9993112701337993,0.6708343761849782
6,8,2,14,0,0,0,0.8602215816037625,0.9993001375032303,0.8444407086586866
6,8,1,44,0,0,0,0.7327525863585987,0.9993112700848399,0.6708386332711113
6,9,2,15,0,0,0,0.8664973101990509,0.9993555497142702,0.8495467192742843
6,9,1,45,0,0,0,0.8084951103108566,0.9992949681451003,0.7655274403643211
6,10,2,16,0,0,0,0.9809127510353374,0.999181605900816,0.9630724554448244
6,10,1,46,0,0,0,0.8210228344329967,0.9991974331239153,0.7738759178104985
6,11,2,17,0,0,0,0.9792995521353952,0.9990416652136842,0.9649256263666159
6,11,1,47,0,0,0,0.8210232991557241,0.9991974361923157,0.7738769476229506
6,12,2,18,0,0,0,0.9734239746688541,0.9991138294335313,0.9587027822535119
6,12,1,48,0,0,0,0.8084970570802228,0.9992949625523588,0.7655292410552381
6,13,2,19,0,0,0,0.9888390107075474,0.9989022850379145,0.9733462808568967
6,13,1,49,0,0,0,0.8169067715200762,0.9991220695102715,0.7699245504674974
6,14,2,20,0,0,0,0.9786835629320981,0.9991419504976298,0.9704129798342651
6,14,1,50,0,0,0,0.8084980818682637,0.9992949499194442,0.7655302592835453
6,15,2,21,0,0,0,0.863032957298298,0.9992410693484903,0.8556874706376261
6,15,1,51,0,0,0,0.8664959086304576,0.9993555394002863,0.8495453000982762
6,16,2,22,0,0,0,0.8670550251082394,0.9991917579349607,0.8596865681030282
6,16,1,52,0,0,0,0.8741723882429714,0.9992614401027047,0.8625071204602458
6,17,2,23,0,0,0,0.9842390043070613,0.9990265754101186,0.9762370599563427
6,17,1,53,0,0,0,0.8711475105282848,0.9992172451271211,0.8612820214880945
6,18,2,24,0,0,0,0.9905781699930133,0.9988969839593745,0.9800867238211015
6,18,1,54,0,0,0,0.8691404776257768,0.9992348672026667,0.8555140243545113
6,19,2,25,0,0,0,0.9888392057126466,0.9989022948820854,0.9733469414342153
6,19,1,55,0,0,0,0.8390310366629464,0.9989610457508188,0.7737994985612648
6,20,2,26,0,0,0,0.9905778362479808,0.9988969823119894,0.9800864265229559
6,20,1,56,0,0,0,0.8210227538246049,0.9991974394049049,0.7738760070086924
6,21,2,27,0,0,0,0.9842388540593463,0.9990265574308786,0.976236823046727
6,21,1,57,0,0,0,0.874172183924244,0.9992614378570104,0.8625069111285599
6,22,2,28,0,0,0,0.8670549175351868,0.999191756819676,0.8596863854513174
6,22,1,58,0,0,0,0.867054993700609,0.999191754054451,0.8596865336143215
6,23,2,29,0,0,0,0.8630332458808899,0.9992410576233122,0.8556876621882314
6,23,1,59,0,0,0,0.8647825903427988,0.9991832877139043,0.8590828137283466
6,24,2,30,0,0,0,0.9786837535172608,0.9991419631634557,0.9704132816083262
6,24,1,60,0,0,0,0.8659444179234003,0.9991710196544517,0.855579854320604
6,25,2,31,0,0,0,0.9860481033043871,0.999101665245382,0.9599590384042331
6,25,1,61,0,0,0,0.8564912749771147,0.9990740928292909,0.772312815709264
6,26,2,32,0,0,0,0.9734239422046195,0.9991138278639066,0.958703143268333
6,26,1,62,0,0,0,0.8210231847107929,0.9991974361296085,0.773875766403342
6,27,2,33,0,0,0,0.9792997873368122,0.9990416646911874,0.9649260064749462
6,27,1,63,0,0,0,0.8711464586138401,0.9992172506561322,0.8612809484366828
6,28,2,34,0,0,0,0.9809125122296986,0.999181603825663,0.9630721184327158
6,28,1,64,0,0,0,0.8647848483606349,0.9991832855244576,0.8590850807327014
6,29,2,35,0,0,0,0.8664978413250138,0.9993555469399403,0.8495473094092977
6,29,1,65,0,0,0,0.8630328898515588,0.9992410589506006,0.8556873309386572
6,30,2,36,0,0,0,0.8602208316488447,0.9993001433265915,0.8444404140764861
6,30,1,66,0,0,0,0.8619401866575642,0.9992464441305903,0.8502580219825935
6,31,1,67,0,0,0,0.8603292014052452,0.9991826964258504,0.7670776604175613
6,31,2,1,0,1,0,0.7966713114670839,0.9991334643843397,0.6729964535161101
6,32,1,68,0,0,0,0.8084978530410377,0.9992949557660339,0.7655297084527255
6,32,2,2,0,1,0,0.8603278379077414,0.9991827017999038,0.7670767317795656
6,33,1,69,0,0,0,0.8691411671758803,0.999234869857284,0.8555148206409903
6,33,2,3,0,1,0,0.8564901572691446,0.999074111936892,0.7723131210347743
6,34,1,70,0,0,0,0.8659464237837102,0.9991710277734047,0.8555818373469533
6,34,2,4,0,1,0,0.8390315600178697,0.9989610605131766,0.7738007528424803
6,35,1,71,0,0,0,0.8619408985875854,0.9992464491568082,0.8502584202524162
6,35,2,5,0,1,0,0.8169084890616352,0.9991220626465628,0.7699259694576222
6,36,1,72,0,0,0,0.8602188586649294,0.9993001509159501,0.8444384654389044
6,36,2,6,0,1,0,0.7327451654775219,0.9993112808060992,0.6708312279405173
6,37,2,43,0,0,0,0.7327467071768936,0.9993112701705374,0.67083204131184
6,37,1,73,0,0,0,0.9860482410999232,0.9991016639618715,0.9599591094699816
6,38,2,44,0,0,0,0.7327467261038906,0.999311277101962,0.6708326828160434
6,38,1,74,0,0,0,0.8602200060272227,0.9993001538570111,0.8444395153404989
6,39,2,45,0,0,0,0.8084962092823155,0.9992949613421759,0.7655283062740179
6,39,1,75,0,0,0,0.8664967318014416,0.9993555442530675,0.8495463802195654
6,40,2,46,0,0,0,0.821026069339464,0.999197433397209,0.773879611760291
