sigma_Ry,mu_star,lambda_qsum,lambda_spectrum,omega_log_K,N_EF,N_EF_unit,Tc_K,native_printed_Tc_K,native_lambda_6dp,native_lambda_spectrum_6dp,native_omega_log_K_3dp,EF_eV
0.005,0.1,0.430378125,0.4304415098931551,355.87674820264516,2.518161,states/spin/Ry/cell,2.2121048547475515,2.212,0.430378,0.430442,355.877,8.37364
0.01,0.1,0.3710609375,0.37112120998566794,344.60641242725575,2.624685,states/spin/Ry/cell,0.9155315239786773,0.916,0.371061,0.371121,344.606,8.377216
0.015,0.1,0.3702953124999999,0.37035597042772617,343.4197567901003,2.647439,states/spin/Ry/cell,0.900170371150573,0.9,0.370295,0.370356,343.42,8.379158
0.02,0.1,0.37448593750000003,0.37454723597987555,343.7405850459475,2.646097,states/spin/Ry/cell,0.9690437966359435,0.969,0.374486,0.374547,343.741,8.379914
0.025,0.1,0.37461250000000007,0.3746739717621056,343.5372249264546,2.643523,states/spin/Ry/cell,0.970567571980822,0.971,0.374613,0.374674,343.537,8.379582
0.03,0.1,0.37377343749999997,0.3738351079852376,342.83106003425945,2.643829,states/spin/Ry/cell,0.9547458658913996,0.955,0.373773,0.373835,342.831,8.37839
0.035,0.1,0.37358125000000003,0.3736432603608637,342.00589559580726,2.645823,states/spin/Ry/cell,0.949304245163308,0.949,0.373581,0.373643,342.006,8.376691
0.04,0.1,0.37408593749999997,0.3741483684143978,341.2433935079562,2.648339,states/spin/Ry/cell,0.9554370920252211,0.955,0.374086,0.374148,341.243,8.374776
0.045,0.1,0.37502187499999995,0.37508473583089413,340.6309156463961,2.650827,states/spin/Ry/cell,0.9690996938467834,0.969,0.375022,0.375085,340.631,8.372817
0.05,0.1,0.376040625,0.37610387574411847,340.1448118464218,2.653067,states/spin/Ry/cell,0.9845880840026243,0.985,0.376041,0.376104,340.145,8.370889
