x_A,z_A,delta_n_e_A3
6.3194444444,0.0694444444,-3.239501927523e-07
6.3888888889,0.0694444444,-2.984733741177e-07
6.4583333333,0.0694444444,-2.751202524115e-07
6.5277777778,0.0694444444,-2.602438080808e-07
6.5972222222,0.0694444444,-2.565187097846e-07
6.6666666667,0.0694444444,-2.588045840511e-07
6.7361111111,0.0694444444,-2.573680011560e-07
6.8055555556,0.0694444444,-2.460709636210e-07
6.8750000000,0.0694444444,-2.258677559880e-07
6.9444444444,0.0694444444,-2.000256070070e-07
7.0138888889,0.0694444444,-1.693207472820e-07
7.0833333333,0.0694444444,-1.349909556629e-07
7.1527777778,0.0694444444,-1.042892775306e-07
7.2222222222,0.0694444444,-8.783144836210e-08
7.2916666667,0.0694444444,-8.930891630500e-08
7.3611111111,0.0694444444,-1.003381336228e-07
7.4305555556,0.0694444444,-1.078158246948e-07
7.5000000000,0.0694444444,-1.052475162870e-07
7.5694444444,0.0694444444,-9.527163799200e-08
7.6388888889,0.0694444444,-8.291612396000e-08
7.7083333333,0.0694444444,-6.993837571600e-08
7.7777777778,0.0694444444,-5.623446915100e-08
7.8472222222,0.0694444444,-4.354697709020e-08
7.9166666667,0.0694444444,-3.508817904430e-08
7.9861111111,0.0694444444,-3.210416561890e-08
8.0555555556,0.0694444444,-3.259949409120e-08
8.1250000000,0.0694444444,-3.359929281220e-08
8.1944444444,0.0694444444,-3.368865622720e-08
8.2638888889,0.0694444444,-3.324516792010e-08
8.3333333333,0.0694444444,-3.302237330510e-08
8.4027777778,0.0694444444,-3.291518949700e-08
8.4722222222,0.0694444444,-3.196932472000e-08
8.5416666667,0.0694444444,-2.968215084400e-08
8.6111111111,0.0694444444,-2.719828732800e-08
8.6805555556,0.0694444444,-2.610740962600e-08
8.7500000000,0.0694444444,-2.505217527900e-08
8.8194444444,0.0694444444,-1.870310293810e-08
8.8888888889,0.0694444444,-2.790206756900e-09
8.9583333333,0.0694444444,1.899989754905e-08
9.0277777778,0.0694444444,3.538919826929e-08
9.0972222222,0.0694444444,3.709461525461e-08
9.1666666667,0.0694444444,2.564633536242e-08
9.2361111111,0.0694444444,1.111201734660e-08
9.3055555556,0.0694444444,1.650866988180e-09
9.3750000000,0.0694444444,-2.530882492100e-09
9.4444444444,0.0694444444,-5.016221876300e-09
9.5138888889,0.0694444444,-6.346934377500e-09
9.5833333333,0.0694444444,-3.835719028240e-09
9.6527777778,0.0694444444,3.263216834220e-09
9.7222222222,0.0694444444,1.144783910078e-08
9.7916666667,0.0694444444,1.642030950405e-08
9.8611111111,0.0694444444,1.713864405475e-08
9.9305555556,0.0694444444,1.578032627401e-08
0.0000000000,0.1388888889,-7.687268629000e-11
0.0694444444,0.1388888889,1.108647248850e-09
0.1388888889,0.1388888889,4.140652048058e-09
0.2083333333,0.1388888889,6.919688383880e-09
0.2777777778,0.1388888889,6.278238172650e-09
0.3472222222,0.1388888889,1.228971360030e-09
0.4166666667,0.1388888889,-4.806825969288e-09
0.4861111111,0.1388888889,-7.128543785940e-09
0.5555555556,0.1388888889,-5.155970437100e-09
0.6250000000,0.1388888889,-2.606111333800e-09
0.6944444444,0.1388888889,-1.758149980100e-09
0.7638888889,0.1388888889,8.239937811000e-12
0.8333333333,0.1388888889,5.955680489300e-09
0.9027777778,0.1388888889,1.372898600210e-08
0.9722222222,0.1388888889,1.617224787255e-08
1.0416666667,0.1388888889,8.766803866570e-09
1.1111111111,0.1388888889,-5.596012289600e-09
1.1805555556,0.1388888889,-1.986134389430e-08
1.2500000000,0.1388888889,-2.920529698850e-08
