z_A,delta_n_e_A3,delta_N_e_A,cumulative_e
5.5555555556,-3.947498010917e-04,-3.947498010917e-02,9.995351911829e-02
5.6250000000,-7.996185526480e-04,-7.996185526480e-02,9.580640677891e-02
5.6944444444,-1.061036326884e-03,-1.061036326884e-01,8.934579955832e-02
5.7638888889,-1.191912081860e-03,-1.191912081860e-01,8.152306202796e-02
5.8333333333,-1.223083936318e-03,-1.223083936318e-01,7.313765918706e-02
5.9027777778,-1.188764037610e-03,-1.188764037610e-01,6.476318705537e-02
5.9722222222,-1.116115934265e-03,-1.116115934265e-01,5.676013159747e-02
6.0416666667,-1.023752114050e-03,-1.023752114050e-01,4.933003420749e-02
6.1111111111,-9.235475536008e-04,-9.235475536008e-02,4.256857702815e-02
6.1805555556,-8.223653304625e-04,-8.223653304625e-02,3.650637951404e-02
6.2500000000,-7.240425870948e-04,-7.240425870948e-02,3.113690757807e-02
6.3194444444,-6.309334005121e-04,-6.309334005121e-02,2.643212984333e-02
6.3888888889,-5.447380255125e-04,-5.447380255125e-02,2.234993739185e-02
6.4583333333,-4.667168026873e-04,-4.667168026873e-02,1.883794146060e-02
6.5277777778,-3.975849508725e-04,-3.975849508725e-02,1.583689370519e-02
6.5972222222,-3.374011334432e-04,-3.374011334432e-02,1.328485869020e-02
6.6666666667,-2.856236573087e-04,-2.856236573087e-02,1.112157816676e-02
6.7361111111,-2.413260088005e-04,-2.413260088005e-02,9.291891826103e-03
6.8055555556,-2.034603535353e-04,-2.034603535353e-02,7.747494734659e-03
6.8750000000,-1.710633045819e-04,-1.710633045819e-02,6.447065366197e-03
6.9444444444,-1.433565743161e-04,-1.433565743161e-02,5.355329675578e-03
7.0138888889,-1.197476423576e-04,-1.197476423576e-02,4.441773367683e-03
7.0833333333,-9.976648172552e-05,-9.976648172552e-03,3.679571547950e-03
7.1527777778,-8.298803454795e-05,-8.298803454795e-03,3.045007255334e-03
7.2222222222,-6.898413227582e-05,-6.898413227582e-03,2.517326120529e-03
7.2916666667,-5.732195887017e-05,-5.732195887017e-03,2.078763304050e-03
7.3611111111,-4.759457799266e-05,-4.759457799266e-03,1.714469773276e-03
7.4305555556,-3.945437336928e-05,-3.945437336928e-03,1.412216469936e-03
7.5000000000,-3.262839403030e-05,-3.262839403030e-03,1.161929083132e-03
7.5694444444,-2.691215010249e-05,-2.691215010249e-03,9.551910826711e-04
7.6388888889,-2.214998043434e-05,-2.214998043434e-03,7.848364627515e-04
7.7083333333,-1.821231729114e-05,-1.821231729114e-03,6.446895956492e-04
