case,point,kind,offsetx_invA,offsety_invA,k1,k2,k3,valence_eV,conduction_eV,conduction_vac_eV
k16-minus005,1,K-local,-0.03,-0.03,0.31821290879038,0.3277330714639012,0.0,-1.6442770505824926,0.0953063136841211,-4.203862517822268
k16-minus005,2,K-local,-0.03,-0.02,0.31821290879038,0.33211989617753745,0.0,-1.640778966793135,0.09112661684871626,-4.208042214657673
k16-minus005,3,K-local,-0.03,-0.01,0.31821290879038,0.3365067208911737,0.0,-1.6386655778401902,0.08860470940143814,-4.210564122104951
k16-minus005,4,K-local,-0.03,0,0.31821290879038,0.34089354560480994,0.0,-1.6379630011417248,0.08776124409636511,-4.211407587410024
k16-minus005,5,K-local,-0.03,0.01,0.31821290879038,0.3452803703184462,0.0,-1.6386655774374512,0.08860471331112212,-4.210564118195267
k16-minus005,6,K-local,-0.03,0.02,0.31821290879038,0.3496671950320825,0.0,-1.6407789675357398,0.09112661874738444,-4.208042212759005
k16-minus005,7,K-local,-0.03,0.03,0.31821290879038,0.35405401974571876,0.0,-1.6442770471476347,0.09530631326324514,-4.2038625182431435
k16-minus005,8,K-local,-0.02,-0.03,0.3232530503046978,0.3252130007067423,0.0,-1.6411424303673516,0.09176369928437368,-4.207405132222015
k16-minus005,9,K-local,-0.02,-0.02,0.3232530503046978,0.3295998254203786,0.0,-1.63771835326575,0.08761462413525656,-4.211554207371132
k16-minus005,10,K-local,-0.02,-0.01,0.3232530503046978,0.33398665013401485,0.0,-1.63565348385511,0.08510881062901567,-4.2140600208773735
k16-minus005,11,K-local,-0.02,0,0.3232530503046978,0.338373474847651,0.0,-1.6349590917569456,0.08427510156411366,-4.2148937299422755
k16-minus005,12,K-local,-0.02,0.01,0.3232530503046978,0.3427602995612873,0.0,-1.6356534831992582,0.08510880853927606,-4.214060022967113
k16-minus005,13,K-local,-0.02,0.02,0.3232530503046978,0.34714712427492356,0.0,-1.6377183503688164,0.08761462798097389,-4.211554203525415
k16-minus005,14,K-local,-0.02,0.03,0.3232530503046978,0.35153394898855983,0.0,-1.641142431219653,0.09176370072031016,-4.2074051307860785
k16-minus005,15,K-local,-0.01,-0.03,0.32829319181901556,0.32269292994958343,0.0,-1.6392612786319094,0.08979763635473452,-4.209371195151655
k16-minus005,16,K-local,-0.01,-0.02,0.32829319181901556,0.3270797546632197,0.0,-1.635920874036295,0.08569232921195641,-4.213476502294433
k16-minus005,17,K-local,-0.01,-0.01,0.32829319181901556,0.331466579376856,0.0,-1.6339058769461126,0.08321468780289616,-4.215954143703493
k16-minus005,18,K-local,-0.01,0,0.32829319181901556,0.33585340409049214,0.0,-1.633234062786181,0.08238765871061676,-4.2167811727957725
k16-minus005,19,K-local,-0.01,0.01,0.32829319181901556,0.3402402288041284,0.0,-1.6339058778496296,0.08321469231404362,-4.215954139192346
k16-minus005,20,K-local,-0.01,0.02,0.32829319181901556,0.3446270535177647,0.0,-1.6359208742037612,0.08569233261050771,-4.213476498895881
k16-minus005,21,K-local,-0.01,0.03,0.32829319181901556,0.34901387823140095,0.0,-1.639261276147361,0.0897976316619346,-4.209371199844455
k16-minus005,22,K-local,0,-0.03,0.33333333333333337,0.3201728591924245,0.0,-1.6386837640635394,0.08945273593080935,-4.20971609557558
k16-minus005,23,K-local,0,-0.02,0.33333333333333337,0.32455968390606077,0.0,-1.6354362832236877,0.08540333827989709,-4.213765493226492
k16-minus005,24,K-local,0,-0.01,0.33333333333333337,0.32894650861969704,0.0,-1.6334814059503278,0.08296024164107363,-4.216208589865316
k16-minus005,25,K-local,0,0,0.33333333333333337,0.33333333333333326,0.0,-1.632829639435317,0.08214441424903049,-4.217024417257359
k16-minus005,26,K-local,0,0.01,0.33333333333333337,0.33772015804696953,0.0,-1.633481405389679,0.08296023873012694,-4.216208592776262
k16-minus005,27,K-local,0,0.02,0.33333333333333337,0.3421069827606058,0.0,-1.6354362849032034,0.08540333827280061,-4.213765493233589
k16-minus005,28,K-local,0,0.03,0.33333333333333337,0.3464938074742421,0.0,-1.6386837646349022,0.08945273303901626,-4.209716098467372
k16-minus005,29,K-local,0.01,-0.03,0.3383734748476511,0.31765278843526557,0.0,-1.639463856581191,0.09075505985913544,-4.208413771647254
k16-minus005,30,K-local,0.01,-0.02,0.3383734748476511,0.32203961314890184,0.0,-1.6363239095828628,0.08677414872320283,-4.212394682783186
k16-minus005,31,K-local,0.01,-0.01,0.3383734748476511,0.3264264378625381,0.0,-1.6344274217099022,0.08437065763782012,-4.2147981738685685
k16-minus005,32,K-local,0.01,0,0.3383734748476511,0.3308132625761744,0.0,-1.6337955117686034,0.08356919968418171,-4.215599631822207
k16-minus005,33,K-local,0.01,0.01,0.3383734748476511,0.33520008728981066,0.0,-1.6344274210474055,0.0843706561509699,-4.214798175355419
k16-minus005,34,K-local,0.01,0.02,0.3383734748476511,0.33958691200344693,0.0,-1.636323910646402,0.08677415283131525,-4.212394678675074
k16-minus005,35,K-local,0.01,0.03,0.3383734748476511,0.3439737367170832,0.0,-1.6394638608463297,0.09075506391837147,-4.208413767588017
k16-minus005,36,K-local,0.02,-0.03,0.3434136163619689,0.3151327176781067,0.0,-1.6416235793218932,0.09372125954578478,-4.205447571960605
k16-minus005,37,K-local,0.02,-0.02,0.3434136163619689,0.31951954239174296,0.0,-1.6386018404736635,0.08981956750601269,-4.209349264000377
k16-minus005,38,K-local,0.02,-0.01,0.3434136163619689,0.32390636710537923,0.0,-1.636778413696201,0.08746573678872782,-4.211703094717661
k16-minus005,39,K-local,0.02,0,0.3434136163619689,0.3282931918190155,0.0,-1.6361637229419532,0.08668019185971991,-4.212488639646669
k16-minus005,40,K-local,0.02,0.01,0.3434136163619689,0.3326800165326518,0.0,-1.6367784131013585,0.08746573553066105,-4.211703095975728
k16-minus005,41,K-local,0.02,0.02,0.3434136163619689,0.33706684124628805,0.0,-1.638601841281291,0.08981956763068925,-4.2093492638756995
k16-minus005,42,K-local,0.02,0.03,0.3434136163619689,0.3414536659599243,0.0,-1.641623577205946,0.09372125768843502,-4.2054475738179535
