sweep,energy_per_spin,M2,cos_x,cos_y,current_x,current_y,current_x2,current_y2,vortex_abs_density
5.000000000000000000e+00,-1.196424058101666521e+00,2.509432054590095551e-01,1.492522465557798341e+02,1.570323123182467953e+02,4.971482075300023062e+00,-1.070892729141390376e+01,2.471563402502942353e+01,1.146811237327895299e+02,6.250000000000000000e-02
1.000000000000000000e+01,-1.206201911717167174e+00,2.915053210997108901e-01,1.544555522496874858e+02,1.543321371499073393e+02,-1.802332482044056938e+00,8.033757844604892284e+00,3.248402375831090705e+00,6.454126510575063946e+01,5.468750000000000000e-02
1.500000000000000000e+01,-1.086904881849673155e+00,2.754640245736828530e-01,1.377774083157954976e+02,1.404702414377208299e+02,7.179227244704737387e+00,3.689626306486154306e+00,5.154130383111077407e+01,1.361334228151466164e+01,4.687500000000000000e-02
2.000000000000000000e+01,-1.242268243222718782e+00,2.802944915594646758e-01,1.623299499120842029e+02,1.556907203529318053e+02,-1.920098634075420563e+01,1.335871952326170842e+00,3.686778764578295977e+02,1.784553873011735181e+00,3.906250000000000000e-02
2.500000000000000000e+01,-1.176274631194051956e+00,2.194293551529401254e-01,1.443654759899533815e+02,1.567608295957238909e+02,-2.082943095064101513e+01,9.933964620481745555e-01,4.338651937275218415e+02,9.868365308098303590e-01,4.687500000000000000e-02
3.000000000000000000e+01,-1.221583380966252630e+00,1.812030737968171878e-01,1.599125777229041319e+02,1.528127678044565698e+02,-8.134822335324566112e+00,6.905393298931411294e+00,6.617533442729542514e+01,4.768445661292683724e+01,2.343750000000000000e-02
3.500000000000000000e+01,-1.074385096453881694e+00,1.171151015703972287e-01,1.388066038886039735e+02,1.362359808035897402e+02,-7.312065526458724207e+00,6.943830688218310065e+00,5.346630226322609758e+01,4.821678462664237230e+01,7.031250000000000000e-02
4.000000000000000000e+01,-1.035988757332739318e+00,5.733591612866544007e-02,1.387225681199359713e+02,1.264905537572452943e+02,-7.963684095361820425e-01,1.342059427733959076e+01,6.342026437071881517e-01,1.801123507569601827e+02,1.093750000000000000e-01
4.500000000000000000e+01,-1.140525113541348556e+00,2.260021159726557580e-02,1.475521789239540453e+02,1.444222501426312135e+02,4.792540321929411817e+00,9.394866845657025678e+00,2.296844273731927188e+01,8.826352304762559697e+01,8.593750000000000000e-02
5.000000000000000000e+01,-1.139557772430329852e+00,1.775837488838040781e-02,1.482454344007191480e+02,1.434813553414452940e+02,-1.302757200721441500e+01,7.883928534850839220e-01,1.697176324031566139e+02,6.215632914263530262e-01,5.468750000000000000e-02
5.500000000000000000e+01,-1.018084103957897391e+00,6.561044010802438188e-03,1.251998393973749160e+02,1.354296912158467876e+02,-7.721683349747016756e+00,6.618249696741112409e+00,5.962439375376030881e+01,4.380122904841382336e+01,9.375000000000000000e-02
6.000000000000000000e+01,-1.004547730857952681e+00,3.725796258994310776e-03,1.327045590607158374e+02,1.244596600389200347e+02,-5.895125137118476744e+00,1.501036051662598680e+01,3.475250038228613647e+01,2.253109228390843555e+02,6.250000000000000000e-02
6.500000000000000000e+01,-1.068632810129704902e+00,6.227133463790975043e-02,1.353126847581488619e+02,1.382573146350555930e+02,-1.207568594619708335e+01,3.141997407018552124e+01,1.458221910711817486e+02,9.872147705711305434e+02,6.250000000000000000e-02
7.000000000000000000e+01,-1.070266238600157571e+00,3.681602692914934943e-02,1.420233231346108198e+02,1.319648339470294900e+02,1.255538898354604704e+01,2.752124830170346215e+01,1.576377925281494470e+02,7.574191080840156474e+02,7.031250000000000000e-02
7.500000000000000000e+01,-1.095582100462907160e+00,3.536850898972308810e-02,1.389603874826575804e+02,1.415086302358466241e+02,7.190606224340887920e+00,3.095328115157769489e+01,5.170481787352991887e+01,9.581056140486149388e+02,9.375000000000000000e-02
8.000000000000000000e+01,-1.138900399808114638e+00,4.169850659707068086e-02,1.452592610644852016e+02,1.462992412863921174e+02,6.392773260359122744e+00,3.080016975058664386e+01,4.086754995836260917e+01,9.486504566649525714e+02,6.250000000000000000e-02
8.500000000000000000e+01,-1.092563541118759973e+00,2.431844451318178335e-02,1.423269782030606052e+02,1.373692883233419479e+02,2.474623589446107275e+01,4.254526717606556474e+01,6.123761909443136346e+02,1.810099759082801938e+03,9.375000000000000000e-02
9.000000000000000000e+01,-1.193174001231180892e+00,1.418882275386791625e-02,1.602079996810794285e+02,1.452445446341028514e+02,6.205454562184781864e+00,4.096080301459284101e+01,3.850766632333992590e+01,1.677787383600277963e+03,6.250000000000000000e-02
9.500000000000000000e+01,-1.205578097128972903e+00,5.876977194319889415e-03,1.630199775633340948e+02,1.456080153016829399e+02,8.435563509179315744e+00,3.981143291126827677e+01,7.115873171739765723e+01,1.584950190448414787e+03,4.687500000000000000e-02
1.000000000000000000e+02,-1.187275100412281237e+00,9.601986480165249430e-03,1.531954194582228865e+02,1.507470062473211101e+02,9.457087543894303394e+00,2.448948300270176759e+01,8.943650481288078424e+01,5.997347777396188349e+02,3.125000000000000000e-02
1.050000000000000000e+02,-1.166026760025083098e+00,1.718030225437941830e-02,1.487385134958289541e+02,1.497643370705923189e+02,1.221884248552469465e+01,2.354267341533354951e+01,1.493001116860633033e+02,5.542574715410530644e+02,7.031250000000000000e-02
1.100000000000000000e+02,-1.193585815573928066e+00,4.159430291341989494e-02,1.440295515993277036e+02,1.615284171875978814e+02,2.248443989202082349e+01,2.045238204590741660e+01,5.055500372578973725e+02,4.182999313517560722e+02,6.250000000000000000e-02
1.150000000000000000e+02,-1.177294692199598369e+00,3.025957507544810299e-02,1.622859696346937994e+02,1.391014715684033831e+02,9.463853122505128113e+00,1.879391970292923375e+01,8.956451592435006148e+01,3.532114178001516507e+02,4.687500000000000000e-02
1.200000000000000000e+02,-1.094604374466005892e+00,4.291200894019867040e-02,1.418197227386941393e+02,1.383989971246033690e+02,-4.367585600083751629e+00,1.955771941947085679e+01,1.907580397405894601e+01,3.825043888907474638e+02,6.250000000000000000e-02
1.250000000000000000e+02,-1.016869161330745897e+00,3.633906441727904890e-02,1.295310958692667782e+02,1.307874094314041713e+02,-2.374039153311372274e+00,2.082513530349740449e+01,5.636061901455377665e+00,4.336862604089739079e+02,7.031250000000000000e-02
1.300000000000000000e+02,-1.181264157120353930e+00,3.959386314394433559e-02,1.504985138148242072e+02,1.519051104079863990e+02,1.433346779148766892e+01,3.045840451082031919e+01,2.054482989296143955e+02,9.277144053447595979e+02,4.687500000000000000e-02
1.350000000000000000e+02,-1.150340373151731432e+00,1.860998516073157985e-02,1.392822113983207828e+02,1.552049241285224639e+02,6.946644663290247657e+00,1.120747093548972373e+01,4.825587207801887502e+01,1.256074047698469087e+02,5.468750000000000000e-02
1.400000000000000000e+02,-1.080930082064107900e+00,8.483940613488293730e-03,1.408276730645342241e+02,1.358904279438773699e+02,-7.557729537602164704e-01,7.399875489843291909e+00,5.711927576354423053e-01,5.475815726518349891e+01,7.812500000000000000e-02
1.450000000000000000e+02,-1.025436872440287583e+00,3.586668015350604789e-03,1.404174742822333144e+02,1.220943650624802927e+02,-3.438136092520701403e+00,2.299673539678577683e+00,1.182077979069351770e+01,5.288498389097799013e+00,8.593750000000000000e-02
1.500000000000000000e+02,-1.242760469162170089e+00,1.310863510624533327e-03,1.648037447992984710e+02,1.533429353062171003e+02,-8.382185916085717281e+00,-1.064331361151850786e+01,7.026104073182575860e+01,1.132801246331351450e+02,3.906250000000000000e-02
1.550000000000000000e+02,-1.196680616557891152e+00,6.734771791122301857e-03,1.637327315091179969e+02,1.426175063297021097e+02,-4.174586274797512431e+00,-1.124806483636452725e+01,1.742717056572777068e+01,1.265189625630601569e+02,4.687500000000000000e-02
1.600000000000000000e+02,-1.094745087774462222e+00,3.672968514831979978e-03,1.433058853520505522e+02,1.369488571182117767e+02,4.743153062318619106e-01,-1.647566895099555495e+01,2.249750097258249315e-01,2.714476673827989543e+02,5.468750000000000000e-02
