cell,ik,band,energy_eV,native_weight,even_weight,odd_weight,norm,native_minus_even
primitive,1,1,-5.82123222368853,1.0,1.0000000000000024,0.0,1.0000000000000024,-2.4424906541753444e-15
primitive,1,2,6.230001316973912,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,1,3,6.230001316985347,1.0,0.9999999999999989,0.0,0.9999999999999989,1.1102230246251565e-15
primitive,1,4,6.230001317016027,1.0,1.0000000000000002,0.0,1.0000000000000002,-2.220446049250313e-16
primitive,1,5,8.800090632064832,1.0,1.000000000000013,0.0,1.000000000000013,-1.3100631690576847e-14
primitive,1,6,8.800090632069406,1.0,0.9999999999999999,0.0,0.9999999999999999,1.1102230246251565e-16
primitive,1,7,8.800090632040487,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,1,8,9.703462965209322,1.0,0.9999999999999987,0.0,0.9999999999999987,1.3322676295501878e-15
primitive,2,1,-5.790330875859524,1.0,0.9999999999999993,0.0,0.9999999999999993,6.661338147750939e-16
primitive,2,2,6.036925400886349,1.0,0.9999999999999819,0.0,0.9999999999999819,1.8096635301390052e-14
primitive,2,3,6.102004066949636,1.0,0.9999999999999999,0.0,0.9999999999999999,1.1102230246251565e-16
primitive,2,4,6.102004066987299,1.0,0.9999999999999994,0.0,0.9999999999999994,5.551115123125783e-16
primitive,2,5,8.72159649143882,1.0,1.0000000000000038,0.0,1.0000000000000038,-3.774758283725532e-15
primitive,2,6,8.96520566102513,1.0,0.9999999999999967,0.0,0.9999999999999967,3.3306690738754696e-15
primitive,2,7,8.965205659676059,1.0,0.999999999999999,0.0,0.999999999999999,9.992007221626409e-16
primitive,2,8,9.889637820592558,1.0,0.9999999999999981,0.0,0.9999999999999981,1.887379141862766e-15
primitive,3,1,-5.6977977434801135,1.0,0.999999999999998,0.0,0.999999999999998,1.9984014443252818e-15
primitive,3,2,5.552785771982105,1.0,1.0000000000000078,0.0,1.0000000000000078,-7.771561172376096e-15
primitive,3,3,5.791137056176124,1.0,1.0000000000000004,0.0,1.0000000000000004,-4.440892098500626e-16
primitive,3,4,5.791137056344418,1.0,1.0000000000000009,0.0,1.0000000000000009,-8.881784197001252e-16
primitive,3,5,8.510724967248867,1.0,1.0000000000000013,0.0,1.0000000000000013,-1.3322676295501878e-15
