ik,k1_pc,k2_pc,k3_pc,K1_sc,K2_sc,K3_sc,distance_inv_A
1,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
2,0.041666666667,0.000000000000,0.041666666667,0.083333333333,0.000000000000,0.041666666667,0.097005714223
3,0.083333333333,0.000000000000,0.083333333333,0.166666666667,0.000000000000,0.083333333333,0.194011428445
4,0.125000000000,0.000000000000,0.125000000000,0.250000000000,0.000000000000,0.125000000000,0.291017142668
5,0.166666666667,0.000000000000,0.166666666667,0.333333333333,0.000000000000,0.166666666667,0.388022856890
6,0.208333333333,0.000000000000,0.208333333333,0.416666666667,0.000000000000,0.208333333333,0.485028571113
7,0.250000000000,0.000000000000,0.250000000000,0.500000000000,0.000000000000,0.250000000000,0.582034285335
8,0.291666666667,0.000000000000,0.291666666667,0.583333333333,0.000000000000,0.291666666667,0.679039999558
9,0.333333333333,0.000000000000,0.333333333333,0.666666666667,0.000000000000,0.333333333333,0.776045713781
10,0.375000000000,0.000000000000,0.375000000000,0.750000000000,0.000000000000,0.375000000000,0.873051428003
11,0.416666666667,0.000000000000,0.416666666667,0.833333333333,0.000000000000,0.416666666667,0.970057142226
12,0.458333333333,0.000000000000,0.458333333333,0.916666666667,0.000000000000,0.458333333333,1.067062856448
13,0.500000000000,0.000000000000,0.500000000000,1.000000000000,0.000000000000,0.500000000000,1.164068570671
14,0.500000000000,0.041666666667,0.541666666667,1.000000000000,0.041666666667,0.541666666667,1.261074284893
15,0.500000000000,0.083333333333,0.583333333333,1.000000000000,0.083333333333,0.583333333333,1.358079999116
16,0.500000000000,0.125000000000,0.625000000000,1.000000000000,0.125000000000,0.625000000000,1.455085713338
17,0.500000000000,0.166666666667,0.666666666667,1.000000000000,0.166666666667,0.666666666667,1.552091427561
18,0.500000000000,0.208333333333,0.708333333333,1.000000000000,0.208333333333,0.708333333333,1.649097141784
19,0.500000000000,0.250000000000,0.750000000000,1.000000000000,0.250000000000,0.750000000000,1.746102856006
20,0.500000000000,0.277777777778,0.722222222222,1.000000000000,0.277777777778,0.722222222222,1.837560720460
21,0.500000000000,0.305555555556,0.694444444444,1.000000000000,0.305555555556,0.694444444444,1.929018584915
22,0.500000000000,0.333333333333,0.666666666667,1.000000000000,0.333333333333,0.666666666667,2.020476449369
23,0.500000000000,0.361111111111,0.638888888889,1.000000000000,0.361111111111,0.638888888889,2.111934313823
24,0.500000000000,0.388888888889,0.611111111111,1.000000000000,0.388888888889,0.611111111111,2.203392178277
25,0.500000000000,0.416666666667,0.583333333333,1.000000000000,0.416666666667,0.583333333333,2.294850042731
26,0.500000000000,0.444444444444,0.555555555556,1.000000000000,0.444444444444,0.555555555556,2.386307907185
27,0.500000000000,0.472222222222,0.527777777778,1.000000000000,0.472222222222,0.527777777778,2.477765771639
28,0.500000000000,0.500000000000,0.500000000000,1.000000000000,0.500000000000,0.500000000000,2.569223636094
29,0.458333333333,0.458333333333,0.458333333333,0.916666666667,0.458333333333,0.458333333333,2.653233048923
30,0.416666666667,0.416666666667,0.416666666667,0.833333333333,0.416666666667,0.416666666667,2.737242461752
31,0.375000000000,0.375000000000,0.375000000000,0.750000000000,0.375000000000,0.375000000000,2.821251874581
32,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,2.905261287410
33,0.291666666667,0.291666666667,0.291666666667,0.583333333333,0.291666666667,0.291666666667,2.989270700239
34,0.250000000000,0.250000000000,0.250000000000,0.500000000000,0.250000000000,0.250000000000,3.073280113068
35,0.208333333333,0.208333333333,0.208333333333,0.416666666667,0.208333333333,0.208333333333,3.157289525897
36,0.166666666667,0.166666666667,0.166666666667,0.333333333333,0.166666666667,0.166666666667,3.241298938726
37,0.125000000000,0.125000000000,0.125000000000,0.250000000000,0.125000000000,0.125000000000,3.325308351555
38,0.083333333333,0.083333333333,0.083333333333,0.166666666667,0.083333333333,0.083333333333,3.409317764384
39,0.041666666667,0.041666666667,0.041666666667,0.083333333333,0.041666666667,0.041666666667,3.493327177213
40,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,3.577336590042
