ik,primitive_bands,supercell_bands,expected_weight,measured_weight,primitive_mean_eV,supercell_weighted_mean_eV,delta_eV,weight_error
38,2,6,1,0.9999999992802362,5.372654233085687,5.3726540625618755,-1.7052381107163228e-07,-7.197638041134269e-10
38,3;4,7;8,2,1.9999999995894324,6.083881884239268,6.083881704008149,-1.8023111891807275e-07,-4.105675799337405e-10
38,5,10,1,0.999999999498117,8.854017464313701,8.854017344645209,-1.1966849200462093e-07,-5.018829796199498e-10
38,6;7,11;12,2,1.9999999984205483,9.014340821643122,9.014340722604059,-9.903906317276778e-08,-1.5794516805556214e-09
38,8,15,1,0.9999999998851226,10.336732938514709,10.33673275507188,-1.8344282892712727e-07,-1.1487744089322405e-10
39,1,1,1,0.999999999982638,-5.798077653110602,-5.798077781993798,-1.2888319567139206e-07,-1.7362000725995586e-11
39,2,6,1,0.999999999233971,5.974962032086137,5.974961852405716,-1.7968042076432766e-07,-7.660290179956064e-10
39,3;4,7;8,2,1.9999999995685558,6.190442817412926,6.19044263346631,-1.8394661616127905e-07,-4.3144421368879193e-10
39,5,10,1,0.9999999998813897,8.852691044436881,8.852691085417229,4.098034800392725e-08,-1.186103437689212e-10
39,6;7,11;12,2,1.9999999986976058,8.857793806502176,8.857793634761517,-1.7174065902736402e-07,-1.302394192492784e-09
39,8,15,1,0.999999974308481,9.861210452736836,9.861210256890494,-1.9584634181057936e-07,-2.5691519023318676e-08
40,1,1,1,0.9999999999997682,-5.821232223691898,-5.8212323526407905,-1.2894889245274044e-07,-2.318145675417327e-13
40,2;3;4,6;7;8,3,2.999999999900677,6.230001316960377,6.230001132080227,-1.8488014941198117e-07,-9.93232163182256e-11
40,5;6;7,10;11;12,3,2.9999999999125637,8.800090632077792,8.800090533466532,-9.861125960242134e-08,-8.743628043816898e-11
40,8,15,1,0.9999999932760492,9.70346296522998,9.70346277486699,-1.9036298937180618e-07,-6.723950840559212e-09
