kmesh,strain,C11_GPa,C12_GPa,C44_GPa,C11-C12_GPa,C11+2C12_GPa,B_GPa,Gv_GPa,Gr_GPa,GH_GPa,E_GPa,nu,anisotropy
16,0.005,168.141101868,41.6748680308,52.4870911168,126.4662338372,251.4908379296,83.83027930986667,56.78550143752,56.315243782433875,56.55037260997693,138.5064735462106,0.2246291859248908,0.8300569966267304
24,0.005,116.62490425280001,66.2119947076,27.273281090399998,50.41290954520001,249.048893668,83.01629788933333,26.446550563280006,26.407169095553144,26.426859829416575,71.67505800502944,0.3561024364545513,1.0819959147942804
32,0.005,127.15762769440002,61.47521126040001,36.6585849392,65.682416434,250.10805021520002,83.36935007173334,35.13163425032,35.02987239513932,35.08075332272966,92.29652817483127,0.31548669046154904,1.1162374020156773
40,0.005,129.3642038344,60.504317758800006,42.6898930552,68.8598860756,250.37283935200003,83.45761311733334,39.38591304824,38.95196861552985,39.168940831884925,101.61060960799472,0.2970814049339832,1.239906002990814
48,0.005,125.99549759399999,62.122473594800006,39.277055292,63.87302399919998,250.2404447836,83.41348159453334,36.340837975039996,35.97000212559352,36.155420050316756,94.77317418646285,0.3106357781844184,1.2298479963150626
