q_fraction_along_b1_plus_b3,J_eV_minus2,J_over_J0
0.000000000000000000e+00,5.330555786392912054e-01,1.000000000000000000e+00
3.125000000000000000e-02,1.101009418598860590e-01,2.065468335233188180e-01
6.250000000000000000e-02,6.359362675627255879e-02,1.193001805151450850e-01
9.375000000000000000e-02,8.538428502012559984e-02,1.601789540184205829e-01
1.250000000000000000e-01,6.522497501408792975e-02,1.223605523097329034e-01
1.562500000000000000e-01,6.058530841907769360e-02,1.136566445355122051e-01
1.875000000000000000e-01,5.417950174024029758e-02,1.016394986026448871e-01
2.187500000000000000e-01,5.049140928163910191e-02,9.472072201275225090e-02
2.500000000000000000e-01,5.051298766217687808e-02,9.476120255812589543e-02
2.812500000000000000e-01,3.246108721086991139e-02,6.089625268294157623e-02
3.125000000000000000e-01,4.698325400381977296e-02,8.813950343367940587e-02
3.437500000000000000e-01,3.196826996531566822e-02,5.997173886993123482e-02
3.750000000000000000e-01,4.873062801597371346e-02,9.141753687367151771e-02
4.062500000000000000e-01,3.306849157511178305e-02,6.203572929397783292e-02
4.375000000000000000e-01,3.701824358467433601e-02,6.944537318072772913e-02
4.687500000000000000e-01,4.019961496221179098e-02,7.541355268211932805e-02
5.000000000000000000e-01,4.490039318727406803e-02,8.423210446814839714e-02
