q_fraction_along_b1_plus_b3,J_eV_minus2,J_over_J0
0.000000000000000000e+00,2.820449455834066477e-01,1.000000000000000000e+00
3.125000000000000000e-02,1.074530198570142897e-01,3.809783566046502923e-01
6.250000000000000000e-02,6.208887126318497068e-02,2.201382163922663837e-01
9.375000000000000000e-02,5.844105637735387548e-02,2.072047639657900453e-01
1.250000000000000000e-01,5.256713802710741290e-02,1.863785855774614530e-01
1.562500000000000000e-01,5.309239544388872495e-02,1.882409037115262973e-01
1.875000000000000000e-01,5.226965252550033053e-02,1.853238405580400205e-01
2.187500000000000000e-01,4.712301404056975368e-02,1.670762578038629820e-01
2.500000000000000000e-01,4.472705614485835562e-02,1.585813071471320612e-01
2.812500000000000000e-01,3.941602868238094221e-02,1.397508776512528805e-01
3.125000000000000000e-01,3.874676296280265414e-02,1.373779731547942751e-01
3.437500000000000000e-01,3.864485457164477944e-02,1.370166534688588567e-01
3.750000000000000000e-01,4.471875356782332306e-02,1.585518700763210165e-01
4.062500000000000000e-01,3.242018565576578609e-02,1.149468769550364144e-01
4.375000000000000000e-01,3.041854034227802969e-02,1.078499750433663529e-01
4.687500000000000000e-01,3.483106715551059773e-02,1.234947397602284419e-01
5.000000000000000000e-01,3.678119446702143858e-02,1.304089828340655732e-01
