kx_tpiba,ky_tpiba,kz_tpiba,vbm_band4_eV,cbm_band5_eV
0.0,0.0,0.0,6.397028955014355,8.966555396996071
-0.08333333333333333,0.08333333333333333,-0.08333333333333333,6.250233934651856,9.03933250948459
-0.1666666666666667,0.1666666666666667,-0.1666666666666667,5.938184472735969,8.804861373788246
-0.25,0.25,-0.25,5.6245142370621455,8.487781536599897
-0.3333333333333333,0.3333333333333333,-0.3333333333333333,5.381043278816942,8.22348453981495
-0.4166666666666667,0.4166666666666667,-0.4166666666666667,5.231177144300189,8.055727835437771
0.5,-0.5,0.5,5.180925456987881,7.998735835945766
0.0,0.1666666666666667,0.0,5.956666592625059,8.688295871691023
-0.08333333333333333,0.25,-0.08333333333333333,5.7883205448277435,8.714078388491233
-0.1666666666666667,0.3333333333333333,-0.1666666666666667,5.461265313178381,8.863783948208589
-0.25,0.4166666666666666,-0.25,5.10341346437929,8.73839801726479
-0.3333333333333334,0.5,-0.3333333333333334,4.966419938111102,8.578722942883411
0.5833333333333334,-0.4166666666666667,0.5833333333333334,4.9991249726649665,8.502107961132152
0.4999999999999999,-0.3333333333333333,0.4999999999999999,5.145524524433867,8.53237703627843
0.4166666666666667,-0.2500000000000001,0.4166666666666667,5.3895517161020585,8.667797596211773
0.3333333333333333,-0.1666666666666667,0.3333333333333333,5.7048429944135854,8.894263077856724
0.2499999999999999,-0.0833333333333333,0.2499999999999999,6.039614452279514,9.17358963902658
0.1666666666666667,-4.163336342344337e-17,0.1666666666666667,6.2785443585878085,9.21946874532304
0.0,0.3333333333333333,0.0,5.179401182133914,8.094907130091686
-0.08333333333333334,0.4166666666666666,-0.08333333333333334,4.8397355573157235,8.115804598031945
-0.1666666666666667,0.5,-0.1666666666666667,4.618356316781549,8.360026545362707
-0.25,0.5833333333333334,-0.25,4.534062279298887,8.406219797196295
0.6666666666666666,-0.3333333333333334,0.6666666666666666,4.58980454048921,8.44115665012728
0.5833333333333333,-0.25,0.5833333333333333,4.77782161954802,8.594035853701481
0.5,-0.1666666666666667,0.5,5.078735231799637,8.871730071602949
0.4166666666666666,-0.08333333333333334,0.4166666666666666,5.454012212618672,9.218919004820194
0.3333333333333333,2.775557561562891e-17,0.3333333333333333,5.825054493388197,9.491392277271892
0.0,0.5,0.0,4.47116878554241,7.510409958012237
-0.08333333333333331,0.5833333333333333,-0.08333333333333331,4.221110775435708,7.595016484043105
-0.1666666666666667,0.6666666666666667,-0.1666666666666667,4.112838483797438,7.8117605955311005
0.75,-0.25,0.75,4.152822135755459,7.899563750455018
0.6666666666666666,-0.1666666666666666,0.6666666666666666,4.336504753695078,8.083755891434976
0.5833333333333334,-0.08333333333333337,0.5833333333333334,4.647174313743109,8.417482695344699
0.5,0.0,0.5,5.047120059504317,8.85825175922511
