ik,band,distance_inv_A,energy_eV,native_weight,pw_weight
1,1,0.0,-5.821232352449497,1.0,0.9999999999872544
1,2,0.0,-3.430445318365663,0.0,1.094309261877947e-12
1,3,0.0,-0.8291419251464389,0.0,1.0059160637766439e-11
1,4,0.0,5.0165581819035365,0.0,4.709556346279454e-12
1,5,0.0,5.016558181764018,0.0,9.866757127209957e-12
1,6,0.0,6.230001132567896,1.0,0.9999999999831468
1,7,0.0,6.230001132057307,1.0,0.9999999999271619
1,8,0.0,6.230001131780309,1.0,0.999999999985888
1,9,0.0,7.789119271791297,0.0,5.958207950834905e-11
1,10,0.0,8.800090533147237,1.0,0.9999999999833358
1,11,0.0,8.80009053354611,1.0,0.9999999999676425
1,12,0.0,8.800090533331444,1.0,0.9999999999958291
1,13,0.0,9.561013471461173,0.0,1.2267317029364874e-10
1,14,0.0,9.561013471596487,0.0,4.788154872061444e-11
1,15,0.0,9.7034627760247,1.0,0.9999999998933548
1,16,0.0,13.823152374588435,0.0,3.291779826536372e-11
1,17,0.0,13.997284733836189,1.0,0.9999999999425785
1,18,0.0,13.9972848350183,1.0,0.99999999999168
1,19,0.0,14.008672628208382,1.0,0.9999999999373425
1,20,0.0,16.787073514845964,0.0,4.704950576562378e-10
1,21,0.0,16.7870735189088,0.0,2.8852450870710213e-09
1,22,0.0,17.454179202623976,1.0,0.9999999744782875
1,23,0.0,17.454179234053225,1.0,0.9999996565129167
1,24,0.0,17.45417924195526,0.999999,0.9999991869688182
2,1,0.097005714223,-5.790331004863443,1.0,0.9999999999874454
2,2,0.097005714223,-3.4557822579797195,0.0,3.605053801108332e-13
2,3,0.097005714223,-0.7521678470682647,0.0,1.1634024290802053e-11
2,4,0.097005714223,4.814314550434536,0.0,3.4982619346473456e-10
2,5,0.097005714223,5.0069520455187,0.0,4.748388140335977e-11
2,6,0.097005714223,6.036925215442809,1.0,0.9999999997189746
2,7,0.097005714223,6.102003888330034,1.0,0.9999999997572762
2,8,0.097005714223,6.1020038874671805,1.0,0.9999999999532527
2,9,0.097005714223,7.961573963215054,0.0,2.5075027613234535e-10
2,10,0.097005714223,8.721596393007413,1.0,0.9999999998653772
2,11,0.097005714223,8.965205557263538,1.0,0.9999999996446083
2,12,0.097005714223,8.965205557010991,1.0,0.9999999997991367
2,13,0.097005714223,9.554922514186774,0.0,1.9405074850530775e-09
2,14,0.097005714223,9.624179934829197,0.0,4.495634268111738e-10
2,15,0.097005714223,9.889637630776502,1.0,0.9999999982877749
2,16,0.097005714223,13.751358841904985,1.0,0.9999999982077251
2,17,0.097005714223,13.930974752723118,0.0,8.238271660263386e-09
2,18,0.097005714223,14.031131365097796,1.0,0.9999999997906649
2,19,0.097005714223,14.147235452306631,1.0,0.9999999934734666
2,20,0.097005714223,16.11482310051384,0.0,3.3054791898092245e-11
2,21,0.097005714223,16.345505555782783,0.0,3.3906547919296126e-10
2,22,0.097005714223,17.50755949535364,1.0,0.9999999501250557
2,23,0.097005714223,17.507559554592532,0.999998,0.9999981380551624
2,24,0.097005714223,17.535417002906875,2e-06,2.043769358870665e-06
3,1,0.194011428445,-5.697797872975509,1.0,0.9999999999869505
