case,parent,max_force_k12_Ry_Bohr,max_force_k16_Ry_Bohr,max_force_change_Ry_Bohr,k16_within_2e4,change_within_2e4
clean-k16,clean-k12-relax,0.00013631814961887474,0.002520604361399402,0.0026569225110182767,False,False
ads-k16,ads-k12-relax,8.451347635494124e-06,0.0016668634320778318,0.0016627118789381051,False,False
