case,stage,nAl,nH,total_energy_Ry,max_force_component_Ry_Bohr,initial_eigen_warnings,final_iteration_eigen_warnings,native_wall_s,stderr_bytes,input_sha256,output_sha256,xml_sha256,audit_sha256
clean-k12-relax,relax,3,0,-15.066809985626678,0.00013631814961887474,2,0,150.9,0,b4291254311221fb2d1a2c6a1b6fcf8193b70d346859d8be397e1e8af71fb8d5,82f4591a7b13adc3a3d0ce1ac55c8e0dbffc985f5dbf8f6f0525edca88ba96e9,56919b490815df12a4139a798a4eb55d91ce72e914070ce349276d2d456723f6,2c6da9db18c7ec88c6ec5cfd34f0c431f57ed2a09aab03cb85a0c8131c6d4b22
ads-k12-relax,relax,3,2,-17.34635485368786,8.451347635494124e-06,0,0,195.38,0,bb10a9cc64f820d4bee1bbf9b74d15b9098a24a0fdbd639041bcdc1ab50c0394,2ecb78e94df5b88d94352cc749029c2fb50566f534050390808d4d2ef3ecbbd8,2a81b7967cc27d1c3cbc79aca088ae645cb4c20bbf83ef86dc3166d6aa6f6a40,1a0348b82a3328c7a9f35a67f4f48ae7cfd332e8861eee8639c5412f7594df37
clean-k16,scf,3,0,-15.067960461251426,0.002520604361399402,2,0,29.14,0,d01f57357c9427ba739c3775e8aa063f4d0e4af9232bcb305eb85ba655286d24,d63b7de0e61f3cabcefe46a0d7f408228ae698fe788f9819e438129fdd4d82ba,2f22be7eed2d141de6e10c827f08ab4367976419cb248a54e78f246c2bc5e096,e8d5b56cffb0549d0d5140dd7a3b10b91e3d1fe6b5a2a15e59402e23d0d1fb8d
ads-k16,scf,3,2,-17.346717951144438,0.0016668634320778318,2,0,34.18,0,332aafb2bd4bf9e4ab40cb648e09bd2eba3245555e97e524bebc32e49b1c79e3,61cb326418c93945003712a02658d1211a7045f5a570e2a54a779499ca6a13f3,2715e5f72293e093bf7297ba3a50e4e0173abe6882710113948ccbd4b2fda1b9,3a5be743d455be8fba98387574f8fef414124a2566333a03718662c07c5e9a3b
h2-10A,relax,0,2,-2.333221139413536,4.244549042288198e-06,0,0,30.55,0,ed54db29517ca10b54bfd28f2df5f36d256fc5f719d8d7cf7065e96638892051,bcee3141188480712d91cd3df6b073cee1d910fdcff9863c5998bc24aa5ec431,344c88239fdc25c49978e64d0d89afe1a9f443ddec60c990b8c44fe66b518f0b,2d2d9fd26297530e3205b6d8fc494a6f90d28088fb5eb56eeb0cce3da2f7f23d
