protocol,clean_case,adsorbed_case,gas_case,clean_energy_Ry,adsorbed_energy_Ry,h2_energy_Ry,adsorption_eV_H
k12-relaxed,clean-k12-relax,ads-k12-relax,h2-10A,-15.066809985626678,-17.34635485368786,-2.333221139413536,0.36515143800334265
k16-fixed,clean-k16,ads-k16,h2-10A,-15.067960461251426,-17.346717951144438,-2.333221139413536,0.3705078508672726
