-1.309367060340576927e+00,-1.406689759316751553e+00,-1.893614495047691415e+00,-2.639669672383315735e+00,-1.810153738479728824e+00,-1.153589968217037409e+00,-8.728268006830921522e-01,-8.489675573142525522e-01,6.183238738507825794e-01,3.879149559271160008e-01,2.306323923904640694e-01,-1.350016054545224442e-01,-4.750491086212011993e-01,-4.392488005184320699e-01,-8.197940480364009908e-01,-1.084152520557728927e+00
-3.875730192159689835e-01,-2.183284145167030843e+00,-1.452944611745143444e+00,-2.004195202812092624e+00,-1.737317508320493697e+00,-5.394308445427435927e-01,-1.963851576435891033e-01,-1.980816651901893266e-01,2.663750838392768827e-01,4.918776991498932105e-01,-7.447487192114379262e-01,-1.102914966280916786e-01,-7.428454209361277094e-01,-6.988226662771208630e-01,-1.568947056514937266e+00,-1.113316417503440903e+00
5.366892407392231945e-02,-2.401592461647821253e-01,-4.378761294361934731e-01,7.504625409326859398e-02,-8.704343059871444410e-03,2.499493446293183929e-01,-5.522156915268725541e-01,-6.597763498412545502e-02,-1.189986069881089570e+00,1.307801216541625067e+00,-3.047001162217948256e-01,-8.981942923188697137e-01,-1.059727879954205143e+00,-8.706940714838236062e-01,-1.177747744489830328e+00,-5.875645239007769582e-01
-8.138056071253290114e-01,-7.164166573236916413e-01,1.040528045792590284e+00,2.287370555711900622e-01,5.297093483855248586e-01,-4.458010009277924013e-01,-7.146686237637545069e-01,7.325213700088881730e-01,-8.722191980917561871e-01,1.372941544797883218e-01,1.432920891460778279e-01,-1.403929673057459748e+00,-1.123981195166322777e+00,-1.487770181570282624e-01,-6.557137076429069289e-01,-9.280842083024225531e-01
-1.981395661611371484e+00,-9.603752207794520324e-01,1.334970391451029137e-01,-3.242694907282954730e-01,-1.853424087905830575e-01,-3.909743998099513007e-01,2.120024762880752256e-01,1.288721545307378591e+00,-6.919050726425544084e-01,-1.081250272644935784e-01,2.851121419433022552e-02,4.969944358905653559e-01,1.669449713098362764e+00,-8.229445755302471355e-01,-9.697128997877690892e-02,-1.955623051236368592e+00
-1.167361912111175126e+00,-8.987302753005619316e-01,-1.433748936857349054e+00,-8.040402609660697308e-01,-1.782567455803576451e-01,-5.851191789333967108e-01,1.386778284214500445e+00,1.315195144752926204e+00,1.445024238027318830e+00,-5.396487640253209150e-01,-4.697707297474731369e-01,1.062448943538891299e+00,1.399175467207763646e+00,8.106550853293414960e-02,-3.603788646623495850e-01,-9.425183040051883232e-01
-2.186880592968509784e+00,-8.999252639451422731e-01,-1.217953500044790749e+00,-8.259368010419168016e-01,-8.495440420554083438e-01,1.281551351519420123e+00,1.136562686580717241e+00,4.753939410710135149e-01,1.224425833225686766e+00,6.719452405508086201e-01,-2.356293866751175692e-01,2.523723347011643803e-01,-2.234260245608323814e-01,-9.486869125495740462e-01,-7.658427339244955334e-01,-1.409684049976208886e+00
-1.848508561292385277e+00,-1.235519772075715172e+00,-1.323245794201656667e+00,-1.218696359789601891e+00,-4.106230664872780878e-01,2.182378893841061540e-01,2.742043336024497791e-01,3.705733116072638111e-01,3.529660101830405239e-01,4.094999045983742647e-01,2.631052342150983492e-01,3.703883523800852728e-01,1.231886754552362184e+00,-8.400811273813921787e-01,-1.034646314557646996e+00,-7.549803931820524561e-01
-1.358344618841214935e+00,-9.990905581227549348e-01,-1.749509235514624450e+00,-6.702207933867052603e-01,-8.006237530706283856e-01,-3.484296703569076392e-01,1.085226975202188804e+00,1.315999050430703754e+00,4.499386721201101835e-01,5.046377081052320079e-01,8.671662095802643577e-01,6.946904988895803434e-01,3.518696720389025145e-02,-5.411796118104463815e-01,4.585409521568672986e-02,-1.058772119463615269e+00
-2.668827910874105314e-01,-8.226607057799295575e-01,-8.783451456426538684e-01,-4.801855798535328290e-01,6.675811629893368959e-01,5.160135631570375025e-01,8.047957789395763228e-01,5.345387194228252703e-01,-2.156793347170089525e-01,9.853277411205638714e-01,-1.742386235812354300e-03,1.182415298045488505e+00,5.022222243263620989e-01,-6.922829306517011005e-01,-1.878741379847164161e-01,-6.086223393748895205e-01
-2.772919388512078420e-01,-1.334398960209806306e+00,-6.520981886356622681e-01,-3.456212994888137047e-01,-5.940670996909247492e-02,6.745656302590528064e-01,6.815735033323315761e-01,5.258500302771178525e-01,6.760082554563111579e-01,1.195156226400504451e+00,-3.125993192920946129e-01,-2.947372054419394871e-02,-1.741991282708501565e-01,1.841840597076993546e-02,-6.501970988693441811e-01,-1.173617283915449283e+00
-1.993290344376535961e+00,-1.683914388007413665e+00,-4.860230814963135693e-01,-1.440214381318892789e+00,-5.133212044225725634e-01,3.234972936572129143e-01,7.784216129541157159e-01,1.390052932743845560e+00,4.372587118497346381e-01,7.186559118508526467e-01,9.059649717745399400e-02,-1.091022281658512227e+00,-7.687085242435953703e-01,-5.023196350762373363e-01,-6.263200810722966416e-01,-1.567224494287712933e+00
-1.917927868444355255e+00,-2.051374292127662535e+00,-3.266055011392627883e-01,-2.455057497425103819e-01,-7.761247956060617348e-01,-1.939658734221216818e-01,8.143157968765302179e-01,1.000739974474409877e+00,7.383612727564750067e-01,1.093255740161569456e+00,-8.530842338070918629e-01,-1.419665362356465899e+00,-7.685638597085473478e-01,-6.259232910797152272e-02,-6.064495075845766081e-02,-1.413216944182883683e+00
-1.573749254278785870e+00,-7.303348194456922293e-01,1.872952351813510496e-01,-1.039055276953732232e+00,-1.541521856739264340e+00,8.656310953449253276e-02,-3.708269860079385083e-01,1.468262449945512138e-01,2.779151716963319529e-01,5.663616732861704861e-01,3.814474449911964271e-02,-7.641383529487217885e-01,-6.778431736112029427e-01,-1.475923693147517923e+00,-5.987442820533361854e-02,-1.685850787139880236e+00
-3.709811826397477752e-01,-1.882258490841441700e+00,-2.617883835828728412e+00,-7.753234010255445341e-01,-1.298669213290945201e+00,3.533755178475153080e-01,7.304019850301193273e-01,8.147476816175243108e-01,9.114990689889115316e-01,6.035531962616884627e-01,3.168902836776403831e-01,-9.495290243376213191e-01,-8.865747853272178958e-01,-1.611043389588335817e+00,-1.250644853690881630e+00,-1.388332256929226460e+00
-1.272846719197645582e+00,-2.360888402619893967e+00,-2.887459876297555184e+00,-2.119049668540535336e+00,-1.474126135601478094e+00,-1.074532098912467148e+00,-5.582170148173108970e-01,-5.469775854137095550e-01,3.943437832011307265e-01,1.044381062099095203e+00,4.939463217876776113e-01,-3.791644099499631437e-01,-7.906348360183237389e-01,-1.603992733998337528e+00,-1.235090252139548817e+00,-2.345495105192973995e-02
