# z_A  planar_potential_eV
0.0000000000 3.306285072550
0.0655617786 3.306304853416
0.1311235571 3.306285038010
0.1966853357 3.306304820274
0.2622471143 3.306284978411
0.3278088929 3.306304773164
0.3933706714 3.306284887460
0.4589324500 3.306304684782
0.5244942286 3.306284728240
0.5900560071 3.306304519205
0.6556177857 3.306284484903
0.7211795643 3.306304312590
0.7867413429 3.306284231077
0.8523031214 3.306304124090
0.9178649000 3.306283940856
0.9834266786 3.306303882677
1.0489884571 3.306283585935
1.1145502357 3.306303569759
1.1801120143 3.306283148769
1.2456737929 3.306303218285
1.3112355714 3.306282665762
1.3767973500 3.306302811229
1.4423591286 3.306282089646
1.5079209071 3.306302308721
1.5734826857 3.306281405850
1.6390444643 3.306301714417
1.7046062429 3.306280591763
1.7701680214 3.306300965146
1.8357298000 3.306279557546
1.9012915786 3.306299958752
1.9668533571 3.306278205621
2.0324151357 3.306298637202
2.0979769143 3.306276731451
2.1635386929 3.306297355606
2.2291004714 3.306274941090
2.2946622500 3.306295400642
2.3602240286 3.306272295083
2.4257858071 3.306292435827
2.4913475857 3.306268373676
2.5569093643 3.306287944970
2.6224711429 3.306262798244
2.6880329214 3.306281713281
2.7535947000 3.306254833059
2.8191564786 3.306272267975
2.8847182571 3.306242872547
2.9502800357 3.306257973836
3.0158418143 3.306224964593
3.0814035929 3.306236488058
3.1469653714 3.306198300201
3.2125271500 3.306204427688
3.2780889286 3.306158770965
3.3436507071 3.306156815472
3.4092124857 3.306100333778
3.4747742643 3.306086269163
3.5403360429 3.306014013929
3.6058978214 3.305981984177
3.6714596000 3.305886724114
3.7370213786 3.305828054156
3.8025831571 3.305699163559
3.8681449357 3.305601077491
3.9337067143 3.305422963350
3.9992684929 3.305266746434
4.0648302714 3.305016571564
4.1303920500 3.304774686748
4.1959538286 3.304418867985
4.2615156071 3.304050733798
4.3270773857 3.303539865900
4.3926391643 3.302985799172
4.4582009429 3.302247336248
4.5237627214 3.301419694092
4.5893245000 3.300347141391
4.6548862786 3.299117049919
4.7204480571 3.297553704912
4.7860098357 3.295731390286
4.8515716143 3.293446667308
4.9171333929 3.290752880193
4.9826951714 3.287407653855
5.0482569500 3.283431628493
5.1138187286 3.278526824236
5.1793805071 3.272663130848
5.2449422857 3.265462357441
5.3105040643 3.256817037441
5.3760658429 3.246232256873
5.4416276214 3.233483413157
5.5071894000 3.217905932148
5.5727511786 3.199098731375
5.6383129571 3.176146784781
5.7038747357 3.148383161689
5.7694365143 3.114522066090
5.8349982929 3.073500600715
5.9005600714 3.023485787610
5.9661218500 2.962834436287
6.0316836286 2.888905857573
6.0972454071 2.799221399591
6.1628071857 2.689937875803
6.2283689643 2.557426880135
6.2939307429 2.396003218977
6.3594925214 2.200747557705
6.4250543000 1.962426559522
6.4906160786 1.684924971663
6.5561778571 1.389973958878
6.6217396357 1.008681630645
6.6873014143 0.464807337474
6.7528631929 -0.271888336331
6.8184249714 -1.187958017424
6.8839867500 -2.230355380342
6.9495485286 -3.326380238864
7.0151103071 -4.398652407178
7.0806720857 -5.381495667492
7.1462338643 -6.227199999531
7.2117956429 -6.912278903576
7.2773574214 -7.435035198590
7.3429192000 -7.814789464811
7.4084809786 -8.083114677295
7.4740427571 -8.278393742751
7.5396045357 -8.433538611258
7.6051663143 -8.571147883298
7.6707280929 -8.694752619388
7.7362898714 -8.792703697751
7.8018516500 -8.838527303649
7.8674134286 -8.799410442589
7.9329752071 -8.614012127118
7.9985369857 -8.282025149122
8.0640987643 -7.845625125187
8.1296605429 -7.388950214460
8.1952223214 -7.018889672718
8.2607841000 -6.791839769682
8.3263458786 -6.785217038359
8.3919076571 -7.062684554825
8.4574694357 -7.656635850417
8.5230312143 -8.549104160812
8.5885929929 -9.668673376048
8.6541547714 -10.892523789028
8.7197165500 -12.090490466658
8.7852783286 -13.226886747487
8.8508401071 -14.271304501209
8.9164018857 -15.177564347059
8.9819636643 -15.915856118304
9.0475254429 -16.459101375605
9.1130872214 -16.792474112838
9.1786490000 -16.904041231376
9.2442107786 -16.792474112838
9.3097725571 -16.459101375605
9.3753343357 -15.915856118304
9.4408961143 -15.177564347059
9.5064578929 -14.271304501209
9.5720196714 -13.226886747487
9.6375814500 -12.090490466658
9.7031432286 -10.892523789028
9.7687050071 -9.668673376048
9.8342667857 -8.549104160812
9.8998285643 -7.656635850417
9.9653903429 -7.062684554825
10.0309521214 -6.785217038359
10.0965139000 -6.791839769682
10.1620756786 -7.018889672718
10.2276374571 -7.388950214460
10.2931992357 -7.845625125187
10.3587610143 -8.282025149122
10.4243227929 -8.614012127118
10.4898845714 -8.799410442589
10.5554463500 -8.838527303649
10.6210081286 -8.792703697751
10.6865699071 -8.694752619388
10.7521316857 -8.571147883298
10.8176934643 -8.433538611258
10.8832552429 -8.278393742751
10.9488170214 -8.083114677295
11.0143788000 -7.814789464812
11.0799405786 -7.435035198590
11.1455023571 -6.912278903577
11.2110641357 -6.227199999531
11.2766259143 -5.381495667492
11.3421876929 -4.398652407178
11.4077494714 -3.326380238865
11.4733112500 -2.230355380342
11.5388730286 -1.187958017425
11.6044348071 -0.271888336331
11.6699965857 0.464807337473
11.7355583643 1.008681630645
11.8011201429 1.389973958878
11.8666819214 1.684924971663
11.9322437000 1.962426559522
11.9978054786 2.200747557705
12.0633672571 2.396003218976
12.1289290357 2.557426880135
12.1944908143 2.689937875802
12.2600525929 2.799221399590
12.3256143714 2.888905857573
12.3911761500 2.962834436286
12.4567379286 3.023485787610
12.5222997071 3.073500600714
12.5878614857 3.114522066089
12.6534232643 3.148383161689
12.7189850429 3.176146784780
12.7845468214 3.199098731375
12.8501086000 3.217905932147
12.9156703786 3.233483413156
12.9812321571 3.246232256873
13.0467939357 3.256817037440
13.1123557143 3.265462357441
13.1779174929 3.272663130848
13.2434792714 3.278526824235
13.3090410500 3.283431628493
13.3746028286 3.287407653854
13.4401646071 3.290752880193
13.5057263857 3.293446667308
13.5712881643 3.295731390286
13.6368499429 3.297553704911
13.7024117214 3.299117049919
13.7679735000 3.300347141391
13.8335352786 3.301419694091
13.8990970571 3.302247336248
13.9646588357 3.302985799172
14.0302206143 3.303539865900
14.0957823929 3.304050733797
