ik,iband,path_distance_tpiba,kx_tpiba,ky_tpiba,kz_tpiba,energy_eV,Si_s_weight,Si_p_weight,projection_norm
1,1,0.0,0.0,0.0,0.0,-5.6924940963759685,0.9960447859870063,3.6170054105786395e-12,0.9960447859906233
1,2,0.0,0.0,0.0,0.0,6.397028955789438,1.303722630370176e-11,0.9603908906213297,0.9603908906343669
1,3,0.0,0.0,0.0,0.0,6.397028955359185,3.849348316601912e-11,0.9603912217775514,0.9603912218160449
1,4,0.0,0.0,0.0,0.0,6.39702895702055,1.7185514415348437e-10,0.9603921567714943,0.9603921569433495
1,5,0.0,0.0,0.0,0.0,8.966555402944419,5.554953471455121e-09,0.9653691072492603,0.9653691128042138
1,6,0.0,0.0,0.0,0.0,8.966555400479754,3.710067024167097e-09,0.9653689858784446,0.9653689895885116
1,7,0.0,0.0,0.0,0.0,8.966555403514372,5.8452116218213455e-09,0.9653691555533458,0.9653691613985574
1,8,0.0,0.0,0.0,0.0,9.969092776497593,0.9868208437836556,1.494570997609882e-08,0.9868208587293656
2,1,0.04166666666666666,0.04166666666666666,0.0,0.0,-5.684773906047006,0.9915403413987368,0.004500293858276478,0.9960406352570133
2,2,0.04166666666666666,0.04166666666666666,0.0,0.0,6.346546352461487,0.015852480028786697,0.9452109858853106,0.9610634659140973
2,3,0.04166666666666666,0.04166666666666666,0.0,0.0,6.3632875340509925,1.1464860764134665e-07,0.9613385491184987,0.9613386637671063
2,4,0.04166666666666666,0.04166666666666666,0.0,0.0,6.363287652694955,1.8299217552096982e-09,0.9613381420409808,0.9613381438709026
2,5,0.04166666666666666,0.04166666666666666,0.0,0.0,8.947359713860141,0.00430506879230642,0.9609674588211858,0.9652725276134922
2,6,0.04166666666666666,0.04166666666666666,0.0,0.0,9.009802200399557,2.6081232756106774e-09,0.9640142989439034,0.9640143015520267
2,7,0.04166666666666666,0.04166666666666666,0.0,0.0,9.009802207531232,7.94336852233663e-09,0.9640140989272432,0.9640141068706117
2,8,0.04166666666666666,0.04166666666666666,0.0,0.0,10.018489738190016,0.9708991031899896,0.01562647222505082,0.9865255754150405
3,1,0.08333333333333333,0.08333333333333333,0.0,0.0,-5.661621040840555,0.9784758076255402,0.01755215592338975,0.99602796354893
3,2,0.08333333333333333,0.08333333333333333,0.0,0.0,6.203235331762062,0.05673104144298809,0.9061130163577837,0.9628440578007719
3,3,0.08333333333333333,0.08333333333333333,0.0,0.0,6.268483513011151,7.797971598815344e-09,0.9638250404995505,0.9638250482975221
3,4,0.08333333333333333,0.08333333333333333,0.0,0.0,6.2684835175315525,4.463051457203817e-09,0.9638248822625656,0.9638248867256171
3,5,0.08333333333333333,0.08333333333333333,0.0,0.0,8.891373745178814,0.01679807749493907,0.9481819555626126,0.9649800330575518
3,6,0.08333333333333333,0.08333333333333333,0.0,0.0,9.133088021864031,2.6628219576791195e-09,0.9602927264982666,0.9602927291610885
3,7,0.08333333333333333,0.08333333333333333,0.0,0.0,9.133088023106545,2.2110218228792825e-09,0.960292800826791,0.9602928030378128
3,8,0.08333333333333333,0.08333333333333333,0.0,0.0,10.156860472313417,0.9295177314800172,0.0561811854348774,0.9856989169148945
4,1,0.125,0.125,0.0,0.0,-5.623055941776919,0.9580886225485119,0.03791651017908474,0.9960051327275966
4,2,0.125,0.125,0.0,0.0,5.986226597552682,0.10919516406420082,0.8560596904176657,0.9652548544818665
4,3,0.125,0.125,0.0,0.0,6.127602324400925,6.459292168340489e-09,0.9671297845727765,0.9671297910320688
4,4,0.125,0.125,0.0,0.0,6.127602330098889,3.055621328792763e-09,0.9671295685203125,0.9671295715759338
4,5,0.125,0.125,0.0,0.0,8.802977204470086,0.036305812012912955,0.9281690033282319,0.9644748153411449
4,6,0.125,0.125,0.0,0.0,9.32132463448146,2.0686042172520765e-09,0.9548967259894605,0.9548967280580647
4,7,0.125,0.125,0.0,0.0,9.321324642515574,2.624719345071116e-09,0.9548967381271377,0.954896740751857
4,8,0.125,0.125,0.0,0.0,10.35918865261909,0.8748599694367761,0.10900642413138933,0.9838663935681655
5,1,0.1666666666666667,0.1666666666666667,0.0,0.0,-5.569114653763512,0.9321264289720022,0.06384368205113278,0.9959701110231349
5,2,0.1666666666666667,0.1666666666666667,0.0,0.0,5.716168747526251,0.16266613201489707,0.8052309684376658,0.9678971004525629
5,3,0.1666666666666667,0.1666666666666667,0.0,0.0,5.956666587896084,3.7193663385675403e-09,0.9706454226806479,0.9706454264000143
5,4,0.1666666666666667,0.1666666666666667,0.0,0.0,5.956666591651315,1.0548140068371143e-09,0.9706450459610649,0.970645047015879
5,5,0.1666666666666667,0.1666666666666667,0.0,0.0,8.688295875049578,0.06115085439152866,0.9025760059550615,0.9637268603465902
5,6,0.1666666666666667,0.1666666666666667,0.0,0.0,9.558324830230605,2.8671910104154635e-09,0.94837816248562,0.948378165352811
5,7,0.1666666666666667,0.1666666666666667,0.0,0.0,9.558324830497554,1.7351409145226298e-09,0.9483778928325077,0.9483778945676486
5,8,0.1666666666666667,0.1666666666666667,0.0,0.0,10.591592010328025,0.8137050299017652,0.16399336092247024,0.9776983908242354
6,1,0.2083333333333333,0.2083333333333333,0.0,0.0,-5.499849240043172,0.9025097949816229,0.09341132887734824,0.9959211238589711
6,2,0.2083333333333333,0.2083333333333333,0.0,0.0,5.409765799012067,0.2119740638487197,0.7585758592273218,0.9705499230760415
6,3,0.2083333333333333,0.2083333333333333,0.0,0.0,5.768569750610458,7.865788101984258e-10,0.9740347217838338,0.9740347225704126
6,4,0.2083333333333333,0.2083333333333333,0.0,0.0,5.768569750275699,1.2310997532938263e-09,0.9740346304490058,0.9740346316801056
6,5,0.2083333333333333,0.2083333333333333,0.0,0.0,8.554058968641073,0.08946193503084038,0.8732400166411767,0.962701951672017
6,6,0.2083333333333333,0.2083333333333333,0.0,0.0,9.830975748803002,2.123930853049242e-09,0.9410036227796952,0.941003624903626
6,7,0.2083333333333333,0.2083333333333333,0.0,0.0,9.830975752626172,4.165476814466909e-09,0.9410038221103096,0.9410038262757865
6,8,0.2083333333333333,0.2083333333333333,0.0,0.0,10.809489218342751,0.7408060394282354,0.21416559230403284,0.9549716317322683
7,1,0.25,0.25,0.0,0.0,-5.415326294090957,0.8710439588256571,0.12481269179730999,0.9958566506229671
7,2,0.25,0.25,0.0,0.0,5.07885841688519,0.2555812263054123,0.7175348600711534,0.9731160863765658
7,3,0.25,0.25,0.0,0.0,5.572487778148166,1.296740477018475e-09,0.9771477654321921,0.9771477667289326
7,4,0.25,0.25,0.0,0.0,5.5724877757258895,2.1815167851143877e-09,0.977147831819465,0.9771478340009817
7,5,0.25,0.25,0.0,0.0,8.406738067802342,0.11945382302901134,0.8419229127441583,0.9613767357731696
7,6,0.25,0.25,0.0,0.0,10.129840503937647,2.1750390450394844e-09,0.9328321974151967,0.9328321995902358
7,7,0.25,0.25,0.0,0.0,10.129840504642212,4.206646441662101e-09,0.9328323000420673,0.9328323042487138
7,8,0.25,0.25,0.0,0.0,10.94850724515618,0.6375331918086988,0.249014366868495,0.8865475586771938
8,1,0.2916666666666666,0.2916666666666666,0.0,0.0,-5.31562736737591,0.8392383328903135,0.1565383312859982,0.9957766641763117
8,2,0.2916666666666666,0.2916666666666666,0.0,0.0,4.7313978301868955,0.2935907494998887,0.6819625364780755,0.9755532859779642
8,3,0.2916666666666666,0.2916666666666666,0.0,0.0,5.37467897892587,1.0861178834964478e-09,0.9799345898050563,0.9799345908911742
8,4,0.2916666666666666,0.2916666666666666,0.0,0.0,5.374678981880387,1.898116412712378e-10,0.9799347965572858,0.9799347967470974
8,5,0.2916666666666666,0.2916666666666666,0.0,0.0,8.252071745699732,0.14961547730664282,0.8101300359629422,0.959745513269585
8,6,0.2916666666666666,0.2916666666666666,0.0,0.0,10.448372812909154,4.0574621653760315e-09,0.9238063927568019,0.923806396814264
8,7,0.2916666666666666,0.2916666666666666,0.0,0.0,10.44837281198385,3.880940304266547e-09,0.9238068066010492,0.9238068104819895
8,8,0.2916666666666666,0.2916666666666666,0.0,0.0,10.938635184285943,0.5015704360877677,0.255424761372869,0.7569951974606368
9,1,0.3333333333333333,0.3333333333333333,0.0,0.0,-5.20085024733754,0.8082293364453407,0.18745130515413344,0.9956806415994741
9,2,0.3333333333333333,0.3333333333333333,0.0,0.0,4.372653518155285,0.3266525900957207,0.6511919073114095,0.9778444974071302
9,3,0.3333333333333333,0.3333333333333333,0.0,0.0,5.17940118231887,8.189536740827875e-10,0.9823909051908997,0.9823909060098533
9,4,0.3333333333333333,0.3333333333333333,0.0,0.0,5.179401182088693,1.5712223777234085e-10,0.9823911465876068,0.982391146744729
9,5,0.3333333333333333,0.3333333333333333,0.0,0.0,8.09490712920084,0.17879719380986264,0.7790165325381145,0.9578137263479771
