kind,offsetx_invA,offsety_invA,k1,k2,k3
K-local,-0.03,-0.03,0.3179849626917425,0.32784704451321994,0.0
K-local,-0.03,-0.02,0.3179849626917425,0.3322338692268562,0.0
K-local,-0.03,-0.01,0.3179849626917425,0.33662069394049243,0.0
K-local,-0.03,0,0.3179849626917425,0.3410075186541287,0.0
K-local,-0.03,0.01,0.3179849626917425,0.3453943433677649,0.0
K-local,-0.03,0.02,0.3179849626917425,0.3497811680814012,0.0
K-local,-0.03,0.03,0.3179849626917425,0.35416799279503747,0.0
K-local,-0.02,-0.03,0.32310108623893946,0.3252889827396215,0.0
K-local,-0.02,-0.02,0.32310108623893946,0.32967580745325775,0.0
K-local,-0.02,-0.01,0.32310108623893946,0.33406263216689397,0.0
K-local,-0.02,0,0.32310108623893946,0.33844945688053024,0.0
K-local,-0.02,0.01,0.32310108623893946,0.34283628159416646,0.0
K-local,-0.02,0.02,0.32310108623893946,0.34722310630780273,0.0
K-local,-0.02,0.03,0.32310108623893946,0.351609931021439,0.0
K-local,-0.01,-0.03,0.3282172097861364,0.322730920966023,0.0
K-local,-0.01,-0.02,0.3282172097861364,0.3271177456796593,0.0
K-local,-0.01,-0.01,0.3282172097861364,0.3315045703932955,0.0
K-local,-0.01,0,0.3282172097861364,0.3358913951069318,0.0
K-local,-0.01,0.01,0.3282172097861364,0.340278219820568,0.0
K-local,-0.01,0.02,0.3282172097861364,0.34466504453420427,0.0
K-local,-0.01,0.03,0.3282172097861364,0.34905186924784054,0.0
K-local,0,-0.03,0.3333333333333333,0.32017285919242455,0.0
K-local,0,-0.02,0.3333333333333333,0.3245596839060608,0.0
K-local,0,-0.01,0.3333333333333333,0.32894650861969704,0.0
K-local,0,0,0.3333333333333333,0.3333333333333333,0.0
K-local,0,0.01,0.3333333333333333,0.33772015804696953,0.0
K-local,0,0.02,0.3333333333333333,0.3421069827606058,0.0
K-local,0,0.03,0.3333333333333333,0.3464938074742421,0.0
K-local,0.01,-0.03,0.33844945688053024,0.3176147974188261,0.0
K-local,0.01,-0.02,0.33844945688053024,0.32200162213246236,0.0
K-local,0.01,-0.01,0.33844945688053024,0.3263884468460986,0.0
K-local,0.01,0,0.33844945688053024,0.33077527155973485,0.0
K-local,0.01,0.01,0.33844945688053024,0.33516209627337107,0.0
