index,element,layer,x_A,y_A,z_A,normal_A
1,Sn,SnSe2,-5.940212009837094e-17,1.188042401967419e-16,23.40573491468649,23.40573491468649
2,Se,SnSe2,1.9750578125446223,1.1403001570644808,24.92478208810315,24.92478208810315
3,Se,SnSe2,-1.5505510757313858e-09,2.280600317397634,21.599882072676888,21.599882072676888
4,N,Sr2N,1.9750578125446223,1.1403001570644808,17.887545475267714,17.887545475267714
5,Sr,Sr2N,-4.934254572360981e-17,9.868509144721962e-17,19.442042528281426,19.442042528281426
6,Sr,Sr2N,-1.5505510633930402e-09,2.280600317397634,16.73830395726594,16.73830395726594
