kx_tpiba,ky_tpiba,kz_tpiba,kx_inv_A,ky_inv_A,kz_inv_A,band5_eV
0.75,-0.08,-0.08,0.8730514280371566,-0.09312548565729671,-0.09312548565729671,7.244655010325953
0.75,-0.08,-0.06,0.8730514280371566,-0.09312548565729671,-0.06984411424297253,7.20368463842487
0.75,-0.08,-0.04,0.8730514280371566,-0.09312548565729671,-0.046562742828648356,7.175249538627218
0.75,-0.08,-0.02,0.8730514280371566,-0.09312548565729671,-0.023281371414324178,7.158593176093672
0.75,-0.08,0.0,0.8730514280371566,-0.09312548565729671,0.0,7.153117253788684
0.75,-0.08,0.02,0.8730514280371566,-0.09312548565729671,0.023281371414324178,7.158593176093675
0.75,-0.08,0.04,0.8730514280371566,-0.09312548565729671,0.046562742828648356,7.175249538627211
0.75,-0.08,0.06,0.8730514280371566,-0.09312548565729671,0.06984411424297253,7.20368463842492
0.75,-0.08,0.08,0.8730514280371566,-0.09312548565729671,0.09312548565729671,7.244655010325944
0.75,-0.06,-0.08,0.8730514280371566,-0.06984411424297253,-0.09312548565729671,7.203684638424852
0.75,-0.06,-0.06,0.8730514280371566,-0.06984411424297253,-0.06984411424297253,7.149727538323006
0.75,-0.06,-0.04,0.8730514280371566,-0.06984411424297253,-0.046562742828648356,7.110995712407048
0.75,-0.06,-0.02,0.8730514280371566,-0.06984411424297253,-0.023281371414324178,7.087691860467955
0.75,-0.06,0.0,0.8730514280371566,-0.06984411424297253,0.0,7.079914494281261
0.75,-0.06,0.02,0.8730514280371566,-0.06984411424297253,0.023281371414324178,7.0876918604679195
0.75,-0.06,0.04,0.8730514280371566,-0.06984411424297253,0.046562742828648356,7.110995712407023
0.75,-0.06,0.06,0.8730514280371566,-0.06984411424297253,0.06984411424297253,7.149727538323085
0.75,-0.06,0.08,0.8730514280371566,-0.06984411424297253,0.09312548565729671,7.203684638424854
0.75,-0.04,-0.08,0.8730514280371566,-0.046562742828648356,-0.09312548565729671,7.175249538627259
0.75,-0.04,-0.06,0.8730514280371566,-0.046562742828648356,-0.06984411424297253,7.110995712407007
0.75,-0.04,-0.04,0.8730514280371566,-0.046562742828648356,-0.046562742828648356,7.0642170206856
0.75,-0.04,-0.02,0.8730514280371566,-0.046562742828648356,-0.023281371414324178,7.035775285276521
0.75,-0.04,0.0,0.8730514280371566,-0.046562742828648356,0.0,7.0262300270482845
0.75,-0.04,0.02,0.8730514280371566,-0.046562742828648356,0.023281371414324178,7.035775285276524
0.75,-0.04,0.04,0.8730514280371566,-0.046562742828648356,0.046562742828648356,7.064217020685599
0.75,-0.04,0.06,0.8730514280371566,-0.046562742828648356,0.06984411424297253,7.110995712407102
0.75,-0.04,0.08,0.8730514280371566,-0.046562742828648356,0.09312548565729671,7.175249538627287
0.75,-0.02,-0.08,0.8730514280371566,-0.023281371414324178,-0.09312548565729671,7.158593176093719
