time_ps,potential_eV_atom,kinetic_eV_atom,total_eV_atom,temperature_K
0.000000000000,-5.334700231401,0.047873985718,-5.286826245683,376.248701548092
0.005000000000,-5.336124815382,0.049297758571,-5.286827056811,387.438342002394
0.010000000000,-5.335895786760,0.049066670310,-5.286829116450,385.622185339634
0.015000000000,-5.333279103233,0.046448217127,-5.286830886105,365.043376302525
0.020000000000,-5.327809605390,0.040980321322,-5.286829284068,322.070378209526
0.025000000000,-5.320611870602,0.033792073885,-5.286819796718,265.576883378088
0.030000000000,-5.315313674078,0.028502051633,-5.286811622445,224.001819726379
0.035000000000,-5.314850807352,0.028035860271,-5.286814947081,220.337953181372
0.040000000000,-5.318182708256,0.031360484597,-5.286822223659,246.466665196526
0.045000000000,-5.322593548358,0.035769001137,-5.286824547221,281.113845689043
0.050000000000,-5.326682085641,0.039856410278,-5.286825675363,313.237395858490
0.055000000000,-5.329834256757,0.043008215792,-5.286826040965,338.007899389615
0.060000000000,-5.331854382459,0.045028847819,-5.286825534639,353.888343957285
0.065000000000,-5.332880365147,0.046055201386,-5.286825163761,361.954607731162
0.070000000000,-5.333069607919,0.046244902737,-5.286824705182,363.445498576110
0.075000000000,-5.332629980770,0.045806183834,-5.286823796936,359.997542135109
0.080000000000,-5.331930972654,0.045108144587,-5.286822828067,354.511548929537
0.085000000000,-5.331413992375,0.044592105784,-5.286821886592,350.455924004937
0.090000000000,-5.331547813702,0.044726985218,-5.286820828485,351.515961331955
0.095000000000,-5.332763068723,0.045941951004,-5.286821117719,361.064556304817
0.100000000000,-5.334933733120,0.048109865165,-5.286823867956,378.102512847019
0.105000000000,-5.337068459050,0.050241383924,-5.286827075126,394.854432566122
0.110000000000,-5.337994099362,0.051165443400,-5.286828655962,402.116752027242
0.115000000000,-5.337191588585,0.050364120853,-5.286827467732,395.819040162581
0.120000000000,-5.335150506205,0.048325223734,-5.286825282471,379.795047549235
0.125000000000,-5.332612633778,0.045786625254,-5.286826008524,359.843828369792
0.130000000000,-5.329410075912,0.042583174856,-5.286826901056,334.667440099465
0.135000000000,-5.325319410464,0.038495262265,-5.286824148200,302.539933236740
0.140000000000,-5.321237042374,0.034416110101,-5.286820932273,270.481275868963
0.145000000000,-5.318360662531,0.031541574760,-5.286819087770,247.889879448959
0.150000000000,-5.317469132688,0.030651166658,-5.286817966031,240.892031089780
0.155000000000,-5.318911619667,0.032092538964,-5.286819080702,252.219988239486
0.160000000000,-5.322150349704,0.035327384275,-5.286822965430,277.643113755405
0.165000000000,-5.325696434527,0.038869830307,-5.286826604219,305.483718626372
0.170000000000,-5.328177619276,0.041350561062,-5.286827058214,324.980146829739
0.175000000000,-5.329374590014,0.042549651203,-5.286824938811,334.403972774590
0.180000000000,-5.330032531048,0.043209279956,-5.286823251092,339.588092247356
0.185000000000,-5.330810994217,0.043987487843,-5.286823506374,345.704142600447
0.190000000000,-5.331702890710,0.044878550654,-5.286824340056,352.707136407349
0.195000000000,-5.332429278200,0.045604889507,-5.286824388693,358.415540380783
0.200000000000,-5.332932450121,0.046108639733,-5.286823810389,362.374587566138
0.205000000000,-5.333375273880,0.046551838513,-5.286823435367,365.857752024691
0.210000000000,-5.333841490252,0.047017380218,-5.286824110034,369.516512819317
0.215000000000,-5.334070504304,0.047245343097,-5.286825161207,371.308106646389
0.220000000000,-5.333662268728,0.046836599100,-5.286825669628,368.095727401500
0.225000000000,-5.332372605125,0.045546581266,-5.286826023859,357.957287330973
0.230000000000,-5.330095184648,0.043269781604,-5.286825403044,340.063583608533
0.235000000000,-5.327156477814,0.040333895487,-5.286822582328,316.990022404395
0.240000000000,-5.324638492215,0.037819353556,-5.286819138659,297.227867191286
0.245000000000,-5.323796544248,0.036978539046,-5.286818005203,290.619782174029
0.250000000000,-5.325014858178,0.038194588921,-5.286820269257,300.176897163451
0.255000000000,-5.327417219368,0.040593125028,-5.286824094340,319.027345530011
0.260000000000,-5.329529388495,0.042702679305,-5.286826709190,335.606643155142
0.265000000000,-5.330322685704,0.043495952066,-5.286826733638,341.841090566594
0.270000000000,-5.329797639029,0.042973315612,-5.286824323417,337.733613731865
0.275000000000,-5.328934001970,0.042113177921,-5.286820824049,330.973664996234
0.280000000000,-5.329074108347,0.042254824971,-5.286819283377,332.086890009820
0.285000000000,-5.330764494899,0.043942509849,-5.286821985050,345.350653924481
0.290000000000,-5.333008841699,0.046182166316,-5.286826675382,362.952443811362
0.295000000000,-5.334061907114,0.047232296752,-5.286829610362,371.205573498614
0.300000000000,-5.332820296333,0.045990780382,-5.286829515951,361.448313575733
