segment,distance_A_minus1,q1,q2,q3,f1_cm_minus1,f2_cm_minus1,f3_cm_minus1
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.265729922671533223e-06,-1.733763430303965327e-06,-5.805580354338277474e-07
0.000000000000000000e+00,6.319406354682977067e-03,1.250000000000000069e-02,0.000000000000000000e+00,1.250000000000000069e-02,3.607979497051653883e+00,9.982069212773653888e+00,9.982069212774792533e+00
0.000000000000000000e+00,1.263881270936595413e-02,2.500000000000000139e-02,0.000000000000000000e+00,2.500000000000000139e-02,7.327290014977670296e+00,1.992784432539975370e+01,1.992784432540024753e+01
0.000000000000000000e+00,1.895821906404893120e-02,3.750000000000000555e-02,0.000000000000000000e+00,3.750000000000000555e-02,1.126146111537539518e+01,2.980130434503560721e+01,2.980130434503593051e+01
0.000000000000000000e+00,2.527762541873190827e-02,5.000000000000000278e-02,0.000000000000000000e+00,5.000000000000000278e-02,1.549997707672143221e+01,3.956697280079057322e+01,3.956697280079073664e+01
0.000000000000000000e+00,3.159703177341488534e-02,6.250000000000000000e-02,0.000000000000000000e+00,6.250000000000000000e-02,2.011450159953148642e+01,4.919018577312367313e+01,4.919018577312377971e+01
0.000000000000000000e+00,3.791643812809786934e-02,7.500000000000001110e-02,0.000000000000000000e+00,7.500000000000001110e-02,2.515761400062824649e+01,5.863735484522607777e+01,5.863735484522619856e+01
0.000000000000000000e+00,4.423584448278084641e-02,8.750000000000000833e-02,0.000000000000000000e+00,8.750000000000000833e-02,3.066347436878079336e+01,6.787622328236932390e+01,6.787622328236943758e+01
0.000000000000000000e+00,5.055525083746382348e-02,1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01,3.664962862120632536e+01,7.687611374181261681e+01,7.687611374181271628e+01
0.000000000000000000e+00,5.687465719214680054e-02,1.125000000000000028e-01,0.000000000000000000e+00,1.125000000000000028e-01,4.311927312130158896e+01,8.560816580883125937e+01,8.560816580883128779e+01
0.000000000000000000e+00,6.319406354682977067e-02,1.250000000000000000e-01,0.000000000000000000e+00,1.250000000000000000e-01,5.006353039496798374e+01,9.404556164196337420e+01,9.404556164196345946e+01
0.000000000000000000e+00,6.951346990151274774e-02,1.375000000000000111e-01,0.000000000000000000e+00,1.375000000000000111e-01,5.746350523973255520e+01,1.021637379905697856e+02,1.021637379905698282e+02
0.000000000000000000e+00,7.583287625619572481e-02,1.500000000000000222e-01,0.000000000000000000e+00,1.500000000000000222e-01,6.529204102860212799e+01,1.099405828179591822e+02,1.099405828179592248e+02
0.000000000000000000e+00,8.215228261087868800e-02,1.625000000000000056e-01,0.000000000000000000e+00,1.625000000000000056e-01,7.351517982741221147e+01,1.173566147212353599e+02,1.173566147212354878e+02
0.000000000000000000e+00,8.847168896556166506e-02,1.750000000000000167e-01,0.000000000000000000e+00,1.750000000000000167e-01,8.209336685562497848e+01,1.243951432823463676e+02,1.243951432823464671e+02
0.000000000000000000e+00,9.479109532024462825e-02,1.875000000000000000e-01,0.000000000000000000e+00,1.875000000000000000e-01,9.098244976618751423e+01,1.310424084115773837e+02,1.310424084115774690e+02
0.000000000000000000e+00,1.011105016749276053e-01,2.000000000000000111e-01,0.000000000000000000e+00,2.000000000000000111e-01,1.001345201856511835e+02,1.372876966536383350e+02,1.372876966536384771e+02
0.000000000000000000e+00,1.074299080296105824e-01,2.125000000000000222e-01,0.000000000000000000e+00,2.125000000000000222e-01,1.094986370553189232e+02,1.431234323174847134e+02,1.431234323174848271e+02
0.000000000000000000e+00,1.137493143842935456e-01,2.250000000000000056e-01,0.000000000000000000e+00,2.250000000000000056e-01,1.190214626108995759e+02,1.485452411658891947e+02,1.485452411658893368e+02
0.000000000000000000e+00,1.200687207389765226e-01,2.375000000000000167e-01,0.000000000000000000e+00,2.375000000000000167e-01,1.286478340509078180e+02,1.535519842640713080e+02,1.535519842640713648e+02
0.000000000000000000e+00,1.263881270936594858e-01,2.500000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,1.383212875964819375e+02,1.581457594466929777e+02,1.581457594466930345e+02
0.000000000000000000e+00,1.327075334483424629e-01,2.625000000000000111e-01,0.000000000000000000e+00,2.625000000000000111e-01,1.479845467247403974e+02,1.623318677325315207e+02,1.623318677325316060e+02
0.000000000000000000e+00,1.390269398030254400e-01,2.750000000000000222e-01,0.000000000000000000e+00,2.750000000000000222e-01,1.575799826539296191e+02,1.661187419156825058e+02,1.661187419156825911e+02
0.000000000000000000e+00,1.453463461577084170e-01,2.875000000000000333e-01,0.000000000000000000e+00,2.875000000000000333e-01,1.670500524204676367e+02,1.695178345184129967e+02,1.695178345184130535e+02
0.000000000000000000e+00,1.516657525123913941e-01,3.000000000000000444e-01,0.000000000000000000e+00,3.000000000000000444e-01,1.725434623394683626e+02,1.725434623394684763e+02,1.763377178874115430e+02
0.000000000000000000e+00,1.579851588670743434e-01,3.125000000000000000e-01,0.000000000000000000e+00,3.125000000000000000e-01,1.752126050175060641e+02,1.752126050175060925e+02,1.853868475748498668e+02
0.000000000000000000e+00,1.643045652217573205e-01,3.250000000000000111e-01,0.000000000000000000e+00,3.250000000000000111e-01,1.775446554053965258e+02,1.775446554053965258e+02,1.941426021617018307e+02
0.000000000000000000e+00,1.706239715764402975e-01,3.375000000000000222e-01,0.000000000000000000e+00,3.375000000000000222e-01,1.795611201764221221e+02,1.795611201764221505e+02,2.025518037680070620e+02
0.000000000000000000e+00,1.769433779311232746e-01,3.500000000000000333e-01,0.000000000000000000e+00,3.500000000000000333e-01,1.812852700181618957e+02,1.812852700181619809e+02,2.105632886080798016e+02
0.000000000000000000e+00,1.832627842858062517e-01,3.625000000000000444e-01,0.000000000000000000e+00,3.625000000000000444e-01,1.827417400681159734e+02,1.827417400681160018e+02,2.181282422503406053e+02
0.000000000000000000e+00,1.895821906404892010e-01,3.750000000000000000e-01,0.000000000000000000e+00,3.750000000000000000e-01,1.839560829440143266e+02,1.839560829440143834e+02,2.252005164875251637e+02
0.000000000000000000e+00,1.959015969951721781e-01,3.875000000000000111e-01,0.000000000000000000e+00,3.875000000000000111e-01,1.849542788281304695e+02,1.849542788281305832e+02,2.317369266809725161e+02
0.000000000000000000e+00,2.022210033498551551e-01,4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000222e-01,1.857622095404776985e+02,1.857622095404777838e+02,2.376975283727396970e+02
0.000000000000000000e+00,2.085404097045381322e-01,4.125000000000000333e-01,0.000000000000000000e+00,4.125000000000000333e-01,1.864051062830542946e+02,1.864051062830543799e+02,2.430458719431724433e+02
0.000000000000000000e+00,2.148598160592211093e-01,4.250000000000000444e-01,0.000000000000000000e+00,4.250000000000000444e-01,1.869069835902697037e+02,1.869069835902698173e+02,2.477492341172788315e+02
0.000000000000000000e+00,2.211792224139040586e-01,4.375000000000000000e-01,0.000000000000000000e+00,4.375000000000000000e-01,1.872900747439468034e+02,1.872900747439468319e+02,2.517788251817790979e+02
0.000000000000000000e+00,2.274986287685870356e-01,4.500000000000000111e-01,0.000000000000000000e+00,4.500000000000000111e-01,1.875742862125385955e+02,1.875742862125386523e+02,2.551099708592004163e+02
0.000000000000000000e+00,2.338180351232700127e-01,4.625000000000000222e-01,0.000000000000000000e+00,4.625000000000000222e-01,1.877766902320406075e+02,1.877766902320406359e+02,2.577222678904664690e+02
0.000000000000000000e+00,2.401374414779529898e-01,4.750000000000000333e-01,0.000000000000000000e+00,4.750000000000000333e-01,1.879110751530523942e+02,1.879110751530524510e+02,2.595997124988735436e+02
