iteration,delta_spread_bohr2,rms_gradient,total_spread_bohr2
0.000000000000000000e+00,2.280000000000000071e+01,0.000000000000000000e+00,2.277125410749999901e+01
1.000000000000000000e+00,-4.760000000000000342e-03,8.022190699999999508e-02,2.276649111100000056e+01
2.000000000000000000e+00,-6.080000000000000064e-05,9.287115400000000437e-03,2.276643033479999900e+01
3.000000000000000000e+00,-2.889999999999999859e-06,1.767551499999999972e-03,2.276642744640000160e+01
4.000000000000000000e+00,-5.669999999999999652e-09,8.740900000000000286e-05,2.276642744080000114e+01
5.000000000000000000e+00,-3.270000000000000203e-13,1.393500000000000084e-06,2.276642744080000114e+01
6.000000000000000000e+00,-1.109999999999999940e-13,1.172499999999999997e-06,2.276642744080000114e+01
7.000000000000000000e+00,-1.779999999999999988e-13,1.099900000000000049e-06,2.276642744080000114e+01
8.000000000000000000e+00,-2.849999999999999973e-13,9.702000000000000452e-07,2.276642744080000114e+01
9.000000000000000000e+00,-1.839999999999999985e-13,7.383999999999999945e-07,2.276642744080000114e+01
