distance_Ainv,E1_eV,E2_eV,E3_eV,E4_eV,E1_minus_VBM_eV,E2_minus_VBM_eV,E3_minus_VBM_eV,E4_minus_VBM_eV
0.000000000000000000e+00,-5.699221900000000396e+00,6.386039199999999916e+00,6.386039199999999916e+00,6.386039199999999916e+00,-1.208526114338431690e+01,-4.338431658368335775e-08,-4.338431658368335775e-08,-4.338431658368335775e-08
1.455085700000000037e-02,-5.698666399999999577e+00,6.383182999999999829e+00,6.384148599999999618e+00,6.384149899999999711e+00,-1.208470564338431608e+01,-2.856243384316670131e-03,-1.890643384316881281e-03,-1.889343384316788388e-03
2.910171400000000075e-02,-5.696998200000000345e+00,6.374620199999999848e+00,6.378484900000000124e+00,6.378487599999999702e+00,-1.208303744338431684e+01,-1.141904338431665167e-02,-7.554343384316375420e-03,-7.551643384316797381e-03
4.365257200000000060e-02,-5.694212300000000226e+00,6.360369300000000337e+00,6.369069299999999600e+00,6.369073400000000440e+00,-1.208025154338431761e+01,-2.566994338431616285e-02,-1.696994338431689897e-02,-1.696584338431605943e-02
5.820342900000000097e-02,-5.690300500000000206e+00,6.340461099999999739e+00,6.355936299999999761e+00,6.355941800000000086e+00,-1.207633974338431671e+01,-4.557814338431676049e-02,-3.010294338431673822e-02,-3.009744338431641353e-02
7.275428600000000134e-02,-5.685251400000000288e+00,6.314938099999999999e+00,6.339134399999999836e+00,6.339141299999999646e+00,-1.207129064338431590e+01,-7.110114338431650083e-02,-4.690484338431666345e-02,-4.689794338431685361e-02
8.730514300000000172e-02,-5.679050600000000060e+00,6.283854800000000296e+00,6.318725299999999656e+00,6.318733599999999839e+00,-1.206508984338431745e+01,-1.021844433843162037e-01,-6.731394338431684332e-02,-6.730564338431666016e-02
1.018560000000000021e-01,-5.671680699999999575e+00,6.247277500000000039e+00,6.294783400000000029e+00,6.294793099999999697e+00,-1.205771994338431696e+01,-1.387617433843164605e-01,-9.125584338431647069e-02,-9.124614338431680238e-02
1.164068600000000009e-01,-5.663121499999999919e+00,6.205283399999999894e+00,6.267395699999999792e+00,6.267406700000000441e+00,-1.204916074338431642e+01,-1.807558433843166057e-01,-1.186435433843167075e-01,-1.186325433843160582e-01
1.309577100000000049e-01,-5.653350500000000167e+00,6.157961000000000240e+00,6.236661100000000069e+00,6.236673500000000203e+00,-1.203938974338431578e+01,-2.280782433843162593e-01,-1.493781433843164308e-01,-1.493657433843162963e-01
1.455085700000000037e-01,-5.642342700000000377e+00,6.105409200000000425e+00,6.202689699999999640e+00,6.202703399999999867e+00,-1.202838194338431776e+01,-2.806300433843160747e-01,-1.833495433843168598e-01,-1.833358433843166324e-01
1.600594300000000025e-01,-5.630071000000000048e+00,6.047736800000000024e+00,6.165602299999999758e+00,6.165617199999999798e+00,-1.201611024338431655e+01,-3.383024433843164758e-01,-2.204369433843167414e-01,-2.204220433843167015e-01
1.746102900000000013e-01,-5.616506700000000407e+00,5.985062600000000010e+00,6.125529499999999850e+00,6.125545500000000310e+00,-1.200254594338431602e+01,-4.009766433843164890e-01,-2.605097433843166499e-01,-2.604937433843161898e-01
1.891611400000000054e-01,-5.601619399999999693e+00,5.917514399999999952e+00,6.082611100000000270e+00,6.082628099999999982e+00,-1.198765864338431619e+01,-4.685248433843165472e-01,-3.034281433843162290e-01,-3.034111433843165173e-01
2.037120000000000042e-01,-5.585377600000000164e+00,5.845228500000000160e+00,6.036995000000000111e+00,6.037012999999999963e+00,-1.197141684338431666e+01,-5.408107433843163392e-01,-3.490442433843163883e-01,-3.490262433843165368e-01
2.182628600000000030e-01,-5.567748899999999779e+00,5.768349299999999680e+00,5.988836700000000235e+00,5.988855599999999946e+00,-1.195378814338431539e+01,-6.176899433843168197e-01,-3.972025433843162645e-01,-3.971836433843165537e-01
2.328137200000000018e-01,-5.548700199999999860e+00,5.687028899999999609e+00,5.938298299999999585e+00,5.938317999999999763e+00,-1.193473944338431636e+01,-6.990103433843168901e-01,-4.477409433843169140e-01,-4.477212433843167361e-01
2.473645700000000058e-01,-5.528198500000000237e+00,5.601426000000000016e+00,5.885547400000000096e+00,5.885567799999999572e+00,-1.191423774338431585e+01,-7.846132433843164833e-01,-5.004918433843164038e-01,-5.004714433843169274e-01
