sweep,energy_per_spin,M2,cos_x,cos_y,current_x,current_y,current_x2,current_y2,vortex_abs_density
5.000000000000000000e+01,-1.361812552002267029e+00,4.325464806588542044e-01,4.936067862821705887e+01,3.779532469992803101e+01,1.017634175373037131e+00,-5.307058387781085074e-01,1.035579314887161262e+00,2.816486873131757163e-01,0.000000000000000000e+00
1.000000000000000000e+02,-1.562710476034712581e+00,6.430745190610526185e-01,4.855174325577286254e+01,5.146172721044873555e+01,1.744792041200345478e+00,5.635996768423892078e-01,3.044299267036068013e+00,3.176445957368455586e-01,0.000000000000000000e+00
1.500000000000000000e+02,-1.435956602125413539e+00,5.487259177172586488e-01,4.785682173373589876e+01,4.404440080229056775e+01,1.537545466322338683e-01,5.916270096131679423e-01,2.364046061008378066e-02,3.500225185038194908e-01,0.000000000000000000e+00
2.000000000000000000e+02,-1.554345395277183961e+00,7.101767761431001524e-01,4.993510988171055942e+01,4.954299541602921408e+01,3.715074121278958419e-01,-1.138952620158636186e+00,1.380177572659662399e-01,1.297213070966222626e+00,0.000000000000000000e+00
2.500000000000000000e+02,-1.592946213689932833e+00,7.514997801053799886e-01,5.091780906654472005e+01,5.103074860961098125e+01,9.362920584585066042e-01,-7.645954774406047427e-01,8.766428187324675214e-01,5.846062441226262951e-01,0.000000000000000000e+00
3.000000000000000000e+02,-1.655931807796657385e+00,7.742078361032096456e-01,5.425057574032760499e+01,5.172905995865847473e+01,-5.359841473009356871e-01,2.823350085665961018e-01,2.872790061579111320e-01,7.971305706229989130e-02,0.000000000000000000e+00
3.500000000000000000e+02,-1.626647766192608202e+00,7.489324575342873880e-01,5.141265206689031686e+01,5.269280496943660808e+01,1.179967033027375933e+00,2.617564389716657836e-01,1.392322199031428509e+00,6.851643334312738920e-02,0.000000000000000000e+00
4.000000000000000000e+02,-1.592836359931665058e+00,6.757385826429218589e-01,5.062727620722417043e+01,5.131425082840240037e+01,-2.842237730026057729e+00,2.640225463112466642e-01,8.078315313983678081e+00,6.970790496067438835e-02,0.000000000000000000e+00
4.500000000000000000e+02,-1.697463572329609871e+00,7.912782767324293420e-01,5.329918868393452414e+01,5.533847994516050051e+01,-5.945590223641561423e-02,4.856274152597557237e-01,3.535004310746211326e-03,2.358339864518712303e-01,0.000000000000000000e+00
5.000000000000000000e+02,-1.630371373718442429e+00,7.045757153435309172e-01,5.316593429669755011e+01,5.117783362128276536e+01,1.160029936957184482e+00,-9.310612979170755921e-01,1.345669454636889473e+00,8.668751404790293602e-01,0.000000000000000000e+00
5.500000000000000000e+02,-1.697758482319265294e+00,7.776155545385931012e-01,5.599810116419469352e+01,5.265844170423828530e+01,4.564444129158171104e-02,9.841944626886824921e-01,2.083415020820649378e-03,9.686387403870644341e-01,0.000000000000000000e+00
6.000000000000000000e+02,-1.363679054147960645e+00,5.164880655748101956e-01,4.073507248427499405e+01,4.654038698119448725e+01,2.567214642102746414e-01,-5.346736264509818426e+00,6.590591018626731912e-02,2.858758868222440697e+01,3.125000000000000000e-02
6.500000000000000000e+02,-1.556194152486214843e+00,6.943875654623070659e-01,5.066968394163313150e+01,4.892674181748461848e+01,9.809399227078575700e-01,-1.798675192941598944e-01,9.622431319620975421e-01,3.235232449703498436e-02,0.000000000000000000e+00
7.000000000000000000e+02,-1.636275925974168377e+00,7.286986464630118565e-01,5.288249861548404596e+01,5.183916064686273728e+01,-1.210168113215709385e-01,4.627032730370839175e-01,1.464506862244070035e-02,2.140943188792302221e-01,0.000000000000000000e+00
7.500000000000000000e+02,-1.623007015422682109e+00,7.754294030013462180e-01,5.318522385368282812e+01,5.068722513336881974e+01,1.248655003228003713e+00,-2.447315591766852094e-02,1.559139317086325915e+00,5.989353605705137517e-04,0.000000000000000000e+00
8.000000000000000000e+02,-1.609955372045568600e+00,6.969758670325515437e-01,5.152893966005385806e+01,5.150820415086253234e+01,1.716399007612621208e-01,5.247757479847914297e-01,2.946025553333590785e-02,2.753895856729973168e-01,0.000000000000000000e+00
8.500000000000000000e+02,-1.553585947399392708e+00,6.996827073625659921e-01,4.963171101523661832e+01,4.979778961832450790e+01,-4.071283842367048322e-01,-1.865782775322862186e+00,1.657535212511899725e-01,3.481145364691482058e+00,3.125000000000000000e-02
9.000000000000000000e+02,-1.669042110920359478e+00,7.477321591414183288e-01,5.137287045943887165e+01,5.544582463946413498e+01,-5.904003323225365252e-01,1.005606323821570669e-01,3.485725524065615422e-01,1.011244078509933655e-02,0.000000000000000000e+00
9.500000000000000000e+02,-1.606457748328126156e+00,7.133477223471096362e-01,4.974192930674034585e+01,5.307136658625972814e+01,-1.380826920148943149e+00,8.465198141070193749e-01,1.906682983408015897e+00,7.165957956757826874e-01,0.000000000000000000e+00
1.000000000000000000e+03,-1.615221500900188456e+00,7.613548907732051729e-01,5.176463355258663057e+01,5.160954250502542351e+01,2.777775099833267869e-01,-2.475052034627767128e-01,7.716034505253721587e-02,6.125882574115049800e-02,0.000000000000000000e+00
1.050000000000000000e+03,-1.617267688513934321e+00,6.778348547639259092e-01,5.107618331738327555e+01,5.242894874750852807e+01,8.085832323553294732e-01,-3.184949803823653447e-01,6.538068436461926813e-01,1.014390525287632849e-01,0.000000000000000000e+00
1.100000000000000000e+03,-1.680174248907466250e+00,7.826381145556515762e-01,5.322897282588738221e+01,5.430217910419046490e+01,-4.960746144618888298e-02,-1.215700344727541626e-01,2.460900231135116495e-03,1.477927328170663621e-02,0.000000000000000000e+00
1.150000000000000000e+03,-1.575645823916801191e+00,6.168745464609622919e-01,5.115909256647161385e+01,4.968224016420366951e+01,-1.175864981374905860e-01,-6.453848782896525194e-01,1.382658454423807762e-02,4.165216411249496042e-01,0.000000000000000000e+00
1.200000000000000000e+03,-1.664865662436119775e+00,7.342447982892239544e-01,5.290445274477204407e+01,5.364694965113962155e+01,1.363204344955784242e+00,-1.383023718726146267e-01,1.858326086106328878e+00,1.912754606559098625e-02,0.000000000000000000e+00
1.250000000000000000e+03,-1.663982034243111086e+00,7.555718449301191963e-01,5.325119975560935615e+01,5.324365043594975333e+01,-9.597581230326130974e-01,-4.114500915446752671e-01,9.211356547270844741e-01,1.692911778321216643e-01,0.000000000000000000e+00
1.300000000000000000e+03,-1.584189744216716322e+00,7.162415471062887340e-01,4.823760321434149034e+01,5.315054041552835429e+01,-7.288232369994237514e-01,2.145487877912035657e-01,5.311833107903182194e-01,4.603118234267489922e-02,0.000000000000000000e+00
1.350000000000000000e+03,-1.534721134726917402e+00,6.344280772507031596e-01,4.870967507666567542e+01,4.951247754585704541e+01,1.039357247924620253e+00,-2.065547181558461620e+00,1.080263488813440587e+00,4.266485159244104430e+00,0.000000000000000000e+00
1.400000000000000000e+03,-1.703885369304121822e+00,8.022983021334915144e-01,5.554294366928458260e+01,5.350571996617921400e+01,-8.273980501123334719e-01,9.176031711463661367e-02,6.845875333296914667e-01,8.419955796978673829e-03,0.000000000000000000e+00
1.450000000000000000e+03,-1.664424510043355010e+00,7.505478614988772001e-01,5.251710622542703533e+01,5.400606241734769242e+01,3.540752733180080325e-01,5.819042461995072024e-01,1.253692991752221042e-01,3.386125517450166988e-01,0.000000000000000000e+00
1.500000000000000000e+03,-1.597576162636257902e+00,7.214869484520856080e-01,5.053347160904877455e+01,5.171140279967173115e+01,2.406867093140903080e+00,1.001051409690326466e+00,5.793009204044540894e+00,1.002103924842989935e+00,0.000000000000000000e+00
1.550000000000000000e+03,-1.796936856816961692e+00,8.406320912640039555e-01,5.680538536688204942e+01,5.819857346940349885e+01,4.737495459914058404e-01,6.215751117589274344e-02,2.244386323270631534e-01,3.863556195581231093e-03,0.000000000000000000e+00
1.600000000000000000e+03,-1.602438700078480771e+00,6.836949608575787485e-01,5.199006155856385902e+01,5.056601524645890322e+01,5.526104193644872931e-01,-5.139275977151886998e-01,3.053782755901945367e-01,2.641215756933048553e-01,0.000000000000000000e+00
1.650000000000000000e+03,-1.657813683008128702e+00,7.113835620155318784e-01,5.399779622971828275e+01,5.210227948280196131e+01,1.056504228501921716e+00,-6.750560862895147451e-01,1.116201184842440908e+00,4.557007196365167601e-01,0.000000000000000000e+00
1.700000000000000000e+03,-1.548691422494110626e+00,6.558225992038964058e-01,5.024458438078087852e+01,4.887166665884219441e+01,-1.930629930641770131e-01,1.767295426051837648e+00,3.727331929089846424e-02,3.123333122943746432e+00,0.000000000000000000e+00
1.750000000000000000e+03,-1.624185592123013500e+00,7.362749067168414818e-01,4.954387388873837494e+01,5.440400400713448192e+01,-1.850367197576588074e+00,-6.775796430184999330e-01,3.423858765867436205e+00,4.591141726330777995e-01,0.000000000000000000e+00
1.800000000000000000e+03,-1.722687906568925786e+00,8.122685113744432250e-01,5.608396587312336123e+01,5.416806014728789620e+01,1.016900780084325218e-01,-9.971665085434806564e-01,1.034087196536109116e-02,9.943410457607955166e-01,0.000000000000000000e+00
1.850000000000000000e+03,-1.644692249432567532e+00,7.775531941091865518e-01,5.117092528252763373e+01,5.408937868115668834e+01,-2.018777764160576416e-01,5.247851889678578630e-02,4.075463661069175791e-02,2.753994945600302981e-03,0.000000000000000000e+00
1.900000000000000000e+03,-1.604805094444542668e+00,7.004019472463298701e-01,5.217546838320420477e+01,5.053205766124652598e+01,2.537725736011313682e-01,8.904523716159307156e-01,6.440051911214163260e-02,7.929054261164355522e-01,0.000000000000000000e+00
1.950000000000000000e+03,-1.677891503449688848e+00,7.449747665321005963e-01,5.321122994026782749e+01,5.417382628051225879e+01,7.604162674083758677e-02,9.165068420223976275e-02,5.782328997392865988e-03,8.399847914738680851e-03,0.000000000000000000e+00
2.000000000000000000e+03,-1.713455100416062304e+00,8.011041361311270759e-01,5.548153817392901033e+01,5.417958825269897716e+01,4.832037540193133696e-01,-1.574648155159295015e-01,2.334858678983570968e-01,2.479516812546571358e-02,0.000000000000000000e+00
2.050000000000000000e+03,-1.709252347875136469e+00,7.991054159007341395e-01,5.446829390666949422e+01,5.492385635733924687e+01,-8.220834689419099783e-01,-5.187540011892308733e-01,6.758212299075642138e-01,2.691057137498365504e-01,0.000000000000000000e+00
2.100000000000000000e+03,-1.600453375822051161e+00,7.124413742839691421e-01,5.055791551274107576e+01,5.187110053987019853e+01,-1.070743871126679014e+00,2.091570203356751811e+00,1.146492437555346244e+00,4.374665915569804220e+00,0.000000000000000000e+00
2.150000000000000000e+03,-1.577364464588741910e+00,7.555702873978048517e-01,4.980717264859038806e+01,5.114415308508910130e+01,1.536409519520862466e+00,-1.718050082816245716e+00,2.360554211674327441e+00,2.951696087064908713e+00,0.000000000000000000e+00
2.200000000000000000e+03,-1.633667640078025229e+00,7.520927475811913787e-01,5.305004598323851184e+01,5.150468298175509574e+01,6.498672169976169588e-01,8.037107078635810087e-01,4.223273997282277481e-01,6.459509019345784919e-01,0.000000000000000000e+00
2.250000000000000000e+03,-1.483765416643765267e+00,5.703826707025460019e-01,4.723881750570475901e+01,4.772216915949621097e+01,1.741257492027991072e+00,1.565912194827650650e+00,3.031977653543609375e+00,2.452081001909950153e+00,0.000000000000000000e+00
2.300000000000000000e+03,-1.640029987451654847e+00,6.404775192799131434e-01,5.344554970955850592e+01,5.151636948734739718e+01,4.563698678471800330e-02,-7.455707910019726548e-01,2.082734562788525565e-03,5.558758043953071493e-01,0.000000000000000000e+00
2.350000000000000000e+03,-1.654186170776189346e+00,7.800624396331369281e-01,5.520585558058164111e+01,5.066205934909447706e+01,1.662548556448312231e-02,-2.234531218921687490e+00,2.764067702548366747e-04,4.993129768335642815e+00,0.000000000000000000e+00
2.400000000000000000e+03,-1.660284068327889884e+00,7.687546477131924627e-01,5.240531289430457207e+01,5.385286747868038049e+01,2.083955661119560321e-01,8.646822710096095932e-01,4.342871197512263720e-02,7.476754297983358999e-01,0.000000000000000000e+00
2.450000000000000000e+03,-1.657346030080540933e+00,7.573467582487563021e-01,5.401627935706760297e+01,5.205386656808701673e+01,5.331429805605163441e-01,-1.211079883571556604e+00,2.842414377209511178e-01,1.466714484391695050e+00,0.000000000000000000e+00
2.500000000000000000e+03,-1.443883416134344344e+00,6.366267068083266700e-01,4.509133189427454624e+01,4.731720673832348467e+01,2.571143734921862434e-01,9.608627941701342046e-01,6.610780105627944714e-02,9.232573092204376941e-01,0.000000000000000000e+00
2.550000000000000000e+03,-1.605689416236919964e+00,7.091484745519319732e-01,5.287258882685159733e+01,4.989153381231128037e+01,-3.220010941742748600e-01,-1.145413151733238877e-01,1.036847046494302205e-01,1.311971288163471701e-02,0.000000000000000000e+00
2.600000000000000000e+03,-1.444119409696811740e+00,6.124575105195381175e-01,4.409795189295615359e+01,4.832569032763979067e+01,-2.411819633293478260e-01,-7.558566075385042549e-02,5.816873943539888070e-02,5.713192111596164351e-03,0.000000000000000000e+00
2.650000000000000000e+03,-1.790580808332886020e+00,8.691488540586241873e-01,5.705173082225900316e+01,5.754544091104570214e+01,-1.512699229727306194e-01,-3.608992366818488673e-01,2.288258959617585353e-02,1.302482590375411697e-01,0.000000000000000000e+00
2.700000000000000000e+03,-1.617790488966377227e+00,7.562882383813330778e-01,5.118201605118402142e+01,5.235657524266412111e+01,-1.660453316405927637e-01,-3.102517900922125982e-01,2.757105215963443628e-02,9.625617325542235037e-02,0.000000000000000000e+00
2.750000000000000000e+03,-1.546849426578026376e+00,6.719533610940658930e-01,5.166059912814525035e+01,4.733776417284843774e+01,1.520700498273810375e+00,5.778599862904432172e-01,2.312530005450215143e+00,3.339221637555912503e-01,0.000000000000000000e+00
2.800000000000000000e+03,-1.695171456427238654e+00,8.242928124480557450e-01,5.491864172081578488e+01,5.357233149052748900e+01,9.174506217890628923e-01,8.309123076773876626e-01,8.417156434211381377e-01,6.904152630497617515e-01,0.000000000000000000e+00
