0.01057900 0.00089884 0.00015527 0.00011024 0.00018775 0.00045501 0.00115170 0.00269350 0.00563810 0.01060500 0.01825200 0.02947200 0.04590900 0.07052500 0.10688000 0.15515000 0.20665000 0.24585000 0.26030000 0.24585000 0.20665000 0.15515000 0.10688000 0.07052500 0.04590900 0.02947200 0.01825200 0.01060500 0.00563810 0.00269350 0.00115170 0.00045501 0.00018775 0.00011024 0.00015527 0.00089884
0.00089884 0.00038212 0.00015767 0.00015394 0.00027837 0.00064289 0.00151590 0.00332570 0.00661210 0.01194600 0.01992800 0.03141700 0.04807500 0.07290400 0.10944000 0.15771000 0.20892000 0.24771000 0.26198000 0.24771000 0.20892000 0.15771000 0.10944000 0.07290400 0.04807500 0.03141700 0.01992800 0.01194600 0.00661210 0.00332570 0.00151590 0.00064289 0.00027837 0.00015394 0.00015767 0.00038212
0.00015527 0.00015767 0.00019686 0.00033468 0.00068163 0.00144810 0.00296770 0.00567060 0.01000800 0.01639100 0.02526600 0.03743400 0.05465200 0.08006400 0.11712000 0.16536000 0.21566000 0.25326000 0.26697000 0.25326000 0.21566000 0.16536000 0.11712000 0.08006400 0.05465200 0.03743400 0.02526600 0.01639100 0.01000800 0.00567060 0.00296770 0.00144810 0.00068163 0.00033468 0.00019686 0.00015767
0.00011024 0.00015394 0.00033468 0.00079891 0.00177760 0.00357240 0.00652380 0.01094100 0.01703500 0.02494200 0.03493100 0.04785800 0.06575600 0.09201500 0.12984000 0.17791000 0.22665000 0.26228000 0.27514000 0.26228000 0.22665000 0.17791000 0.12984000 0.09201500 0.06575600 0.04785800 0.03493100 0.02494200 0.01703500 0.01094100 0.00652380 0.00357240 0.00177760 0.00079891 0.00033468 0.00015394
0.00018775 0.00027837 0.00068163 0.00177760 0.00405010 0.00786520 0.01335800 0.02042700 0.02881900 0.03833600 0.04922200 0.06267400 0.08125400 0.10860000 0.14735000 0.19493000 0.24135000 0.27430000 0.28601000 0.27430000 0.24135000 0.19493000 0.14735000 0.10860000 0.08125400 0.06267400 0.04922200 0.03833600 0.02881900 0.02042700 0.01335800 0.00786520 0.00405010 0.00177760 0.00068163 0.00027837
0.00045501 0.00064289 0.00144810 0.00357240 0.00786520 0.01473000 0.02382500 0.03426900 0.04513000 0.05596600 0.06732700 0.08112300 0.10059000 0.12941000 0.16912000 0.21559000 0.25876000 0.28835000 0.29870000 0.28835000 0.25876000 0.21559000 0.16912000 0.12941000 0.10059000 0.08112300 0.06732700 0.05596600 0.04513000 0.03426900 0.02382500 0.01473000 0.00786520 0.00357240 0.00144810 0.00064289
0.00115170 0.00151590 0.00296770 0.00652380 0.01335800 0.02382500 0.03692600 0.05081000 0.06386100 0.07564100 0.08737800 0.10190000 0.12296000 0.15374000 0.19414000 0.23845000 0.27729000 0.30291000 0.31173000 0.30291000 0.27729000 0.23845000 0.19414000 0.15374000 0.12296000 0.10190000 0.08737800 0.07564100 0.06386100 0.05081000 0.03692600 0.02382500 0.01335800 0.00652380 0.00296770 0.00151590
0.00269350 0.00332570 0.00567060 0.01094100 0.02042700 0.03426900 0.05081000 0.06741500 0.08210200 0.09479300 0.10756000 0.12395000 0.14768000 0.18070000 0.22087000 0.26150000 0.29487000 0.31603000 0.32318000 0.31603000 0.29487000 0.26150000 0.22087000 0.18070000 0.14768000 0.12395000 0.10756000 0.09479300 0.08210200 0.06741500 0.05081000 0.03426900 0.02042700 0.01094100 0.00567060 0.00332570
0.00563810 0.00661210 0.01000800 0.01703500 0.02881900 0.04513000 0.06386100 0.08210200 0.09805600 0.11226000 0.12741000 0.14717000 0.17438000 0.20907000 0.24721000 0.28237000 0.30928000 0.32564000 0.33107000 0.32564000 0.30928000 0.28237000 0.24721000 0.20907000 0.17438000 0.14717000 0.12741000 0.11226000 0.09805600 0.08210200 0.06386100 0.04513000 0.02881900 0.01703500 0.01000800 0.00661210
0.01060500 0.01194600 0.01639100 0.02494200 0.03833600 0.05596600 0.07564100 0.09479300 0.11226000 0.12913000 0.14819000 0.17234000 0.20270000 0.23715000 0.27083000 0.29884000 0.31869000 0.33017000 0.33390000 0.33017000 0.31869000 0.29884000 0.27083000 0.23715000 0.20270000 0.17234000 0.14819000 0.12913000 0.11226000 0.09479300 0.07564100 0.05596600 0.03833600 0.02494200 0.01639100 0.01194600
