G                               1         0.0000000000      0.0000000000      0.0000000000      0.0000000000
X                              81         1.1640685758      0.5000000000      0.0000000000      0.5000000000
W                             121         1.7461028636      0.5000000000      0.2500000000      0.7500000000
L                             178         2.5692236473      0.5000000000      0.5000000000      0.5000000000
G                             247         3.5773366057      0.0000000000      0.0000000000      0.0000000000
