  0.00000000E+00 -0.56992219E+01
  0.14550857E-01 -0.56985861E+01
  0.29101714E-01 -0.56966770E+01
  0.43652572E-01 -0.56934896E+01
  0.58203429E-01 -0.56890155E+01
  0.72754286E-01 -0.56832434E+01
  0.87305143E-01 -0.56761593E+01
  0.10185600E+00 -0.56677466E+01
  0.11640686E+00 -0.56579872E+01
  0.13095771E+00 -0.56468612E+01
  0.14550857E+00 -0.56343479E+01
  0.16005943E+00 -0.56204264E+01
  0.17461029E+00 -0.56050758E+01
  0.18916114E+00 -0.55882758E+01
  0.20371200E+00 -0.55700076E+01
  0.21826286E+00 -0.55502537E+01
  0.23281372E+00 -0.55289989E+01
  0.24736457E+00 -0.55062306E+01
  0.26191543E+00 -0.54819388E+01
  0.27646629E+00 -0.54561166E+01
  0.29101714E+00 -0.54287606E+01
  0.30556800E+00 -0.53998705E+01
  0.32011886E+00 -0.53694497E+01
  0.33466972E+00 -0.53375050E+01
  0.34922057E+00 -0.53040466E+01
  0.36377143E+00 -0.52690881E+01
  0.37832229E+00 -0.52326463E+01
  0.39287314E+00 -0.51947410E+01
  0.40742400E+00 -0.51553950E+01
  0.42197486E+00 -0.51146333E+01
  0.43652572E+00 -0.50724833E+01
  0.45107657E+00 -0.50289745E+01
  0.46562743E+00 -0.49841379E+01
  0.48017829E+00 -0.49380058E+01
  0.49472914E+00 -0.48906113E+01
  0.50928000E+00 -0.48419882E+01
  0.52383086E+00 -0.47921705E+01
  0.53838172E+00 -0.47411917E+01
  0.55293257E+00 -0.46890846E+01
  0.56748343E+00 -0.46358812E+01
  0.58203429E+00 -0.45816116E+01
  0.59658515E+00 -0.45263039E+01
  0.61113600E+00 -0.44699841E+01
  0.62568686E+00 -0.44126750E+01
  0.64023772E+00 -0.43543963E+01
  0.65478857E+00 -0.42951639E+01
  0.66933943E+00 -0.42349898E+01
  0.68389029E+00 -0.41738817E+01
  0.69844115E+00 -0.41118426E+01
  0.71299200E+00 -0.40488709E+01
  0.72754286E+00 -0.39849600E+01
  0.74209372E+00 -0.39200982E+01
  0.75664457E+00 -0.38542689E+01
  0.77119543E+00 -0.37874510E+01
  0.78574629E+00 -0.37196182E+01
  0.80029715E+00 -0.36507404E+01
  0.81484800E+00 -0.35807831E+01
  0.82939886E+00 -0.35097088E+01
  0.84394972E+00 -0.34374767E+01
  0.85850057E+00 -0.33640440E+01
  0.87305143E+00 -0.32893664E+01
  0.88760229E+00 -0.32133987E+01
  0.90215315E+00 -0.31360960E+01
  0.91670400E+00 -0.30574144E+01
  0.93125486E+00 -0.29773117E+01
  0.94580572E+00 -0.28957488E+01
  0.96035658E+00 -0.28126903E+01
  0.97490743E+00 -0.27281054E+01
  0.98945829E+00 -0.26419692E+01
  0.10040091E+01 -0.25542628E+01
  0.10185600E+01 -0.24649749E+01
  0.10331109E+01 -0.23741022E+01
  0.10476617E+01 -0.22816496E+01
  0.10622126E+01 -0.21876316E+01
  0.10767634E+01 -0.20920722E+01
  0.10913143E+01 -0.19950052E+01
  0.11058651E+01 -0.18964747E+01
  0.11204160E+01 -0.17965350E+01
  0.11349669E+01 -0.16952502E+01
  0.11495177E+01 -0.15926945E+01
  0.11640686E+01 -0.14889517E+01
  0.11786194E+01 -0.14887354E+01
  0.11931703E+01 -0.14880860E+01
  0.12077211E+01 -0.14870046E+01
  0.12222720E+01 -0.14854935E+01
  0.12368229E+01 -0.14835557E+01
  0.12513737E+01 -0.14811957E+01
  0.12659246E+01 -0.14784189E+01
  0.12804754E+01 -0.14752322E+01
  0.12950263E+01 -0.14716440E+01
  0.13095771E+01 -0.14676642E+01
  0.13241280E+01 -0.14633049E+01
  0.13386789E+01 -0.14585800E+01
  0.13532297E+01 -0.14535055E+01
  0.13677806E+01 -0.14481000E+01
  0.13823314E+01 -0.14423845E+01
  0.13968823E+01 -0.14363827E+01
  0.14114331E+01 -0.14301208E+01
  0.14259840E+01 -0.14236283E+01
  0.14405349E+01 -0.14169372E+01
  0.14550857E+01 -0.14100827E+01
  0.14696366E+01 -0.14031027E+01
  0.14841874E+01 -0.13960382E+01
  0.14987383E+01 -0.13889328E+01
  0.15132891E+01 -0.13818328E+01
  0.15278400E+01 -0.13747866E+01
  0.15423909E+01 -0.13678452E+01
  0.15569417E+01 -0.13610612E+01
  0.15714926E+01 -0.13544888E+01
  0.15860434E+01 -0.13481813E+01
  0.16005943E+01 -0.13421933E+01
  0.16151451E+01 -0.13365784E+01
  0.16296960E+01 -0.13313891E+01
  0.16442469E+01 -0.13266754E+01
  0.16587977E+01 -0.13224843E+01
  0.16733486E+01 -0.13188589E+01
  0.16878994E+01 -0.13158373E+01
  0.17024503E+01 -0.13134520E+01
  0.17170011E+01 -0.13117290E+01
  0.17315520E+01 -0.13106875E+01
  0.17461029E+01 -0.13103391E+01
  0.17605436E+01 -0.13701896E+01
  0.17749843E+01 -0.14303092E+01
  0.17894250E+01 -0.14904949E+01
  0.18038657E+01 -0.15505617E+01
  0.18183064E+01 -0.16103428E+01
  0.18327472E+01 -0.16696896E+01
  0.18471879E+01 -0.17284728E+01
  0.18616286E+01 -0.17865816E+01
  0.18760693E+01 -0.18439240E+01
  0.18905100E+01 -0.19004255E+01
  0.19049507E+01 -0.19560280E+01
  0.19193914E+01 -0.20106884E+01
  0.19338322E+01 -0.20643767E+01
  0.19482729E+01 -0.21170746E+01
  0.19627136E+01 -0.21687730E+01
  0.19771543E+01 -0.22194707E+01
  0.19915950E+01 -0.22691717E+01
  0.20060357E+01 -0.23178837E+01
  0.20204765E+01 -0.23656163E+01
  0.20349172E+01 -0.24123791E+01
  0.20493579E+01 -0.24581803E+01
  0.20637986E+01 -0.25030258E+01
  0.20782393E+01 -0.25469174E+01
  0.20926800E+01 -0.25898529E+01
  0.21071208E+01 -0.26318248E+01
  0.21215615E+01 -0.26728207E+01
  0.21360022E+01 -0.27128225E+01
  0.21504429E+01 -0.27518076E+01
  0.21648836E+01 -0.27897483E+01
  0.21793243E+01 -0.28266132E+01
  0.21937650E+01 -0.28623675E+01
