-2.949364127661766588e-01,-1.407901552272989854e-01,4.117257542209369348e-01,1.574747709126354422e+00,4.462654229924822857e-01,-6.193108409526613123e-01,-5.453874107475327193e-01,-3.012512917161096482e-01,-6.532356750873233864e-01,-1.074986143397264726e+00,-1.635558391035841774e+00,-1.067824888581928811e+00,-3.564327733372545381e-01,-1.418629247566673968e-01,-4.524163428552219202e-02,-9.262355767748124968e-01,-6.398893467272470659e-01,-4.228816033677418318e-01,-4.536863938678319386e-01,1.136147068914551639e+00,1.026389991589674366e+00,-4.673183430001897065e-01,-8.326633391313009724e-03,1.069892220920958259e-01
-9.481845882160842010e-01,-5.452945660228145641e-01,5.081104580885296151e-01,3.522487942304399766e-01,3.607644181762230673e-01,-3.249751181935867095e-02,-2.124611026582243767e-01,-5.476486511385973976e-01,-1.859487481311714596e-01,2.169864263713034980e-01,-1.131824315099150269e-01,-1.636641400184237760e-01,3.803106100437743109e-01,2.375497031272582049e-01,2.362084765596126346e-01,-8.810307711576030876e-01,1.530002045493356277e+00,7.880161164065349055e-01,4.473423613795226572e-01,2.363975587999966876e-01,8.154710560579414569e-01,-1.304930669240298435e-01,-9.134323349205621945e-01,-4.480506495585596660e-01
-4.435014898921618709e-01,1.223374668101762097e-02,8.688062531342222172e-02,-1.296174279492046111e-02,1.281643949695610019e-01,7.373572182917018658e-01,-1.073786632321691137e+00,1.939208441928026438e-01,-1.885076449382041552e-01,-3.546279450273930323e-01,-6.592480478345832395e-01,-1.508999404848698545e+00,-1.367092602590379791e+00,3.683120734620688452e-01,8.900475621963561679e-01,1.006115139772481015e+00,7.444504268865457242e-01,1.529640466440147506e-01,1.876910809705607974e+00,-6.847578575882318219e-02,6.177986036584961482e-01,4.351549136048378230e-01,-2.289015683275508195e+00,6.041365201363717574e-01
-7.703224175634573179e-01,-1.543066208105374759e+00,4.593051229618025921e-01,5.823045387907166415e-01,5.983064733567911020e-01,4.376035072032768980e-02,4.359192342909685713e-01,3.465580504974941078e-02,-7.454864632241959832e-01,-3.669027627572947203e-01,1.118116481691303399e+00,-2.043576640092719998e+00,-7.534818683737976031e-01,4.840765743015040812e-02,7.254938253262133152e-01,1.319319335367471702e+00,1.412747337864933783e+00,3.520226696341222095e-01,1.037144743854575779e+00,7.403064482344365871e-01,9.775584257014084955e-01,1.137315251491918922e+00,-7.179455170279429588e-01,1.325005562999885811e+00
-3.682699791918762067e-01,-1.698958872433523837e+00,-5.630852586910988222e-01,1.429729477208496746e-02,1.197487761240902948e-01,1.867809971818390480e-01,-1.061901843292162084e+00,-1.661882816955961184e+00,-1.504916431883928096e+00,-4.573932587477580469e-01,6.281965636596580360e-01,-6.049087041504908058e-01,-1.020106916551897225e+00,-1.834782805074839374e-01,5.763981183531843300e-01,1.415722275200318236e+00,4.998380785864133813e-01,6.904726197659867282e-01,8.772022429771446639e-01,-5.627188490269574572e-02,2.499619187783721053e+00,-4.065756143325938154e-02,-3.900910562439552365e-01,-5.294063794301200332e-01
-6.223520053263271734e-01,5.858589065574304477e-01,-1.331253977554770929e+00,4.532159984054486834e-01,7.527732083298519505e-01,-5.580326026489275115e-01,-5.739152315794391335e-01,-6.678006722467850764e-01,-1.875533259796732910e+00,-1.186981813434877076e+00,-5.389865947368739363e-01,-7.295866337042435923e-01,-9.523911698019018601e-01,-1.237809375260971123e+00,-3.334677563073125128e-01,3.039272126862506695e-01,-8.235458176622234561e-01,2.086396956834184913e+00,4.701558215115637651e-01,-1.452944321039284503e-02,-1.582402012921457768e-01,1.932864611527849164e-01,7.736145871320778689e-01,1.738193197032313009e+00
3.278604153106261521e-01,5.698716883949170864e-01,1.132016999007068314e+00,6.395605204096304064e-01,-5.176151637619241797e-02,-3.062829226519347969e-02,-5.711826455258126600e-01,-7.823024411443753046e-01,-1.590069676803364196e+00,-6.016258344659837221e-01,-9.374686495116213436e-01,-9.990463772793507502e-01,-1.306011204668329206e+00,4.398225657563781255e-01,-1.614798217985759843e+00,-1.541262161233289074e+00,-8.747491789809824780e-01,-6.595064858220820447e-01,-5.189808588457620608e-01,1.439473592656650425e-01,-8.838074857164341935e-01,-1.605587870834055408e-01,5.198475857936308842e-01,3.382508967590629467e-01
4.658873368206180032e-01,8.680905235439011491e-01,6.962238092600943062e-01,1.373442870444533170e+00,-2.035248626423085128e-01,2.962687037487619079e-01,7.742676743566523356e-02,-1.473466843294908069e+00,-6.329326682398499493e-01,-9.845052495191088937e-01,-1.295054507727926296e+00,-1.342330475529727174e+00,-7.256707897796466078e-01,-6.636758844993226880e-01,-7.905241908973410503e-01,-5.929395062700546504e-01,-7.962898342844875188e-01,-7.641376889433946218e-01,-7.989701766863941401e-01,7.472782489603693179e-01,4.572708749977176801e-01,8.966994560122785174e-01,5.487371784870487268e-01,2.591944257454414924e-02
1.600379301481638095e+00,1.025786005898202902e+00,-3.633639583850678534e-02,3.159097309564335987e-01,5.032031632064448701e-01,9.307936068269704322e-01,1.070486817969536375e+00,-1.008136865739297061e+00,-1.519050977571753114e+00,-1.109995422877469551e+00,-3.508938158095489257e-01,-6.494065406998510426e-01,-1.114655286654201216e+00,-4.496257923023359027e-01,2.199919773376399768e-01,-6.498606269576390204e-02,-7.649875692565961671e-01,-9.001875613338352622e-01,1.402499850578292850e+00,7.413811965353254152e-01,5.289547175041686700e-01,1.021175966772153387e+00,1.200308901659825622e+00,7.600969176073455458e-01
-3.968166056120230323e-01,3.020996832433908708e-01,1.386167843009604717e-01,-6.730555523031220844e-01,-2.604950333165154674e-01,2.895854052957433922e-01,6.273949504531568522e-01,-5.248144094499704870e-01,-1.115532570027963022e+00,8.726796065134401204e-01,-1.251031604281402476e+00,-1.187075458962345120e+00,-9.197217869419587188e-01,1.973766521309401334e-01,2.846148435028892365e-01,2.628758151921247510e+00,2.133592800784370525e+00,2.042664959703371252e+00,1.467623604618170319e+00,1.897217635590507712e+00,1.646704553975919083e+00,1.128368707475995159e+00,1.455670327944482700e+00,6.721507426843640332e-01
