grid,atom,basin_e,delta_e,net_charge_e,min_dist_A,volume_A3,core_integral_e,reference_integral_e
96,1,8.000303,0.00030300000000060834,-0.00030300000000060834,1.161917,10.977166,39.52010083008594,55.52129622643168
96,2,7.999697,-0.00030299999999972016,0.00030299999999972016,1.161917,10.974834,39.52010083008594,55.52129622643168
192,1,7.999923,-7.700000000010476e-05,7.700000000010476e-05,1.187177,10.975705,36.291031607024884,52.29063357270213
192,2,8.000077,7.699999999921658e-05,-7.699999999921658e-05,1.187177,10.976295,36.291031607024884,52.29063357270213
