kx_tpiba,ky_tpiba,kz_tpiba,vbm_band4_eV,cbm_band5_eV
0.0,0.0,0.0,6.397028955496858,8.966555400141297
-0.04166666666666666,0.04166666666666666,-0.04166666666666666,6.357275964159993,9.02421776352731
-0.08333333333333333,0.08333333333333333,-0.08333333333333333,6.250233934869697,9.039332515544226
-0.125,0.125,-0.125,6.102261128161904,8.948575859989088
-0.1666666666666667,0.1666666666666667,-0.1666666666666667,5.938184474917871,8.804861375098497
-0.2083333333333333,0.2083333333333333,-0.2083333333333333,5.775363310133085,8.64469324559935
-0.25,0.25,-0.25,5.6245142378846635,8.487781539298874
-0.2916666666666667,0.2916666666666667,-0.2916666666666667,5.49190022209514,8.345235200639273
-0.3333333333333333,0.3333333333333333,-0.3333333333333333,5.3810432796980985,8.223484540589453
-0.375,0.375,-0.375,5.293826707017621,8.12627231037674
-0.4166666666666667,0.4166666666666667,-0.4166666666666667,5.231177145610211,8.055727836405486
-0.4583333333333333,0.4583333333333333,-0.4583333333333333,5.193496214440157,8.013023610039486
0.5,-0.5,0.5,5.180925458171309,7.998735835501529
0.0,0.08333333333333333,0.0,6.268483520210577,8.891373744607462
-0.04166666666666666,0.125,-0.04166666666666666,6.23530480608532,8.884765216886345
-0.08333333333333334,0.1666666666666667,-0.08333333333333334,6.145422288863656,8.95856503376734
-0.125,0.2083333333333333,-0.125,6.005125249089019,8.951005016804087
-0.1666666666666667,0.25,-0.1666666666666667,5.841708440722116,8.834219572092719
-0.2083333333333333,0.2916666666666667,-0.2083333333333333,5.674472759592733,8.690199168866137
-0.25,0.3333333333333334,-0.25,5.515266179570493,8.549693809750382
-0.2916666666666666,0.375,-0.2916666666666666,5.371078068713693,8.424776180091634
-0.3333333333333333,0.4166666666666667,-0.3333333333333333,5.246064421806656,8.32146341301114
-0.375,0.4583333333333334,-0.375,5.142813470076715,8.243035630281703
-0.4166666666666666,0.5,-0.4166666666666666,5.119830258213949,8.191307202341509
0.5416666666666666,-0.4583333333333333,0.5416666666666666,5.132483588111716,8.167237781019729
0.5,-0.4166666666666667,0.5,5.17129693498627,8.171229141189134
0.4583333333333333,-0.3749999999999999,0.4583333333333333,5.235182412546029,8.203272676992642
0.4166666666666667,-0.3333333333333333,0.4166666666666667,5.3228670425135425,8.262938708782974
0.3750000000000001,-0.2916666666666667,0.3750000000000001,5.432786338842525,8.349234128184083
0.3333333333333333,-0.25,0.3333333333333333,5.562823547654863,8.460305556609413
0.2916666666666667,-0.2083333333333333,0.2916666666666667,5.709817004119307,8.59287543227245
0.2500000000000001,-0.1666666666666667,0.2500000000000001,5.868709258313189,8.74126192459781
0.2083333333333333,-0.125,0.2083333333333333,6.031160641907705,8.895544515270675
0.1666666666666667,-0.08333333333333334,0.1666666666666667,6.183545906522981,9.037663795557851
0.125,-0.04166666666666671,0.125,6.305108199550636,9.130532936604983
0.08333333333333329,3.469446951953614e-17,0.08333333333333329,6.369778285114329,9.029824479252476
0.0,0.1666666666666667,0.0,5.9566665929215015,8.688295871018898
-0.04166666666666667,0.2083333333333333,-0.04166666666666667,5.884550493348425,8.640106941342003
-0.08333333333333333,0.25,-0.08333333333333333,5.788320537836837,8.714078391150872
