ik,band,distance_inv_A,energy_eV,native_weight,pw_weight
1,1,0.0,-5.82123222368853,1.0,1.0000000000000024
1,2,0.0,6.230001316973912,1.0,1.0000000000000009
1,3,0.0,6.230001316985347,1.0,0.9999999999999989
1,4,0.0,6.230001317016027,1.0,1.0000000000000002
1,5,0.0,8.800090632064832,1.0,1.000000000000013
1,6,0.0,8.800090632069406,1.0,0.9999999999999999
1,7,0.0,8.800090632040487,1.0,0.9999999999999987
1,8,0.0,9.703462965209322,1.0,0.9999999999999987
2,1,0.097005714223,-5.790330875859524,1.0,0.9999999999999993
2,2,0.097005714223,6.036925400886349,1.0,0.9999999999999819
2,3,0.097005714223,6.102004066949636,1.0,0.9999999999999999
2,4,0.097005714223,6.102004066987299,1.0,0.9999999999999994
2,5,0.097005714223,8.72159649143882,1.0,1.0000000000000038
2,6,0.097005714223,8.96520566102513,1.0,0.9999999999999967
2,7,0.097005714223,8.965205659676059,1.0,0.999999999999999
2,8,0.097005714223,9.889637820592558,1.0,0.9999999999999981
3,1,0.194011428445,-5.6977977434801135,1.0,0.999999999999998
3,2,0.194011428445,5.552785771982105,1.0,1.0000000000000078
3,3,0.194011428445,5.791137056176124,1.0,1.0000000000000004
3,4,0.194011428445,5.791137056344418,1.0,1.0000000000000009
3,5,0.194011428445,8.510724967248867,1.0,1.0000000000000013
3,6,0.194011428445,9.386831302520655,1.0,0.9999999999999986
3,7,0.194011428445,9.386831302582925,1.0,1.0000000000000022
3,8,0.194011428445,10.32014022698413,1.0,0.9999999999999987
4,1,0.291017142668,-5.543978996938192,1.0,1.0000000000000007
4,2,0.291017142668,4.920507985645324,1.0,0.9999999999999958
4,3,0.291017142668,5.407545244065117,1.0,1.000000000000001
4,4,0.291017142668,5.40754524403236,1.0,0.9999999999999969
4,5,0.291017142668,8.220544365122809,1.0,0.9999999999999981
4,6,0.291017142668,9.95338257990721,1.0,1.0000000000000009
4,7,0.291017142668,9.953382580087794,1.0,0.9999999999999917
4,8,0.291017142668,10.685938214401373,1.0,1.0000000000000022
5,1,0.38802285689,-5.32939071455714,1.0,0.9999999999999987
5,2,0.38802285689,4.220426675877731,1.0,0.9999999999999967
5,3,0.38802285689,5.014626370388623,1.0,1.0
5,4,0.38802285689,5.014626370682658,1.0,0.9999999999999998
5,5,0.38802285689,7.901437091342597,1.0,0.9999999999999992
5,6,0.38802285689,10.541310574515865,1.0,0.9999999999998753
5,7,0.38802285689,10.599387694464477,1.0,0.9999999999999482
5,8,0.38802285689,10.599387695733933,1.0,0.9999999999999917
6,1,0.485028571113,-5.054991824144086,1.0,1.0000000000000022
6,2,0.485028571113,3.4881414490709006,1.0,1.0000000000000004
6,3,0.485028571113,4.642393421812469,1.0,0.999999999999999
6,4,0.485028571113,4.642393421728886,1.0,0.9999999999999999
6,5,0.485028571113,7.589180755547528,1.0,1.0000000000000033
6,6,0.485028571113,9.972204127667245,1.0,0.9999999999999971
6,7,0.485028571113,11.292582939229838,1.0,0.9999999999999971
6,8,0.485028571113,11.292582939546934,1.0,0.999999999999999
7,1,0.582034285335,-4.721880414499071,1.0,0.9999999999999988
7,2,0.582034285335,2.7405751802037104,1.0,1.0
7,3,0.582034285335,4.305834380170796,1.0,0.9999999999999997
7,4,0.582034285335,4.305834380310753,1.0,1.0000000000000002
7,5,0.582034285335,7.307248348513386,1.0,0.9999999999999997
7,6,0.582034285335,9.317000004200937,1.0,0.9999999999999986
7,7,0.582034285335,12.016327150881098,1.0,0.9999999999999978
7,8,0.582034285335,12.016327150863098,1.0,1.0000000000000007
8,1,0.679039999558,-4.331627463821371,1.0,1.000000000000001
8,2,0.679039999558,1.9870470094581014,1.0,1.0
8,3,0.679039999558,4.01310334902846,1.0,1.0000000000000018
8,4,0.679039999558,4.013103349147276,1.0,0.9999999999999993
8,5,0.679039999558,7.070835040677657,1.0,0.9999999999999997
8,6,0.679039999558,8.697550570216382,1.0,1.0000000000000007
8,7,0.679039999558,12.761394513894949,1.0,0.9999999999999983
