q_index,qx,qy,qz,star_weight,sigma_Ry,mode,frequency_THz,frequency_cm1,lambda_mode,gamma_GHz,DOS_EF_states_spin_Ry_cell,EF_eV
2,-0.1767767,0.1767767,-0.1767767,8,0.05,1,3.594799,119.909582,0.0596,1.95,2.653067,8.370889
2,-0.1767767,0.1767767,-0.1767767,8,0.05,2,3.594799,119.909582,0.0594,1.94,2.653067,8.370889
2,-0.1767767,0.1767767,-0.1767767,8,0.05,3,7.165696,239.021883,0.2091,27.2,2.653067,8.370889
3,0.3535534,-0.3535534,0.3535534,4,0.005,1,4.570078,152.441395,0.0708,3.56,2.518161,8.37364
3,0.3535534,-0.3535534,0.3535534,4,0.005,2,4.570078,152.441395,0.0745,3.74,2.518161,8.37364
3,0.3535534,-0.3535534,0.3535534,4,0.005,3,9.936574,331.448433,0.0431,10.23,2.518161,8.37364
3,0.3535534,-0.3535534,0.3535534,4,0.01,1,4.570078,152.441395,0.0596,3.12,2.624685,8.377216
3,0.3535534,-0.3535534,0.3535534,4,0.01,2,4.570078,152.441395,0.0625,3.27,2.624685,8.377216
3,0.3535534,-0.3535534,0.3535534,4,0.01,3,9.936574,331.448433,0.0605,14.97,2.624685,8.377216
3,0.3535534,-0.3535534,0.3535534,4,0.015,1,4.570078,152.441395,0.0729,3.85,2.647439,8.379158
3,0.3535534,-0.3535534,0.3535534,4,0.015,2,4.570078,152.441395,0.0757,3.99,2.647439,8.379158
3,0.3535534,-0.3535534,0.3535534,4,0.015,3,9.936574,331.448433,0.1196,29.85,2.647439,8.379158
3,0.3535534,-0.3535534,0.3535534,4,0.02,1,4.570078,152.441395,0.0806,4.25,2.646097,8.379914
3,0.3535534,-0.3535534,0.3535534,4,0.02,2,4.570078,152.441395,0.0834,4.4,2.646097,8.379914
3,0.3535534,-0.3535534,0.3535534,4,0.02,3,9.936574,331.448433,0.1543,38.49,2.646097,8.379914
3,0.3535534,-0.3535534,0.3535534,4,0.025,1,4.570078,152.441395,0.0849,4.48,2.643523,8.379582
3,0.3535534,-0.3535534,0.3535534,4,0.025,2,4.570078,152.441395,0.0878,4.63,2.643523,8.379582
3,0.3535534,-0.3535534,0.3535534,4,0.025,3,9.936574,331.448433,0.1692,42.18,2.643523,8.379582
3,0.3535534,-0.3535534,0.3535534,4,0.03,1,4.570078,152.441395,0.0879,4.63,2.643829,8.37839
3,0.3535534,-0.3535534,0.3535534,4,0.03,2,4.570078,152.441395,0.0905,4.77,2.643829,8.37839
3,0.3535534,-0.3535534,0.3535534,4,0.03,3,9.936574,331.448433,0.1745,43.49,2.643829,8.37839
3,0.3535534,-0.3535534,0.3535534,4,0.035,1,4.570078,152.441395,0.09,4.75,2.645823,8.376691
3,0.3535534,-0.3535534,0.3535534,4,0.035,2,4.570078,152.441395,0.0924,4.88,2.645823,8.376691
3,0.3535534,-0.3535534,0.3535534,4,0.035,3,9.936574,331.448433,0.176,43.9,2.645823,8.376691
3,0.3535534,-0.3535534,0.3535534,4,0.04,1,4.570078,152.441395,0.0914,4.83,2.648339,8.374776
3,0.3535534,-0.3535534,0.3535534,4,0.04,2,4.570078,152.441395,0.0935,4.94,2.648339,8.374776
3,0.3535534,-0.3535534,0.3535534,4,0.04,3,9.936574,331.448433,0.1762,44.0,2.648339,8.374776
