case,protocol,nAl,nSi,natoms,xSi,k_mesh,ecutwfc_Ry,ecutrho_Ry,degauss_Ry,total_energy_Ry,energy_per_atom_eV,final_pressure_kbar,initial_eigensolver_warnings,final_iteration_eigensolver_warnings,max_force_Ry_per_bohr,volume_A3,input_sha256,output_sha256,xml_sha256,geometry_sha256,reference_energy_Ry,formation_eV_formula,formation_eV_atom,hull_eV_atom,hull_left,hull_right,left_atom_fraction,right_atom_fraction,above_hull_eV_atom
al-fcc,k20,1,0,1,0.0,20,60.0,640.0,0.01,-5.039690672830958,-68.56848472935317,-2.53,0,0,0.0,16.51924705676988,5f0888d8e0eb3ca6f794f79c95b13d28ca24376038117990432f802139797a6a,0a2f252185f6f64a899874747d69a72404b0517089413b1791a4de2596d7e7e5,95e4a10ad639c3260056648ba3d37a040aabdf4e1af723e512dfdef282247187,c00cd03b6cc669e9aaadfed3fd438660012c3755012a022c02bff46f0d112005,-5.039690672830958,0.0,0.0,0.0,al-fcc,si-diamond,1.0,0.0,0.0
al3si-l12,k20,3,1,4,0.25,20,60.0,640.0,0.01,-26.50723867834584,-90.16233874888263,1.11,21,0,0.0,63.57229735855309,c271e07359f300974fd5cfc48d8c3fa21b7ec4b3666cdb4b7047ba3e38858f41,07faad4a2a092e6b0b87e4d362d1b60a806d6043aeb9b933f916521af74cdab3,8a802a75663b862b907464fdcefd72ea6a62d8b447f58ecabd6800a52894b6db,8f0f4c670ae60b8a751870ecd8ad64f468dac6b6cd912f5a899d78205cab1931,-26.539186676283947,0.4346746558399408,0.1086686639599852,0.0,al-fcc,si-diamond,0.75,0.25,0.1086686639599852
alsi-b2,k20,1,1,2,0.5,20,60.0,640.0,0.01,-16.42057357224909,-111.70664246378323,0.77,9,0,0.0,31.48297395636756,1c1268db10aff974560561c78cc4faac7b9a40d5d16a415fd25a8b12689f890d,7ad5482d0400ba9c506440e3e2b05af9299afffb85eea17f0481da542011b979,88eea4a71ddc27399b716d3228c427c3e4783370a1aacb3d0b21c3bd8cde7051,3513abe5febb9083b887761833ce51e1e585d628258a499cd7fa1705cb90e5b2,-16.45980533062203,0.5337752650976542,0.2668876325488271,0.0,al-fcc,si-diamond,0.5,0.5,0.2668876325488271
alsi3-l12,k20,1,3,4,0.75,20,60.0,640.0,0.01,-39.19236840785836,-133.30983433016144,-1.01,0,0,0.0,59.357768767178776,8bc9d32b16b8a01d922918af70ab5d78f8a4f42297e4819d6013710a24998da4,c6460dac290c949bff37b513ce41265ea117209767f45e1a812f41f64773da89,a84c72fa1382cc5642f9057224364def56388973e82cd143719867525fdb7a46,57697ee5edc72aaee2957d1ae3b4a93ee5d9e0dc72673e1f8014c29c6f454c4b,-39.30003464620417,1.464873798640181,0.36621844966004524,0.0,al-fcc,si-diamond,0.25,0.75,0.36621844966004524
si-diamond,k20,0,2,2,1.0,20,60.0,640.0,0.01,-22.84022931558214,-155.37857546331094,0.01,1,0,0.0,40.90399008736631,5a2e5a3f272fc95737e84e33b92bf8db950322527904b9abb8f684e6d44ba7ea,4266ad824a16bc83316cecb3413082bcb311edb830dd37d8709de5be7eaa6c06,75a719e1b29e1a457e58796232cfa8d55956311bd26e2fc057f493c1f07ea9d9,bdef617a179b8c27d3e4222efd058e7e45837983df6f016a0e3e8d9ea6179f5e,-22.84022931558214,0.0,0.0,0.0,al-fcc,si-diamond,0.0,1.0,0.0
al-fcc,sigma005,1,0,1,0.0,20,60.0,640.0,0.005,-5.039668741005338,-68.56818633166415,-2.14,0,0,0.0,16.51924705676988,c0e7e8a3eb5e9da832f7d7495f86982a227bcd05a2dc4605d8b3100f42aa7842,62838184e1592924c8e8ae09d6230c7ab2475c723e973c166b2dac2067a49245,39b3f6a6a4b1c1db4c70acf18974cd36d0d40b2c5c6bece5f669daba9f6dbcad,c00cd03b6cc669e9aaadfed3fd438660012c3755012a022c02bff46f0d112005,-5.039668741005338,0.0,0.0,0.0,al-fcc,si-diamond,1.0,0.0,0.0
al3si-l12,sigma005,3,1,4,0.25,20,60.0,640.0,0.005,-26.50719393140106,-90.16218654558291,1.09,18,0,0.0,63.57229735855309,b2910b68a651f4d78b1a66692cfe5db6f50565455624bf1dacc23b69eff743d4,b5919c2a03fecf2baf17a5946e7c2672436cd7bb61f9fdbdb61a7a4571f41136,5b582271c3191928d4c0c91f1ce9d653acb2f8e33ee223f3e077b10b859696f2,8f0f4c670ae60b8a751870ecd8ad64f468dac6b6cd912f5a899d78205cab1931,-26.539123269494613,0.43442077572122895,0.10860519393030724,0.0,al-fcc,si-diamond,0.75,0.25,0.10860519393030724
alsi-b2,sigma005,1,1,2,0.5,20,60.0,640.0,0.005,-16.42058112572168,-111.70669384889825,0.74,6,0,0.0,31.48297395636756,f535589aa58112b0cf94c1a121167f4f9533303d88fccba1d28624f6f90e2c72,c502cb57be2137011434228597cd4038fc43ca7538b6d4150e1ff8b866e21252,ba65dc37efa0a650d56c3bff2fc193808ca4f257c282ec12829035602081c641,3513abe5febb9083b887761833ce51e1e585d628258a499cd7fa1705cb90e5b2,-16.459785787483938,0.5334065969280732,0.2667032984640366,0.0,al-fcc,si-diamond,0.5,0.5,0.2667032984640366
alsi3-l12,sigma005,1,3,4,0.75,20,60.0,640.0,0.005,-39.1923873630507,-133.30989880479396,-1.19,0,0,0.0,59.357768767178776,c581c235c9b5c4de4ccf32bb96436a10e6fcdb0873091823acfedd986e6cf647,1dbd936b39403c3015ced83679e04629941ee432db70cc597fc2ac8c9d53b086,347a5051f515e67d11898badbdb58ee5b1611a110367c3f573941515e1ef6248,57697ee5edc72aaee2957d1ae3b4a93ee5d9e0dc72673e1f8014c29c6f454c4b,-39.300019880441134,1.464415001669575,0.36610375041739374,0.0,al-fcc,si-diamond,0.25,0.75,0.36610375041739374
si-diamond,sigma005,0,2,2,1.0,20,60.0,640.0,0.005,-22.8402340929572,-155.37860796306043,0.01,1,0,6.573840876841766e-32,40.90399008736631,917391d14011007c00f0f4f225dbf781adb58ca96ec330d17953843e5b094585,3e859b7603a918b2df06a42aa3c4ab5bfca9707b7a265a164182122867b94024,527f4e137b08f586ab10b414533ae3794cd175154748a8517a5e760fe8989826,bdef617a179b8c27d3e4222efd058e7e45837983df6f016a0e3e8d9ea6179f5e,-22.8402340929572,0.0,0.0,0.0,al-fcc,si-diamond,0.0,1.0,0.0
al-fcc,cutoff80,1,0,1,0.0,20,80.0,640.0,0.005,-5.039673702837222,-68.56825384082609,-2.12,0,0,0.0,16.51924705676988,f4ef74c16612408b27370912be929fa08311c2692839c57a455c6d29af8933c5,2157ed1560ae60a3ee936d74399230f992245dcca6f939a1067491b1298f87b6,13e6627bea8a570660eec8092f080d05ea0a77d102d95f1931d7254a1637c8b7,c00cd03b6cc669e9aaadfed3fd438660012c3755012a022c02bff46f0d112005,-5.039673702837222,0.0,0.0,0.0,al-fcc,si-diamond,1.0,0.0,0.0
al3si-l12,cutoff80,3,1,4,0.25,20,80.0,640.0,0.005,-26.50722039493438,-90.16227655926124,1.1,19,0,0.0,63.57229735855309,1f4debb30d256fae32cc34e15bd1b53f8fd2462921c67697999717f8a9d62f22,1a5572855b0c920c026da6479d02a9e81421db9a125ed4d147e6b83bbb19f224,40110d265a272a2aa931443b66fa5702df87ff5c75689c791902cab4d18972c3,8f0f4c670ae60b8a751870ecd8ad64f468dac6b6cd912f5a899d78205cab1931,-26.539148413937056,0.43440282857554946,0.10860070714388737,0.0,al-fcc,si-diamond,0.75,0.25,0.10860070714388737
alsi-b2,cutoff80,1,1,2,0.5,20,80.0,640.0,0.005,-16.42059800354227,-111.70680866612203,0.76,3,0,0.0,31.48297395636756,b855cd3c4356a1e9905885747183ef8ac010723f8d07c91d43b8895fa98cbc9e,a46b50ff62e56d3447c027a99e213ce40bd71cce34832a91eebf09e762d79982,4dcc81653a168cb9b4c1203e52eaa8c0d13bb8199feadfa2dd62937b5bff992a,3513abe5febb9083b887761833ce51e1e585d628258a499cd7fa1705cb90e5b2,-16.459801008262612,0.5333840517242584,0.2666920258621292,0.0,al-fcc,si-diamond,0.5,0.5,0.2666920258621292
alsi3-l12,cutoff80,1,3,4,0.75,20,80.0,640.0,0.005,-39.19242749140726,-133.31003529832017,-1.18,0,0,0.0,59.357768767178776,4e711dfc6650b995c8761b73e7aa4bb433eb460f5e01789cbc960c5bdf124068,980891c3dbd32617484a3b019371c631029c94c94ba3cd348d03874b5669f943,6dbb5487d5e6e02eb3790f8148739454bda79091f38e33c9f281a0e82178f6a7,57697ee5edc72aaee2957d1ae3b4a93ee5d9e0dc72673e1f8014c29c6f454c4b,-39.300055619113394,1.4643552769720878,0.36608881924302195,0.0,al-fcc,si-diamond,0.25,0.75,0.36608881924302195
si-diamond,cutoff80,0,2,2,1.0,20,80.0,640.0,0.005,-22.84025461085078,-155.37874754314223,0.02,1,0,1.6434602192104414e-32,40.90399008736631,30bbbd93c1747549e1f4cac08e0a698c2cdc3cffc38466a941228dacdf1c690c,ee82c31c557afe53cb74e33a5a21aabfd5ebef63cb22730c53ad12be651b572b,6b25bcf2102b34141000a038e85efdd64ec5ee20da619d3d2ceb48184829b182,bdef617a179b8c27d3e4222efd058e7e45837983df6f016a0e3e8d9ea6179f5e,-22.84025461085078,0.0,0.0,0.0,al-fcc,si-diamond,0.0,1.0,0.0
al-fcc,k24,1,0,1,0.0,24,80.0,640.0,0.005,-5.039590195089586,-68.56711766003836,-2.86,0,0,0.0,16.51924705676988,737903424fbd5e530d88b3708291cb84f3a7c570aaebf4cafc0533d38121d39e,35fd042233784290a283f1a16e3df91ba9722578acb88f5c4b2b50cea4bb0af8,c7737120738dc93d653799f0ef76d540db7318451cb430379e6f7e9207ee896c,c00cd03b6cc669e9aaadfed3fd438660012c3755012a022c02bff46f0d112005,-5.039590195089586,0.0,0.0,0.0,al-fcc,si-diamond,1.0,0.0,0.0
al3si-l12,k24,3,1,4,0.25,24,80.0,640.0,0.005,-26.50736500358702,-90.16276843449893,1.28,0,0,0.0,63.57229735855309,0154a33efe6a56b4b22040830c3f68647b0d8fd8b1bf2edf78eccb7945ce6da8,ab67d55c0fde21bec2c36a48cbb8ac53d730552b7f2ed4edbd5df9f34b02652d,20f24c0d128c13be65bc004a9a26f6eb575f7de36e2a5ce3730564a87c03fcfc,8f0f4c670ae60b8a751870ecd8ad64f468dac6b6cd912f5a899d78205cab1931,-26.538897908536796,0.4290270280232135,0.10725675700580338,0.0,al-fcc,si-diamond,0.75,0.25,0.10725675700580338
alsi-b2,k24,1,1,2,0.5,24,80.0,640.0,0.005,-16.420651190216674,-111.70717048690712,1.16,0,0,0.0,31.48297395636756,df2e3b95bcd3cf1d665e1a9b4787b68d382a5ee91ce7d6a026e821eb0f567195,56d848927beaf1e3261763fc2b89b133d472f440030a5ed2d166a3c8fbe8863e,f3dbd7a0552ca32cf617bda52d2c945688141cb980298f9bf54626f98357c934,3513abe5febb9083b887761833ce51e1e585d628258a499cd7fa1705cb90e5b2,-16.45971751835763,0.531524472128011,0.2657622360640055,0.0,al-fcc,si-diamond,0.5,0.5,0.2657622360640055
alsi3-l12,k24,1,3,4,0.75,24,80.0,640.0,0.005,-39.192394827064,-133.30992419306256,-0.57,0,0,0.0,59.357768767178776,a1fbfb036aab69320e91770b8cc5d86651a55661a0cfd33b56cfd0d75d05cb56,cd244f67a429169a56602dad0a8f735a05f75c0fc017a59f490cc13174ee2869,22b802d8cf3daf4c199a0a90aa770c3fc5182800220eebc485ea0faaea18dcaa,57697ee5edc72aaee2957d1ae3b4a93ee5d9e0dc72673e1f8014c29c6f454c4b,-39.29997216489371,1.4636642454996878,0.36591606137492194,0.0,al-fcc,si-diamond,0.25,0.75,0.36591606137492194
si-diamond,k24,0,2,2,1.0,24,80.0,640.0,0.005,-22.84025464653608,-155.37874778590384,0.01,0,0,8.395130370351311e-32,40.90399008736631,7b9c61c5c37774d6e2e3e2a64ca069e763b4f4baf56cc2d83ae994289131c6ff,91bc1fa7d63623014395fdfa0dace8482150a04837c93c20678c278e9e12a6ef,28a3a1f12cce7cc235db964abc3af9ded1b64976f61a9016a88f9c30a358e93f,bdef617a179b8c27d3e4222efd058e7e45837983df6f016a0e3e8d9ea6179f5e,-22.84025464653608,0.0,0.0,0.0,al-fcc,si-diamond,0.0,1.0,0.0
