case,natoms,xSi,total_energy_Ry,formation_eV_atom,above_hull_eV_atom
al-fcc,1,0.0,-5.039590195089586,0.0,0.0
al3si-l12,4,0.25,-26.50736500358702,0.10725675700580338,0.10725675700580338
alsi-b2,2,0.5,-16.420651190216674,0.2657622360640055,0.2657622360640055
alsi3-l12,4,0.75,-39.192394827064,0.36591606137492194,0.36591606137492194
si-diamond,2,1.0,-22.84025464653608,0.0,0.0
